participant_count,mean_solve_seconds,maximum_budget_residual_usd,count_states_evaluated,full_coalitions_avoided
4,0.11069286899988516,2.842170943040401e-14,16,0
8,0.5539046023704605,8.526512829121202e-14,81,175
12,1.7548212660188223,7.105427357601002e-14,256,3840
16,4.299738758555408,1.0302869668521453e-13,625,64911
20,8.88927558116659,2.2737367544323206e-13,1296,1047280
