day,baseline_quality,allocation_method,participant,participant_bus,participant_payment_usd,oracle_shapley_value_usd,participant_absolute_error_usd,total_payment_usd,estimated_grand_value_usd,realized_grand_value_usd,budget_residual_usd,total_value_error_usd,settlement_schema_version,estimator_checksum
61,Trace-Anchored Reference,Nodal signed linear,1,15,422.19209069822693,421.20339971765765,0.9886909805692881,616.0314517347788,613.3890785730473,613.3890785730473,2.6423731617314843,2.6423731617314843,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Nodal signed linear,2,42,-6.3979935135818735,-7.519134663565943,1.1211411499840693,616.0314517347788,613.3890785730473,613.3890785730473,2.6423731617314843,2.6423731617314843,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Nodal signed linear,3,80,74.84105927355259,74.62450352849342,0.21655574505916775,616.0314517347788,613.3890785730473,613.3890785730473,2.6423731617314843,2.6423731617314843,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Nodal signed linear,4,116,125.39629527658106,125.08030999046208,0.31598528611897336,616.0314517347788,613.3890785730473,613.3890785730473,2.6423731617314843,2.6423731617314843,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Standalone avoided cost,1,15,422.03953709729103,421.20339971765765,0.8361373796333851,615.5305060291867,613.3890785730473,613.3890785730473,2.141427456139354,2.141427456139354,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Standalone avoided cost,2,42,-6.746385618236673,-7.519134663565943,0.7727490453292702,615.5305060291867,613.3890785730473,613.3890785730473,2.141427456139354,2.141427456139354,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Standalone avoided cost,3,80,74.8410592735454,74.62450352849342,0.21655574505197706,615.5305060291867,613.3890785730473,613.3890785730473,2.141427456139354,2.141427456139354,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Standalone avoided cost,4,116,125.3962952765869,125.08030999046208,0.315985286124814,615.5305060291867,613.3890785730473,613.3890785730473,2.141427456139354,2.141427456139354,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Leave-one-out marginal,1,15,420.5918707729106,421.20339971765765,0.6115289447470218,611.8739351708318,613.3890785730473,613.3890785730473,-1.5151434022154717,-1.5151434022154717,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Leave-one-out marginal,2,42,-8.098969441165536,-7.519134663565943,0.5798347775995936,611.8739351708318,613.3890785730473,613.3890785730473,-1.5151434022154717,-1.5151434022154717,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Leave-one-out marginal,3,80,74.48747107382951,74.62450352849342,0.13703245466390968,611.8739351708318,613.3890785730473,613.3890785730473,-1.5151434022154717,-1.5151434022154717,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Leave-one-out marginal,4,116,124.89356276525723,125.08030999046208,0.18674722520485432,611.8739351708318,613.3890785730473,613.3890785730473,-1.5151434022154717,-1.5151434022154717,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Exact Shapley net value,1,15,421.20339971765765,421.20339971765765,0.0,613.3890785730472,613.3890785730473,613.3890785730473,-1.1368683772161603e-13,-1.1368683772161603e-13,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Exact Shapley net value,2,42,-7.519134663565943,-7.519134663565943,0.0,613.3890785730472,613.3890785730473,613.3890785730473,-1.1368683772161603e-13,-1.1368683772161603e-13,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Exact Shapley net value,3,80,74.62450352849342,74.62450352849342,0.0,613.3890785730472,613.3890785730473,613.3890785730473,-1.1368683772161603e-13,-1.1368683772161603e-13,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Trace-Anchored Reference,Exact Shapley net value,4,116,125.08030999046208,125.08030999046208,0.0,613.3890785730472,613.3890785730473,613.3890785730473,-1.1368683772161603e-13,-1.1368683772161603e-13,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Nodal signed linear,1,15,203.07551500593303,421.20339971765765,218.12788471172462,-1.0635990761983862,-1.0635990761875291,613.3890785730473,-1.0857093002414331e-11,-614.4526776492457,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Nodal signed linear,2,42,-204.1391140821314,-7.519134663565943,196.61997941856546,-1.0635990761983862,-1.0635990761875291,613.3890785730473,-1.0857093002414331e-11,-614.4526776492457,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Nodal signed linear,3,80,0.0,74.62450352849342,74.62450352849342,-1.0635990761983862,-1.0635990761875291,613.3890785730473,-1.0857093002414331e-11,-614.4526776492457,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Nodal signed linear,4,116,0.0,125.08030999046208,125.08030999046208,-1.0635990761983862,-1.0635990761875291,613.3890785730473,-1.0857093002414331e-11,-614.4526776492457,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Standalone avoided cost,1,15,203.06455356911465,421.20339971765765,218.138846148543,-1.0745605130250624,-1.0635990761875291,613.3890785730473,-0.010961436837533256,-614.4636390860724,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Standalone avoided cost,2,42,-204.1391140821397,-7.519134663565943,196.61997941857376,-1.0745605130250624,-1.0635990761875291,613.3890785730473,-0.010961436837533256,-614.4636390860724,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Standalone avoided cost,3,80,0.0,74.62450352849342,74.62450352849342,-1.0745605130250624,-1.0635990761875291,613.3890785730473,-0.010961436837533256,-614.4636390860724,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Standalone avoided cost,4,116,0.0,125.08030999046208,125.08030999046208,-1.0745605130250624,-1.0635990761875291,613.3890785730473,-0.010961436837533256,-614.4636390860724,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Leave-one-out marginal,1,15,203.07551500595218,421.20339971765765,218.12788471170546,-1.0526376393499959,-1.0635990761875291,613.3890785730473,0.010961436837533256,-614.4417162123973,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Leave-one-out marginal,2,42,-204.12815264530218,-7.519134663565943,196.60901798173623,-1.0526376393499959,-1.0635990761875291,613.3890785730473,0.010961436837533256,-614.4417162123973,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Leave-one-out marginal,3,80,0.0,74.62450352849342,74.62450352849342,-1.0526376393499959,-1.0635990761875291,613.3890785730473,0.010961436837533256,-614.4417162123973,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Leave-one-out marginal,4,116,0.0,125.08030999046208,125.08030999046208,-1.0526376393499959,-1.0635990761875291,613.3890785730473,0.010961436837533256,-614.4417162123973,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Exact Shapley net value,1,15,203.07003428753342,421.20339971765765,218.13336543012423,-1.0635990761875291,-1.0635990761875291,613.3890785730473,0.0,-614.4526776492348,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Exact Shapley net value,2,42,-204.13363336372095,-7.519134663565943,196.614498700155,-1.0635990761875291,-1.0635990761875291,613.3890785730473,0.0,-614.4526776492348,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
61,Risk-Constrained Convex Verifier,Exact Shapley net value,3,80,0.0,74.62450352849342,74.62450352849342,-1.0635990761875291,-1.0635990761875291,613.3890785730473,0.0,-614.4526776492348,6,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c
