participant,site,portfolio,mean_exact_shapley_value_usd,mean_absolute_shapley_value_usd,max_absolute_budget_residual_usd,mean_day_solve_seconds
1,1,Inference portfolio,4.001950173504199,4.0019501735041985,1.9895196601282805e-13,14.185540626759204
2,1,Batch portfolio,7.941917984312183,7.941917984312182,1.9895196601282805e-13,14.185540626759204
3,2,Inference portfolio,-3.497536455260228,3.609735623662834,1.9895196601282805e-13,14.185540626759204
4,2,Batch portfolio,-8.044924012277868,8.301833052166986,1.9895196601282805e-13,14.185540626759204
5,3,Inference portfolio,-0.03468344412912358,0.2093936324625581,1.9895196601282805e-13,14.185540626759204
6,3,Batch portfolio,-0.0739137936399573,0.44607096505678706,1.9895196601282805e-13,14.185540626759204
7,4,Inference portfolio,-0.00742281438858408,0.21237170042506162,1.9895196601282805e-13,14.185540626759204
8,4,Batch portfolio,-0.014571519710904745,0.41701175339893193,1.9895196601282805e-13,14.185540626759204
