baseline_quality,allocation_method,mean_participant_absolute_error_usd,mean_absolute_budget_residual_usd,max_absolute_budget_residual_usd,mean_absolute_total_value_error_usd
Risk-Constrained Convex Verifier,Exact Shapley net value,92.51913785017001,9.09149299054156e-15,1.1368683772161603e-13,306.0661063735183
Risk-Constrained Convex Verifier,Leave-one-out marginal,92.7147982143397,22.981421974536378,1106.3335214372637,326.42033732678317
Risk-Constrained Convex Verifier,Nodal signed linear,88.09157294235449,0.7419620237706194,25.329748763797873,305.77814438721083
Risk-Constrained Convex Verifier,Standalone avoided cost,92.91110491075928,23.010136923657935,1106.3335214372637,297.45148652879607
Trace-Anchored Reference,Exact Shapley net value,0.0,3.771468734022939e-14,2.2737367544323206e-13,3.949104417962964e-14
Trace-Anchored Reference,Leave-one-out marginal,0.6640312294485047,1.97208711295456,19.00408720958876,1.972087112954554
Trace-Anchored Reference,Nodal signed linear,2.436849641475418,8.055875735155517,116.31969968775184,8.05587573515552
Trace-Anchored Reference,Standalone avoided cost,0.6803097707034531,2.021550914590383,18.228951678960584,2.0215509145903847
