event_day,dr_price,event_probability,baseline_inflation_mwh,actual_reduction_mwh,paid_response_mwh,false_response_mwh,false_response_ratio,spatial_migration_mwh,reference_migration_mwh,participant_baseline_inflation_mwh,incremental_reference_cost_usd,expected_payment_gain_usd,expected_profit_gain_usd,incentive_per_reference_mwh,critical_reference_incentive_usd_per_mwh,theoretical_margin_usd_per_mwh,theory_profitable,optimizer_manipulation,optimizer_strictly_profitable,boundary_indifference,theory_optimizer_agreement
60,0.0,0.0,0.0,0.0,32.95585982670488,32.95585982670488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,30.0,0.0,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,60.0,0.0,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,90.0,0.0,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,120.0,0.0,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,150.0,0.0,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,210.0,0.0,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,300.0,0.0,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,0.0,0.1,0.0,0.0,32.95585982670488,32.95585982670488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,30.0,0.1,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.3,1.4999998384155333,-1.1999998384155333,0,0,0,0,1
60,60.0,0.1,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.6,1.4999998384155333,-0.8999998384155333,0,0,0,0,1
60,90.0,0.1,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.9,1.4999998384155333,-0.5999998384155333,0,0,0,0,1
60,120.0,0.1,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,1.2,1.4999998384155333,-0.29999983841553335,0,0,0,0,1
60,150.0,0.1,4.370689680115947,11.80179222351593,40.179108332422246,36.60472023514815,0.9110386405865117,11.80179222351593,0.0,4.370689680115947,65.56034520175308,65.56034520173921,-1.3869794202037156e-11,1.5,1.4999998384155333,1.6158446669578552e-07,0,1,0,1,1
60,210.0,0.1,4.540714315376642,11.80179222351593,40.349132967682934,36.774744870408846,0.911413509179071,11.80179222351593,0.0,4.540714315376642,68.11071473034099,95.35500062290947,27.244285892568485,2.1,1.4999998384155333,0.6000001615844668,1,1,1,0,1
60,300.0,0.1,4.919211676285039,11.80179222351593,40.72763032859133,37.15324223131724,0.9122367771354274,11.80179222351593,0.0,4.919211676285039,79.46563555812463,147.57635028855117,68.11071473042654,3.0,1.4999998384155333,1.5000001615844667,1,1,1,0,1
60,0.0,0.2,0.0,0.0,32.95585982670488,32.95585982670488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,30.0,0.2,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,0.6,1.4999998384155333,-0.8999998384155333,0,0,0,0,1
60,60.0,0.2,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,1.2,1.4999998384155333,-0.29999983841553335,0,0,0,0,1
60,90.0,0.2,4.540714315376642,11.80179222351593,40.349132967682934,36.774744870408846,0.911413509179071,11.80179222351593,0.0,4.540714315376642,68.11071473034099,81.73285767677955,13.622142946438558,1.8,1.4999998384155333,0.30000016158446674,1,1,1,0,1
60,120.0,0.2,4.540714315376642,11.80179222351593,40.349132967682934,36.774744870408846,0.911413509179071,11.80179222351593,0.0,4.540714315376642,68.11071473034099,108.9771435690394,40.86642883869841,2.4,1.4999998384155333,0.9000001615844666,1,1,1,0,1
