day,conversion_scenario,conversion_scale_factor,certified_minus_single_payment_usd,certified_minus_feasible_quantile_payment_usd,certified_minus_risk_verifier_payment_usd
61,q01,0.5366973300611017,-0.9029295683449163,1.1400301392804977,-0.7760597925189359
61,q10,0.6690593552942903,-1.1256129684916232,1.4211880463717534,-0.9674541596796189
61,q50,0.9240713988969669,-1.5546404697633989,1.962874019640367,-1.3361994143451739
61,q90,1.4095608876115522,-2.3714189218298998,2.994130592836882,-2.0382131020887755
61,q99,4.755718434549532,-7.784598921485667,10.399755099251706,-6.602877780658673
62,q01,0.5366973300611017,-21.32061686724228,-17.049456466951597,-20.704018129896212
62,q10,0.6690593552942903,-26.578776112126434,-21.2542483686193,-25.810109806969194
62,q50,0.9240713988969669,-36.70927942124945,-29.355307368583453,-35.64763587307243
62,q90,1.4095608876115522,-55.9043311504829,-44.68672243929541,-54.284920330181194
62,q99,4.755718434549532,-189.98277828854225,-151.97588530093708,-184.39297910495407
63,q01,0.5366973300611017,-17.820976551958665,-14.801873216754757,-17.720410939677095
63,q10,0.6690593552942903,-22.191943720936237,-18.428259391102983,-22.06657629323854
63,q50,0.9240713988969669,-30.531826709691813,-25.333613701895956,-30.358675473751646
63,q90,1.4095608876115522,-46.52391297034228,-38.59465799068312,-46.25835436621128
63,q99,4.755718434549532,-159.50065250810258,-133.18962851322976,-158.5616785973507
64,q01,0.5366973300611017,-20.868186600575427,-18.848748520040317,-20.57665390405964
64,q10,0.6690593552942903,-26.014766034990316,-23.497287626692923,-25.651334605292504
64,q50,0.9240713988969669,-35.86960075264324,-32.39258518438328,-35.367647395314634
64,q90,1.4095608876115522,-54.28828534682361,-48.984512114057,-53.52261526901384
64,q99,4.755718434549532,-185.3053234480085,-166.98961936951673,-182.64937511125027
65,q01,0.5366973300611017,0.005516061195519839,-2.3984569250842487,-0.3415293966900226
65,q10,0.6690593552942903,0.006876449990159017,-2.9899721018027776,-0.4257584771949041
65,q50,0.9240713988969669,0.00949740962641954,-4.129600282713,-0.588036365528751
65,q90,1.4095608876115522,0.014487167509283694,-6.299213509835688,-0.8969794567183342
65,q99,4.755718434549532,-0.8486416115883912,-20.71370398519319,-3.219956150831422
66,q01,0.5366973300611017,-13.96622899581962,-14.537590921023366,-14.15472727505584
66,q10,0.6690593552942903,-17.38745575809297,-18.099728802695594,-17.622442090452736
66,q50,0.9240713988969669,-23.994668715411535,-24.76857138461854,-24.24168297396318
66,q90,1.4095608876115522,-37.12807053184224,-37.609385226993254,-37.415168049396016
66,q99,4.755718434549532,-130.45120746840075,-127.12924886359906,-128.67130573871145
67,q01,0.5366973300611017,-2.220446049250313e-16,-15.853725912988011,-2.288696087856806
67,q10,0.6690593552942903,1.8189894035458565e-12,-19.763622891783598,-2.853141693161888
67,q50,0.9240713988969669,0.0,-27.296529834557077,-3.9406169494232017
67,q90,1.4095608876115522,3.637978807091713e-12,-41.63760599911621,-6.010941937600364
67,q99,4.755718434549532,-1.8189894035458565e-12,-140.48114711527342,-20.280321079357236
68,q01,0.5366973300611017,-4.547133565974946,1.0147166238966747,-3.7442065902178
68,q10,0.6690593552942903,-5.668562300721533,1.2649693079638382,-4.6676148864971765
68,q50,0.9240713988969669,-7.829135417536236,1.747112492663291,-6.446676791159916
68,q90,1.4095608876115522,-11.942413845454212,2.6650120746744506,-9.833637823592653
68,q99,4.755718434549532,-39.969646928579095,9.399484458812367,-32.834913335491365
69,q01,0.5366973300611017,-31.4982135570408,-28.514458297713645,-31.06746882470179
69,q10,0.6690593552942903,-39.26640449839579,-35.54678590082585,-38.72942811193934
69,q50,0.9240713988969669,-54.232798700692,-49.09544708364774,-53.49115370809341
69,q90,1.4095608876115522,-82.34852658342606,-74.51210840844942,-81.21723545666464
