day,conversion_scenario,conversion_scale_factor,certified_n1_baseline_cost_usd,reference_n1_baseline_cost_usd,payment_cap_margin_usd,payment_cap_violation_usd
61,q10,0.734154196797104,106720.38346390554,106723.11876012813,2.7352962225850206,0.0
61,q50,0.9957235602389072,106997.4732187879,107001.1830646303,3.709845842400682,0.0
61,q90,1.2780232437772188,107297.70961677891,107302.47124883032,4.761632051406195,0.0
62,q10,0.734154196797104,107431.34509985067,107431.345103698,3.8473226595669985e-06,0.0
62,q50,0.9957235602389072,107966.29164259307,107966.2916478202,5.227120709605515e-06,0.0
62,q90,1.2780232437772188,108543.96499647843,108543.96500319132,6.712885806336999e-06,0.0
63,q10,0.734154196797104,107345.9802944366,107356.86820275147,10.887908314878587,0.0
63,q50,0.9957235602389072,107849.24171316074,107864.08230697249,14.840593811750296,0.0
63,q90,1.2780232437772188,108402.04199534046,108421.0900772698,19.048081929329783,0.0
64,q10,0.734154196797104,107510.55739653402,107510.55740202244,5.4884294513612986e-06,0.0
64,q50,0.9957235602389072,108073.76741298358,108073.7674204372,7.453621947206557e-06,0.0
64,q90,1.2780232437772188,108682.02516225692,108682.02517183412,9.57719748839736e-06,0.0
65,q10,0.734154196797104,106585.44260912812,106585.44260970251,5.743931978940964e-07,0.0
65,q50,0.9957235602389072,106814.16567161198,106814.16567239507,7.830967660993338e-07,0.0
65,q90,1.2780232437772188,107061.28079115912,107061.28079216531,1.006192178465426e-06,0.0
66,q10,0.734154196797104,106841.31755042744,106841.31755056333,1.3588578440248966e-07,0.0
66,q50,0.9957235602389072,107161.77920654794,107161.77920673224,1.8430000636726618e-07,0.0
66,q90,1.2780232437772188,107509.38355149965,107509.38355173616,2.3651227820664644e-07,0.0
67,q10,0.734154196797104,106393.60517227388,106393.60517650982,4.235946107655764e-06,0.0
67,q50,0.9957235602389072,106553.13635084848,106553.1363565936,5.74512523598969e-06,0.0
67,q90,1.2780232437772188,106725.31095353712,106725.310960911,7.3738774517551064e-06,0.0
68,q10,0.734154196797104,106735.26294537573,106735.26294725308,1.877357135526836e-06,0.0
68,q50,0.9957235602389072,107017.665217235,107017.6652197932,2.558197593316436e-06,0.0
68,q90,1.2780232437772188,107323.84633196116,107323.84633525649,3.2953248592093587e-06,0.0
69,q10,0.734154196797104,107517.12023595096,107517.1202383297,2.378743374720216e-06,0.0
69,q50,0.9957235602389072,108082.73457689404,108082.73458012188,3.2278330763801932e-06,0.0
69,q90,1.2780232437772188,108693.39983533142,108693.39983947674,4.145316779613495e-06,0.0
70,q10,0.734154196797104,107135.40105583912,107135.40106036824,4.529123543761671e-06,0.0
70,q50,0.9957235602389072,107562.43694813646,107562.43695430388,6.167421815916896e-06,0.0
70,q90,1.2780232437772188,108024.508053457,108024.50806139414,7.937138434499502e-06,0.0
71,q10,0.734154196797104,107451.59778671373,107451.59779136938,4.65565244667232e-06,0.0
71,q50,0.9957235602389072,107993.87579640716,107993.87580272502,6.317859515547752e-06,0.0
71,q90,1.2780232437772188,108579.42964230305,108579.42965041628,8.11323116067797e-06,0.0
72,q10,0.734154196797104,107056.99586663234,107056.99586701952,3.871828084811568e-07,0.0
72,q50,0.9957235602389072,107456.6160016581,107456.6160021856,5.275069270282984e-07,0.0
72,q90,1.2780232437772188,107888.56868516108,107888.56868583964,6.785558070987463e-07,0.0
73,q10,0.734154196797104,107214.71956514128,107214.71956535112,2.0983861759305e-07,0.0
73,q50,0.9957235602389072,107669.80944530928,107669.80944559608,2.868036972358823e-07,0.0
73,q90,1.2780232437772188,108162.96883158252,108162.96883195156,3.6903657019138336e-07,0.0
74,q10,0.734154196797104,106889.33281743126,106889.34467714488,0.011859713617013767,0.0
74,q50,0.9957235602389072,107227.9190635843,107227.93514876797,0.016085183669929393,0.0
74,q90,1.2780232437772188,107594.06868317437,107594.0893287104,0.020645536031224765,0.0
75,q10,0.734154196797104,107515.87017118809,107515.87017155444,3.6635901778936386e-07,0.0
75,q50,0.9957235602389072,108080.6343800467,108080.6343805416,4.948960850015283e-07,0.0
