job_index,region,requested_gpus,submit_slot,deadline_slot,runtime_slots,declared_job_energy_mwh,declared_job_energy_upper_mwh,runtime_energy_mwh,baseline_start_slot,counterfactual_start_slot,risk_aligned_start_slot,baseline_event_slots,counterfactual_event_slots,baseline_objective_usd,counterfactual_objective_usd,risk_aligned_objective_usd
9769,3,1.0,4055,4152,1,2.0248111498076076e-06,0.00025,0.00025,4055,4055,4055,0,0,0.0,0.0,0.0
9770,1,1.0,5814,6038,128,1.9314727484418893e-06,0.032,0.032,5814,5814,5814,16,16,3.048,3.648,3.7475933294049666
9771,0,1.0,9747,9845,2,5.85e-07,0.0005,0.0005,9747,9747,9747,0,0,0.000375,0.000375,0.001512571536211608
9772,2,1.0,6557,6655,2,5.85e-07,0.0005,0.0005,6557,6557,6558,0,0,0.000375,0.000375,0.0014206798056295414
9773,0,1.0,7816,8040,128,1.0373055555555563e-05,0.032,0.032,7816,7816,7816,16,16,3.048,3.648,4.4767837278773595
9774,3,1.0,8971,9651,584,3.379861111111111e-05,0.146,0.146,8971,8971,8971,48,48,63.8385,65.63850000000001,65.7332244730874
9775,2,1.0,8266,8364,2,5.85e-07,0.0005,0.0005,8266,8266,8266,0,0,0.000375,0.000375,0.007952541617379887
9776,0,1.0,11289,11390,5,5.089282462185221e-06,0.00125,0.00125,11289,11289,11289,0,0,0.00375,0.00375,0.00375
9777,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9778,2,1.0,8196,8294,2,5.85e-07,0.0005,0.0005,8196,8196,8196,0,0,0.000375,0.000375,0.0019202401464910191
9779,0,1.0,7495,8175,584,6.2933333333333355e-06,0.146,0.146,7495,7495,7495,48,48,63.8385,65.63850000000001,67.88189436498723
9780,1,1.0,5789,5887,2,5.85e-07,0.0005,0.0005,5789,5789,5789,0,0,0.000375,0.000375,0.000375
9781,3,1.0,1263,1487,128,1.0373055555555563e-05,0.032,0.032,1263,1263,1263,8,8,3.048,3.348,3.348
9782,0,1.0,4270,4371,5,5.089282462185221e-06,0.00125,0.00125,4270,4270,4270,0,0,0.00375,0.00375,0.00375
9783,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9784,3,1.0,5870,5970,4,8.497657325395771e-07,0.001,0.001,5870,5870,5870,0,0,0.0022500000000000003,0.0022500000000000003,0.003005456442391385
9785,1,1.0,9814,9912,2,5.85e-07,0.0005,0.0005,9814,9814,9814,0,0,0.000375,0.000375,0.00047069533776326737
9786,2,2.0,3872,4096,128,4.809673886552115e-06,0.064,0.064,3872,3872,3872,8,8,6.096,6.696,6.696
9787,2,1.0,6098,6218,24,1.8615120156467018e-06,0.006,0.006,6098,6120,6120,8,0,0.10350000000000001,0.3015,0.40435165849766685
9788,0,1.0,7488,7586,2,5.85e-07,0.0005,0.0005,7488,7488,7491,0,0,0.000375,0.000375,0.0031557152960158138
9789,1,1.0,3682,3783,5,5.089282462185221e-06,0.00125,0.00125,3682,3682,3682,0,0,0.00375,0.00375,0.00375
9790,2,1.0,8197,8295,2,5.85e-07,0.0005,0.0005,8197,8197,8197,0,0,0.000375,0.000375,0.0030192148183546376
9791,2,1.0,5385,5609,128,1.9314727484418893e-06,0.032,0.032,5385,5385,5385,8,8,3.048,3.348,3.348
9792,1,1.0,8489,8587,2,5.85e-07,0.0005,0.0005,8489,8489,8489,0,0,0.000375,0.000375,0.009703962322835779
9793,3,1.0,1181,1405,128,1.0373055555555563e-05,0.032,0.032,1181,1181,1181,8,8,3.048,3.348,3.348
9794,0,1.0,1181,1405,128,1.0373055555555563e-05,0.032,0.032,1181,1181,1181,8,8,3.048,3.348,3.348
9795,2,2.0,5233,5334,5,2.359747215134718e-06,0.0025,0.0025,5233,5233,5233,0,0,0.0075,0.0075,0.0075
9796,1,1.0,11687,11911,128,1.9314727484418893e-06,0.032,0.032,11687,11687,11687,9,9,3.048,3.3855,3.3855
9797,3,1.0,5786,5884,2,5.85e-07,0.0005,0.0005,5786,5786,5786,0,0,0.000375,0.000375,0.000375
9798,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9799,0,1.0,6553,6651,2,5.85e-07,0.0005,0.0005,6553,6553,6553,0,0,0.000375,0.000375,0.0018908684815238225
9800,1,1.0,5501,5725,128,1.9314727484418893e-06,0.032,0.032,5501,5501,5501,8,8,3.048,3.348,3.348
9801,0,1.0,10686,10910,128,1.0373055555555563e-05,0.032,0.032,10686,10686,10686,8,8,3.048,3.348,3.456975322553825
9802,3,1.0,8384,8608,128,1.9314727484418893e-06,0.032,0.032,8384,8384,8384,8,8,3.048,3.348,3.840761145865471
9803,2,1.0,11936,12037,5,9.476292045471001e-07,0.00125,0.00125,11936,11936,11936,0,0,0.00375,0.00375,0.00375
9804,3,1.0,5962,6186,128,1.9314727484418893e-06,0.032,0.032,5962,5962,5962,8,8,3.048,3.348,3.6656715342531325
9805,1,2.0,1529,1753,128,4.809673886552115e-06,0.064,0.064,1529,1529,1529,8,8,6.096,6.696,6.696
9806,1,1.0,1181,1405,128,1.0373055555555563e-05,0.032,0.032,1181,1181,1181,8,8,3.048,3.348,3.348
9807,0,1.0,8489,8587,2,5.85e-07,0.0005,0.0005,8489,8489,8489,0,0,0.000375,0.000375,0.009891427837328883
9808,3,1.0,11044,11268,128,1.9314727484418893e-06,0.032,0.032,11044,11044,11044,8,8,3.048,3.348,3.348
9809,0,1.0,4270,4371,5,5.089282462185221e-06,0.00125,0.00125,4270,4270,4270,0,0,0.00375,0.00375,0.00375
9810,1,2.0,6051,6275,128,4.809673886552115e-06,0.064,0.064,6051,6051,6051,8,8,6.096,6.696,7.3963772322407015
9811,2,1.0,5724,5822,2,5.85e-07,0.0005,0.0005,5724,5724,5724,0,0,0.000375,0.000375,0.000375
9812,0,1.0,1237,1461,128,1.9314727484418893e-06,0.032,0.032,1237,1237,1237,8,8,3.048,3.348,3.348
9813,0,1.0,6448,6672,128,1.0373055555555563e-05,0.032,0.032,6448,6448,6448,8,8,3.048,3.348,3.427927811460672
9814,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9815,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9816,1,1.0,5392,5616,128,1.9314727484418893e-06,0.032,0.032,5392,5392,5392,8,8,3.048,3.348,3.348
9817,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9818,0,1.0,11830,12054,128,1.9314727484418893e-06,0.032,0.032,11830,11830,11830,8,8,3.048,3.348,3.348
9819,0,1.0,6130,6354,128,1.9314727484418893e-06,0.032,0.032,6130,6130,6130,8,8,3.048,3.348,3.9027889949699026
9820,1,1.0,7553,7654,5,5.089282462185221e-06,0.00125,0.00125,7553,7560,7560,5,0,0.00375,0.016875,0.03457526244321124
9821,3,2.0,530,633,7,2.7591582762437613e-06,0.0035,0.0035,530,530,530,0,0,0.01575,0.01575,0.01575
9822,2,1.0,1175,1399,128,1.0373055555555563e-05,0.032,0.032,1175,1175,1175,8,8,3.048,3.348,3.348
9823,1,1.0,6272,6370,2,5.85e-07,0.0005,0.0005,6272,6272,6272,0,0,0.000375,0.000375,0.0003940385407104601
9824,3,1.0,1417,1641,128,1.0373055555555563e-05,0.032,0.032,1417,1417,1417,8,8,3.048,3.348,3.348
9825,3,8.0,1482,1706,128,3.4842804471864656e-05,0.256,0.256,1482,1482,1482,16,16,24.384,29.184,29.184
9826,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9827,1,1.0,2880,3104,128,2.5295833333333346e-05,0.032,0.032,2880,2880,2880,8,8,3.048,3.348,3.348
9828,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9829,1,1.0,5144,5242,2,5.85e-07,0.0005,0.0005,5144,5144,5144,0,0,0.000375,0.000375,0.000375
9830,2,1.0,1082,1306,128,1.0373055555555563e-05,0.032,0.032,1082,1082,1082,8,8,3.048,3.348,3.348
9831,2,2.0,4046,4144,2,1.7130495591308653e-05,0.001,0.001,4046,4046,4046,0,0,0.00075,0.00075,0.00075
9832,3,1.0,9151,9248,1,3.770217498256928e-07,0.00025,0.00025,9151,9151,9151,0,0,0.0,0.0,3.854617915990578e-05
9833,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9834,2,1.0,5008,5111,7,5.9506949454663995e-06,0.00175,0.00175,5008,5008,5008,0,0,0.007875,0.007875,0.007875
9835,3,1.0,9529,9627,2,5.85e-07,0.0005,0.0005,9529,9529,9530,0,0,0.000375,0.000375,0.0012685430066448808
9836,1,1.0,8489,8587,2,5.85e-07,0.0005,0.0005,8489,8489,8489,0,0,0.000375,0.000375,0.009703962322835779
9837,2,1.0,5207,5431,128,1.9314727484418893e-06,0.032,0.032,5207,5207,5207,8,8,3.048,3.348,3.348
9838,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9839,0,2.0,2385,2609,128,2.583055570913793e-05,0.064,0.064,2385,2385,2385,8,8,6.096,6.696,6.696
9840,3,2.0,1835,2059,128,5.6559120345156575e-05,0.064,0.064,1835,1835,1835,8,8,6.096,6.696,6.696
9841,1,1.0,1264,1488,128,1.0373055555555563e-05,0.032,0.032,1264,1264,1264,8,8,3.048,3.348,3.348
9842,1,1.0,5141,5238,1,3.770217498256928e-07,0.00025,0.00025,5141,5141,5141,0,0,0.0,0.0,0.0
9843,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9844,2,1.0,5392,5616,128,1.9314727484418893e-06,0.032,0.032,5392,5392,5392,8,8,3.048,3.348,3.348
9845,1,1.0,11372,11470,2,5.85e-07,0.0005,0.0005,11372,11372,11372,0,0,0.000375,0.000375,0.000375
9846,1,2.0,349,573,128,4.809673886552115e-06,0.064,0.064,349,349,349,16,16,6.096,7.296,7.296
9847,2,1.0,11687,11911,128,1.9314727484418893e-06,0.032,0.032,11687,11687,11687,9,9,3.048,3.3855,3.3855
9848,3,2.0,11494,11592,2,1.4567429055899217e-06,0.001,0.001,11494,11496,11496,2,0,0.00075,0.00375,0.00375
9849,2,1.0,6965,7189,128,1.0373055555555563e-05,0.032,0.032,6965,6965,6965,16,16,3.048,3.648,3.895501627146708
9850,2,1.0,5388,5612,128,1.9314727484418893e-06,0.032,0.032,5388,5388,5388,8,8,3.048,3.348,3.348
9851,2,1.0,4470,4694,128,1.0373055555555563e-05,0.032,0.032,4470,4470,4470,16,16,3.048,3.648,3.648
9852,3,1.0,6454,6678,128,2.5295833333333346e-05,0.032,0.032,6454,6454,6454,8,8,3.048,3.348,3.4205062746654433
9853,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9854,1,2.0,6459,6556,1,9.388440330114133e-07,0.0005,0.0005,6459,6459,6460,0,0,0.0,0.0,0.0007500000000000405
9855,3,1.0,1218,1442,128,1.0373055555555563e-05,0.032,0.032,1218,1218,1218,14,14,3.048,3.573,3.573
9856,2,1.0,11741,11965,128,1.9314727484418893e-06,0.032,0.032,11741,11741,11741,8,8,3.048,3.348,3.348
9857,2,1.0,5813,6493,584,6.2933333333333355e-06,0.146,0.146,5813,5813,5813,48,48,63.8385,65.63850000000001,66.71600458093131
9858,0,4.0,4182,4285,7,7.273454204707208e-06,0.007,0.007,4182,4182,4182,0,0,0.0315,0.0315,0.0315
9859,2,1.0,7488,7586,2,5.85e-07,0.0005,0.0005,7488,7488,7488,0,0,0.000375,0.000375,0.0025233640297630997
9860,0,1.0,11656,11880,128,1.9314727484418893e-06,0.032,0.032,11656,11656,11656,16,16,3.048,3.648,3.648
9861,0,2.0,3320,3544,128,2.583055570913793e-05,0.064,0.064,3320,3320,3320,16,16,6.096,7.296,7.296
9862,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9863,0,1.0,11743,11967,128,1.9314727484418893e-06,0.032,0.032,11743,11743,11743,8,8,3.048,3.348,3.348
9864,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9865,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9866,1,1.0,2348,2572,128,1.9314727484418893e-06,0.032,0.032,2348,2348,2348,16,16,3.048,3.648,3.648
9867,1,2.0,929,1153,128,2.583055570913793e-05,0.064,0.064,929,929,929,15,15,6.096,7.221,7.221
9868,0,1.0,6922,7085,67,2.777608250796142e-06,0.01675,0.01675,6922,6922,6922,8,8,0.829125,1.129125,1.347948403860812
9869,0,1.0,10593,10817,128,1.0373055555555563e-05,0.032,0.032,10593,10593,10593,9,9,3.048,3.3855,3.5310403296534347
9870,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9871,0,1.0,8074,8172,2,5.85e-07,0.0005,0.0005,8074,8074,8078,0,0,0.000375,0.000375,0.004322680428584608
9872,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9873,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9874,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9875,0,1.0,11044,11268,128,1.9314727484418893e-06,0.032,0.032,11044,11044,11044,8,8,3.048,3.348,3.348
9876,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9877,0,2.0,7323,7421,2,1.7130495591308653e-05,0.001,0.001,7323,7323,7323,0,0,0.00075,0.00075,0.009393505653805373
9878,1,1.0,2278,2379,5,5.089282462185221e-06,0.00125,0.00125,2278,2280,2280,2,0,0.00375,0.0075,0.0075
9879,0,1.0,4284,4385,5,5.089282462185221e-06,0.00125,0.00125,4284,4296,4296,1,0,0.00375,0.02625,0.02625
9880,2,1.0,7246,7470,128,1.9314727484418893e-06,0.032,0.032,7246,7246,7246,16,16,3.048,3.648,3.8205409510249213
9881,3,1.0,10594,10818,128,1.0373055555555563e-05,0.032,0.032,10594,10594,10594,10,10,3.048,3.423,3.5060798278269782
9882,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9883,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9884,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9885,2,1.0,8489,8587,2,5.85e-07,0.0005,0.0005,8489,8489,8489,0,0,0.000375,0.000375,0.009918293484690033
9886,0,1.0,10594,10818,128,1.0373055555555563e-05,0.032,0.032,10594,10594,10594,10,10,3.048,3.423,3.5734817304251743
9887,0,1.0,1734,1832,2,5.85e-07,0.0005,0.0005,1734,1734,1734,0,0,0.000375,0.000375,0.000375
9888,1,1.0,11044,11268,128,1.9314727484418893e-06,0.032,0.032,11044,11044,11044,8,8,3.048,3.348,3.348
9889,0,1.0,1293,1517,128,1.0373055555555563e-05,0.032,0.032,1293,1293,1293,16,16,3.048,3.648,3.648
9890,3,1.0,8030,8710,584,6.2933333333333355e-06,0.146,0.146,8030,8030,8030,54,54,63.8385,65.8635,67.28919729430577
9891,2,1.0,11044,11268,128,1.9314727484418893e-06,0.032,0.032,11044,11044,11044,8,8,3.048,3.348,3.348
9892,0,2.0,7693,7791,2,1.7130495591308653e-05,0.001,0.001,7693,7693,7694,0,0,0.00075,0.00075,0.014854988027336683
9893,3,1.0,10659,10883,128,1.0373055555555563e-05,0.032,0.032,10659,10659,10659,8,8,3.048,3.348,3.418580601410753
9894,1,1.0,5205,5429,128,1.9314727484418893e-06,0.032,0.032,5205,5205,5205,8,8,3.048,3.348,3.348
9895,0,1.0,6756,6854,2,6.879278342431555e-06,0.0005,0.0005,6756,6756,6756,0,0,0.000375,0.000375,0.0009510253436393557
9896,1,1.0,5785,6009,128,1.0373055555555563e-05,0.032,0.032,5785,5785,5785,8,8,3.048,3.348,3.3969428989886383
9897,0,2.0,3411,3635,128,2.583055570913793e-05,0.064,0.064,3411,3411,3411,16,16,6.096,7.296,7.296
9898,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9899,2,2.0,2464,2688,128,2.583055570913793e-05,0.064,0.064,2464,2464,2464,16,16,6.096,7.296,7.296
9900,0,1.0,3679,3777,2,5.85e-07,0.0005,0.0005,3679,3679,3679,0,0,0.000375,0.000375,0.000375
9901,1,1.0,11286,11510,128,1.9314727484418893e-06,0.032,0.032,11286,11286,11286,16,16,3.048,3.648,3.648
9902,1,2.0,929,1153,128,2.583055570913793e-05,0.064,0.064,929,929,929,15,15,6.096,7.221,7.221
9903,3,1.0,3406,3526,24,1.8615120156467018e-06,0.006,0.006,3406,3406,3406,6,6,0.10350000000000001,0.3285,0.3285
9904,0,1.0,6925,7023,2,5.85e-07,0.0005,0.0005,6925,6925,6927,0,0,0.000375,0.000375,0.0032920304311544477
9905,2,1.0,962,1186,128,1.9314727484418893e-06,0.032,0.032,962,962,962,8,8,3.048,3.348,3.348
9906,3,1.0,7779,7876,1,3.770217498256928e-07,0.00025,0.00025,7779,7779,7783,0,0,0.0,0.0,0.0024045899942735705
9907,1,1.0,1898,1999,5,5.089282462185221e-06,0.00125,0.00125,1898,1898,1898,0,0,0.00375,0.00375,0.00375
9908,0,2.0,8741,8965,128,4.809673886552115e-06,0.064,0.064,8741,8741,8741,8,8,6.096,6.696,7.3168980763695775
9909,0,2.0,7633,7731,2,1.7130495591308653e-05,0.001,0.001,7633,7633,7633,0,0,0.00075,0.00075,0.0059901325082586145
9910,1,8.0,1354,1517,67,5.0106666666666605e-05,0.134,0.134,1354,1354,1354,8,8,6.633,9.033,9.033
9911,1,1.0,7422,7534,16,1.5799052777032572e-06,0.004,0.004,7422,7422,7422,0,0,0.045,0.045,0.051011227974048556
9912,2,1.0,11140,11303,67,2.777608250796142e-06,0.01675,0.01675,11140,11140,11140,7,7,0.829125,1.091625,1.091625
9913,0,1.0,9530,9628,2,5.85e-07,0.0005,0.0005,9530,9530,9530,0,0,0.000375,0.000375,0.0005649664177956567
9914,3,1.0,4655,4775,24,1.8615120156467018e-06,0.006,0.006,4655,4680,4680,7,0,0.10350000000000001,0.3285,0.3285
9915,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9916,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9917,2,1.0,4182,4406,128,1.0373055555555563e-05,0.032,0.032,4182,4182,4182,16,16,3.048,3.648,3.648
9918,0,1.0,1122,1346,128,1.0373055555555563e-05,0.032,0.032,1122,1122,1122,14,14,3.048,3.573,3.573
9919,3,1.0,7354,7452,2,6.879278342431555e-06,0.0005,0.0005,7354,7354,7354,0,0,0.000375,0.000375,0.0029184430085495094
9920,3,1.0,11687,11911,128,1.9314727484418893e-06,0.032,0.032,11687,11687,11687,9,9,3.048,3.3855,3.3855
9921,2,1.0,2660,2884,128,1.0373055555555563e-05,0.032,0.032,2660,2660,2660,12,12,3.048,3.498,3.498
9922,1,1.0,5962,6186,128,1.9314727484418893e-06,0.032,0.032,5962,5962,5962,8,8,3.048,3.348,3.6616768800144928
9923,2,1.0,11285,11509,128,1.9314727484418893e-06,0.032,0.032,11285,11285,11285,16,16,3.048,3.648,3.648
9924,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9925,0,1.0,691,915,128,1.9314727484418893e-06,0.032,0.032,691,691,691,8,8,3.048,3.348,3.348
9926,3,1.0,10566,10669,7,5.9506949454663995e-06,0.00175,0.00175,10566,10566,10566,0,0,0.007875,0.007875,0.010990067661857509
9927,0,1.0,10897,11121,128,1.0373055555555563e-05,0.032,0.032,10897,10897,10897,16,16,3.048,3.648,3.806540423448312
9928,0,1.0,8489,8587,2,5.85e-07,0.0005,0.0005,8489,8489,8489,0,0,0.000375,0.000375,0.009891427837328883
9929,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9930,2,4.0,9890,10020,34,1.4023046148777853e-05,0.034,0.034,9890,9890,9890,0,0,0.8415,0.8415,0.8744639635339136
9931,2,1.0,10625,10849,128,1.0373055555555563e-05,0.032,0.032,10625,10625,10625,15,15,3.048,3.6105,3.6918806573490817
9932,0,8.0,1456,1619,67,5.0106666666666605e-05,0.134,0.134,1456,1456,1456,8,8,6.633,9.033,9.033
9933,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9934,0,1.0,975,1076,5,5.089282462185221e-06,0.00125,0.00125,975,975,975,0,0,0.00375,0.00375,0.00375
9935,1,1.0,11643,11867,128,1.9314727484418893e-06,0.032,0.032,11643,11643,11643,8,8,3.048,3.348,3.348
9936,3,1.0,1272,1496,128,1.0373055555555563e-05,0.032,0.032,1272,1272,1272,8,8,3.048,3.348,3.348
9937,0,1.0,1417,1641,128,1.0373055555555563e-05,0.032,0.032,1417,1417,1417,8,8,3.048,3.348,3.348
9938,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9939,0,2.0,10769,10867,2,1.4567429055899217e-06,0.001,0.001,10769,10769,10769,0,0,0.00075,0.00075,0.0038930834770991097
9940,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9941,3,1.0,11645,11869,128,1.9314727484418893e-06,0.032,0.032,11645,11645,11645,8,8,3.048,3.348,3.348
9942,1,1.0,2935,3036,5,5.089282462185221e-06,0.00125,0.00125,2935,2935,2935,0,0,0.00375,0.00375,0.00375
9943,0,2.0,3037,3261,128,2.583055570913793e-05,0.064,0.064,3037,3037,3037,16,16,6.096,7.296,7.296
9944,3,1.0,5531,5755,128,1.0373055555555563e-05,0.032,0.032,5531,5531,5531,16,16,3.048,3.648,3.648
9945,1,1.0,8769,9449,584,3.379861111111111e-05,0.146,0.146,8769,8769,8769,48,48,63.8385,65.63850000000001,65.8642878025993
9946,3,1.0,4618,4719,5,5.089282462185221e-06,0.00125,0.00125,4618,4618,4618,0,0,0.00375,0.00375,0.00375
9947,0,1.0,7704,7928,128,1.0373055555555563e-05,0.032,0.032,7704,7704,7704,8,8,3.048,3.348,3.8624549817631935
9948,1,1.0,2324,2444,24,1.8615120156467018e-06,0.006,0.006,2324,2324,2324,0,0,0.10350000000000001,0.10350000000000001,0.10350000000000001
9949,3,1.0,10284,10382,2,5.85e-07,0.0005,0.0005,10284,10284,10284,0,0,0.000375,0.000375,0.0004038829184509982
9950,2,1.0,6364,6467,7,5.9506949454663995e-06,0.00175,0.00175,6364,6364,6364,0,0,0.007875,0.007875,0.010060568022836678
9951,1,1.0,11263,11487,128,1.9314727484418893e-06,0.032,0.032,11263,11263,11263,8,8,3.048,3.348,3.348
9952,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9953,1,1.0,10686,10910,128,1.0373055555555563e-05,0.032,0.032,10686,10686,10686,8,8,3.048,3.348,3.407222528276253
9954,2,1.0,1692,1916,128,1.0373055555555563e-05,0.032,0.032,1692,1692,1692,16,16,3.048,3.648,3.648
9955,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9956,0,1.0,10566,11246,584,3.379861111111111e-05,0.146,0.146,10566,10566,10566,48,48,63.8385,65.63850000000001,66.02804137226755
9957,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9958,0,1.0,4556,4780,128,1.0373055555555563e-05,0.032,0.032,4556,4556,4556,16,16,3.048,3.648,3.648
9959,3,1.0,11804,12028,128,1.9314727484418893e-06,0.032,0.032,11804,11804,11804,8,8,3.048,3.348,3.348
9960,2,1.0,6876,6974,2,5.85e-07,0.0005,0.0005,6876,6876,6876,0,0,0.000375,0.000375,0.011171642286073155
9961,1,1.0,436,660,128,1.9314727484418893e-06,0.032,0.032,436,436,436,16,16,3.048,3.648,3.648
9962,0,1.0,6454,6678,128,2.5295833333333346e-05,0.032,0.032,6454,6454,6454,8,8,3.048,3.348,3.4293611764899787
9963,3,1.0,5206,5430,128,1.0373055555555563e-05,0.032,0.032,5206,5206,5206,8,8,3.048,3.348,3.348
9964,1,1.0,706,807,5,5.089282462185221e-06,0.00125,0.00125,706,706,706,0,0,0.00375,0.00375,0.00375
9965,1,2.0,10717,10842,29,4.996994315531095e-06,0.0145,0.0145,10717,10728,10728,8,0,0.3045,0.5437500000000001,0.5585350798296282
9966,0,1.0,7816,8496,584,3.379861111111111e-05,0.146,0.146,7816,7816,7816,48,48,63.8385,65.63850000000001,67.72754868409423
9967,3,1.0,1175,1399,128,1.0373055555555563e-05,0.032,0.032,1175,1175,1175,8,8,3.048,3.348,3.348
9968,0,1.0,4467,5147,584,3.379861111111111e-05,0.146,0.146,4467,4467,4467,48,48,63.8385,65.63850000000001,65.63850000000001
9969,2,1.0,11830,12054,128,1.9314727484418893e-06,0.032,0.032,11830,11830,11830,8,8,3.048,3.348,3.348
9970,1,2.0,2940,3164,128,2.583055570913793e-05,0.064,0.064,2940,2940,2940,16,16,6.096,7.296,7.296
9971,0,1.0,10695,10919,128,1.0373055555555563e-05,0.032,0.032,10695,10695,10695,15,15,3.048,3.6105,3.7221103381537395
9972,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9973,0,1.0,10623,10847,128,1.0373055555555563e-05,0.032,0.032,10623,10623,10623,16,16,3.048,3.648,3.803540829333398
9974,1,1.0,9221,9341,24,1.8615120156467018e-06,0.006,0.006,9221,9221,9221,0,0,0.10350000000000001,0.10350000000000001,0.10890001214200237
9975,3,1.0,1082,1306,128,1.0373055555555563e-05,0.032,0.032,1082,1082,1082,8,8,3.048,3.348,3.348
9976,2,1.0,6350,6574,128,1.0373055555555563e-05,0.032,0.032,6350,6350,6350,8,8,3.048,3.348,3.413276956831058
9977,2,1.0,10711,10935,128,1.0373055555555563e-05,0.032,0.032,10711,10711,10711,16,16,3.048,3.648,3.6857013950677153
9978,1,1.0,5358,5582,128,1.9314727484418893e-06,0.032,0.032,5358,5358,5358,8,8,3.048,3.348,3.348
9979,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
9980,2,1.0,1107,1787,584,3.379861111111111e-05,0.146,0.146,1107,1107,1107,48,48,63.8385,65.63850000000001,65.63850000000001
9981,1,1.0,5204,5428,128,1.9314727484418893e-06,0.032,0.032,5204,5204,5204,8,8,3.048,3.348,3.348
9982,1,1.0,7780,8004,128,1.0373055555555563e-05,0.032,0.032,7780,7780,7780,8,8,3.048,3.348,3.7475976105945197
