day,risk_profile_source,raw_risk_profile_total_energy_mwh,upper_contract_profile_total_energy_mwh,central_contract_profile_total_energy_mwh,upper_capacity_realization_energy_mwh,central_energy_realization_energy_mwh,upper_capacity_realization_nrmse,central_energy_realization_nrmse,upper_capacity_realization_rmse_mw,central_energy_realization_rmse_mw,upper_capacity_realization_nrmse_flexible_target,central_energy_realization_nrmse_flexible_target,upper_capacity_profile_max_mw,central_profile_max_mw,risk_price_max_usd_per_mwh,same_declaration_digest
61,Exp2 validation-fitted Risk-Constrained Convex Verifier,916.9537505982526,589.0305797454569,576.0036218295297,615.4549999999999,576.005063028128,0.053383770635780155,8.33163405129865e-06,0.32754868090200084,4.9990118638606874e-05,1.5535931708870399,0.8530634785159388,6.479,6.000085732968671,84.16397408812146,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
62,Exp2 validation-fitted Risk-Constrained Convex Verifier,1298.3676715060833,603.6074673840185,576.0076734529518,596.7425,576.0036044836905,0.04363574054645137,1.4576005038766405e-05,0.27436311290280874,8.745719531894105e-05,0.7024419731476048,0.8055936073799436,6.255,6.000097465691121,118.60874056975982,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
63,Exp2 validation-fitted Risk-Constrained Convex Verifier,1213.8708719322613,600.3781663918733,576.006775873725,598.9132499999998,576.0055931505474,0.04103064112684769,1.3085864118678424e-05,0.2566031363085396,7.85161083387669e-05,0.7068399401596822,0.7781326168096523,6.305999999999999,6.00012515147014,147.5645041982042,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
64,Exp2 validation-fitted Risk-Constrained Convex Verifier,1454.331279579933,609.5680888138443,576.0093301984791,601.98325,576.0058077790623,0.04571317297308645,1.487065200356035e-05,0.29026345294605194,8.922535729359864e-05,0.6531636217077862,0.7223599512080348,6.3229999999999995,6.000127240409117,147.26549518451827,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
65,Exp2 validation-fitted Risk-Constrained Convex Verifier,690.1687020854741,580.3633025721222,576.0012127732159,597.4854999999999,576.004582828424,0.031588460234513525,6.633353254570826e-06,0.19096649067573357,3.9800203326937025e-05,2.3542661785749117,1.7653036538692342,6.2509999999999994,6.0000920917332925,43.92923868356685,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
66,Exp2 validation-fitted Risk-Constrained Convex Verifier,695.989339637144,580.5857558569251,576.0012746037631,597.1622499999999,576.0054259974095,0.03264534501780313,8.829910181529436e-06,0.19743148242053477,5.297957832497605e-05,1.9052268783445332,1.8393929760448418,6.2780000000000005,6.000101004315926,69.72864013411788,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
67,Exp2 validation-fitted Risk-Constrained Convex Verifier,689.3010263042765,580.3301417154363,576.001203556207,594.37925,576.0051248042926,0.02697766835702503,7.896555336709263e-06,0.16308285521650392,4.7379431019715885e-05,1.8927992373828033,1.9784351528911424,6.2379999999999995,6.000116244322098,29.36842285065715,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
68,Exp2 validation-fitted Risk-Constrained Convex Verifier,896.5338221252924,588.2501703617895,576.003404915946,591.3209999999999,576.0046981097739,0.02750069785743038,8.851683331942328e-06,0.1685134395802242,5.311041394204694e-05,0.8735848531544715,0.9905718258965519,6.238999999999999,6.00010091189282,49.44432662632021,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
69,Exp2 validation-fitted Risk-Constrained Convex Verifier,1302.2725931802047,603.7567057871306,576.0077149335357,584.7615,576.0028988405388,0.05034592670363803,1.4643301810438443e-05,0.31663219642071694,8.786098765534118e-05,0.8330470752249197,0.831660900920195,6.147,6.000129860362667,112.8267509774333,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
70,Exp2 validation-fitted Risk-Constrained Convex Verifier,1147.186400667822,597.8296174491786,576.0060675084796,583.2272499999999,576.0021856604192,0.047577336436968105,1.3875140292871279e-05,0.29628271709753656,8.325171871067959e-05,0.8757155946101566,0.8852903007793215,6.1019999999999985,6.000083932035162,136.3752995926761,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
71,Exp2 validation-fitted Risk-Constrained Convex Verifier,1467.5114475450418,610.0718088328397,576.0094702066809,584.5104999999999,576.0024189484965,0.06431392011062105,1.8952868049846102e-05,0.4087094747397638,0.00011371907796134357,0.8644889826489268,0.8653938808361001,6.121999999999998,6.000066485206826,148.52862710125197,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
72,Exp2 validation-fitted Risk-Constrained Convex Verifier,995.9374648700416,592.0491814930693,576.0044608452267,584.2994999999999,576.0020692195867,0.03700231267130613,1.113320155012704e-05,0.22819988469163982,6.679972662877258e-05,0.841434607353464,0.886166580608275,6.138,6.000103409308477,95.39974077820126,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
73,Exp2 validation-fitted Risk-Constrained Convex Verifier,1103.7213829961156,596.1684702175818,576.0056057951704,585.5654999999999,576.0025099685522,0.042613874262906144,1.2780482290416191e-05,0.26463591905584516,7.668364004214192e-05,0.8308400396568689,0.8661778627586381,6.1209999999999996,6.000090145928394,145.9145838362134,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
74,Exp2 validation-fitted Risk-Constrained Convex Verifier,958.2976252776728,590.6106610762856,576.0040610106971,583.2265,576.002075604044,0.04045187503425096,1.1923891744055301e-05,0.24886779849744017,7.154385487112268e-05,0.8861093896533423,0.9164878301093339,6.111,6.0001404776586895,147.73457234232137,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
75,Exp2 validation-fitted Risk-Constrained Convex Verifier,947.0091116982964,590.1792363562301,576.0039410968619,583.5224999999999,576.0024499355981,0.04585959489366499,1.3666287900623596e-05,0.28193104889530496,8.199828844712031e-05,0.9136782578126375,0.9560726701733808,6.108999999999999,6.0001331886589275,149.72119418624715,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
76,Exp2 validation-fitted Risk-Constrained Convex Verifier,999.3955647817249,592.1813432498703,576.004497579383,584.4584999999998,576.0019417862216,0.03901450172839461,1.168810358084637e-05,0.24066312541401155,7.012916907022084e-05,0.8560636101918478,0.897492669638703,6.117,6.000092835239381,134.9167498446668,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
