day,variant,solve_seconds,l1_adjustment_from_ex_post_statistical_mw,release_violation_mwh,deadline_violation_mwh,capacity_violation_mw,conservation_violation_mwh,certified_feasible,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
61,Ex-post statistical,6.727990694344044e-06,0.0,,,,,0.0,19.35013211091728,34.090740225790135,2.5759649330323477,1.4621349210117018,13.234163162950962,14.61160779687128,77.20081446951336,155.90931024072432,155.90931024072432,155.90931024072432,135.84695963115425,12.056976056828331,20.062350609570096,32.11932666639842,135.84695963115425,0.8713203811972886,12.056976056828331,0.12867961880271153,0.6246192772950714,0.21339675636195723,143.37816174499505
62,Ex-post statistical,2.5510089471936226e-06,0.0,,,,,0.0,20.042930868884365,31.634199772394826,1.7885484192718863,1.1331961162615185,17.687080445534168,10.574931781986983,75.99015826632075,145.6555231704379,145.6555231704379,145.6555231704379,122.4714506034854,5.81756864903582e-14,23.18407256695248,23.184072566952537,122.4714506034854,0.8408294305474169,5.81756864903582e-14,0.15917056945258287,0.9999999999999976,0.2746283828233337,84.59945425589598
63,Ex-post statistical,1.3099925126880407e-06,0.0,,,,,0.0,24.355089717891772,34.70722728416859,1.592785197503338,1.117704565360616,21.790274883626203,8.078163036503216,78.3329987236615,161.26724978756891,161.26724978756891,161.26724978756891,129.73301101757994,26.096268200205188,31.534238769988985,57.630506970194176,129.73301101757994,0.804459747335384,26.096268200205188,0.1955402526646161,0.547179617668436,0.2881184278638857,95.6297055751233
64,Ex-post statistical,1.3590033631771803e-06,0.0,,,,,0.0,18.167598526994052,25.589173614715317,1.2450914809943878,0.8839801744546543,20.552042966576735,5.6696522736896435,58.23085381827532,124.90520355925875,124.90520355925875,124.90520355925875,95.34900320273478,10.06867964519336,29.556200356523963,39.62488000171732,95.34900320273478,0.7633709444098409,10.06867964519336,0.23662905559015898,0.7459000596403829,0.3592801962635631,60.5060688994825
65,Ex-post statistical,1.471998984925449e-06,0.0,,,,,0.0,16.297642840544427,30.97651170134974,2.905394730895431,1.5286125852857149,10.661722268561732,14.749039684058866,74.89321302478447,147.29085695489977,147.29085695489977,147.29085695489977,124.17561095255284,1.490469728790993,23.115246002346947,24.60571573113794,124.17561095255284,0.8430639451746501,1.490469728790993,0.15693605482535009,0.9394258738466672,0.2689436518849742,125.69769673246074
66,Ex-post statistical,9.039940778166056e-07,0.0,,,,,0.0,17.685337164775753,31.3881409889182,2.3645389125697998,1.3322760313455053,13.274529263214923,13.217220124716636,77.91236458443547,162.04906728042647,162.04906728042647,162.04906728042647,123.61022915796956,9.352110859724554,38.438838122456914,47.790948982181476,123.61022915796956,0.7627950671512451,9.352110859724554,0.23720493284875482,0.8043120913290207,0.3663632781495018,112.21448443214611
67,Ex-post statistical,1.6600097296759486e-06,0.0,,,,,0.0,19.00627839547476,36.76707082967797,3.183840017652148,1.6458463613398493,11.548027107464723,17.593825562374285,81.30624102239392,179.88221662872047,179.88221662872047,179.88221662872047,146.40041583139617,5.464643963527161,33.48180079732434,38.946444760851506,146.40041583139617,0.8138681998430605,5.464643963527161,0.18613180015693973,0.8596882463320462,0.3060092821910382,179.60784665067965
68,Ex-post statistical,1.1179945431649685e-06,0.0,,,,,0.0,17.71430893679225,32.9771310011896,2.953984591117959,1.586790422723548,11.163609688535693,15.486317037388762,81.32401870780113,143.90269214828703,143.90269214828703,143.90269214828703,131.5088994132836,1.9766598743100516,12.39379273500347,14.37045260931352,131.5088994132836,0.9138737952016072,1.9766598743100516,0.086126204798393,0.8624497134468142,0.15661270588873288,126.63270411858086
69,Ex-post statistical,1.367006916552782e-06,0.0,,,,,0.0,22.991488551200085,32.96362146103989,1.6820865390287085,1.1732228344484301,19.596864189921025,7.9439874110782664,75.95938953717969,150.59796172127088,150.59796172127088,150.59796172127088,123.74190384911341,4.636891444442895,26.856057872157475,31.49294931660037,123.74190384911341,0.821670508915233,4.636891444442895,0.17832949108476712,0.8527641410200115,0.2949741721767975,68.90817235128
70,Ex-post statistical,1.0619987733662128e-06,0.0,,,,,0.0,15.04606902786416,24.96168546059834,1.6700014918510335,1.00662103777765,14.947103689668413,8.382886411974958,70.64203624212405,111.96098289998392,111.96098289998392,111.96098289998392,93.71582175935647,1.5752863172199665,18.245161140627438,19.820447457847408,93.71582175935647,0.8370400056515576,1.5752863172199665,0.1629599943484424,0.920522161743817,0.27690033551898213,69.83579507130503
71,Ex-post statistical,7.77989043854177e-07,0.0,,,,,0.0,22.30967772284432,26.51324343014375,1.0722987697510369,0.9022902097504099,24.725612094378803,0.3598649528772784,58.15896358065764,128.7220599151408,128.7220599151408,128.7220599151408,90.67817070288638,30.0904230361235,38.04388921225441,68.13431224837791,90.67817070288638,0.7044493442900571,30.0904230361235,0.2955506557099429,0.5583660854103673,0.3865141757326836,57.51387044179937
72,Ex-post statistical,1.7020065570250154e-06,0.0,,,,,0.0,20.075749281004185,33.914725742660714,2.2710764368791985,1.3443588337036678,14.933326413823686,13.443556618908328,73.69549622469775,153.95344693715123,153.95344693715123,153.95344693715123,134.01495399619517,3.93393874797344,19.938492940956046,23.87243168892949,134.01495399619517,0.8704901167357715,3.93393874797344,0.12950988326422846,0.8352099694226897,0.22424737158623864,117.09737283975166
73,Ex-post statistical,9.499926818534732e-07,0.0,,,,,0.0,15.838102933707956,25.96999207675156,1.5624247897777968,0.9528630033287665,16.62159500198722,9.23484612720139,70.77153065573513,122.97415812705353,122.97415812705353,122.97415812705353,100.29179624363738,9.902343028191662,22.682361883416135,32.5847049116078,100.29179624363738,0.8155518018673374,9.902343028191662,0.18444819813266247,0.6961045663892415,0.2916241664453262,82.09776836928667
74,Ex-post statistical,1.2800010154023767e-06,0.0,,,,,0.0,16.066213385818862,26.232099604204617,1.8826832436772876,1.153075475741815,13.933357983771955,10.27986482033307,65.84269439317453,126.9988885481066,126.9988885481066,126.9988885481066,105.38431282460772,4.76729910138007,21.614575723498888,26.381874824878956,105.38431282460772,0.8298050008893473,4.76729910138007,0.17019499911065272,0.8192964247982728,0.2818420673906463,96.06690923643755
75,Ex-post statistical,1.1709926184266806e-06,0.0,,,,,0.0,20.132037472222436,30.813035340295897,1.5936608250315927,1.0412359280161994,19.33475106893279,9.365717381630546,69.94656527635472,151.29635684153766,151.29635684153766,151.29635684153766,117.99101941541193,5.316188073442818,33.30533742612572,38.621525499568534,117.99101941541193,0.7798668909059817,5.316188073442818,0.2201331090940182,0.8623516807097066,0.35073408586461524,74.52329030143152
76,Ex-post statistical,8.019997039809823e-07,0.0,,,,,0.0,13.481844543356708,22.990919094903354,1.5692978213088455,0.9202341664454962,14.650449890848748,7.035042944453322,72.72647223089226,102.05703497315645,102.05703497315645,102.05703497315645,81.80932053440104,6.38664353301089,20.247714438755413,26.634357971766303,81.80932053440104,0.8016039321142235,6.38664353301089,0.1983960678857765,0.7602103441058711,0.3146708412336638,71.34047224233063
77,Ex-post statistical,1.3719982234761119e-06,0.0,,,,,0.0,8.029435013211453,17.015220815755228,1.6971605262661356,0.80088529559508,10.02569913241491,6.479137358467611,63.82335162935821,78.25800054070538,78.25800054070538,78.25800054070538,57.65743086936902,5.664246803550871,20.600569671336373,26.26481647488724,57.65743086936902,0.7367608483605315,5.664246803550871,0.26323915163946876,0.7843408953964456,0.3941832082130584,77.59767029553433
78,Ex-post statistical,7.710041245445609e-07,0.0,,,,,0.0,14.481522809838587,27.47125409982421,2.9292129584982787,1.5441400716263272,9.378373812024892,13.800224946140027,77.35353737565819,122.64767405720656,122.64767405720656,122.64767405720656,112.4477022962942,0.47392647337489047,10.199971760912355,10.673898234287245,112.4477022962942,0.9168351798000279,0.47392647337489047,0.08316482019997201,0.9555994948637866,0.15301307336236888,113.91837653298774
79,Ex-post statistical,1.1230004020035267e-06,0.0,,,,,0.0,13.926778191392426,22.770274486635792,1.4176436969612116,0.8670606642705126,16.062057437595204,5.829940337980857,64.22899777544276,99.21859072499879,99.21859072499879,99.21859072499879,78.84062398790357,4.131563445749116,20.377966737095214,24.50953018284433,78.84062398790357,0.7946154386169804,4.131563445749116,0.2053845613830196,0.8314303287363279,0.3293991145678744,3.29173115410207
80,Ex-post statistical,1.0510120773687959e-06,0.0,,,,,0.0,20.94984410118488,34.50019498421837,2.1980697576389647,1.3347524200118321,15.695677930292995,13.216379825216691,70.78806771206945,158.46200735549525,158.46200735549525,158.46200735549525,136.66489570560628,5.558616341150497,21.79711164988897,27.355727991039466,136.66489570560628,0.8624458189464361,5.558616341150497,0.1375541810535639,0.7968024706572877,0.2346074405571584,121.42313971537976
81,Ex-post statistical,7.370108505710959e-07,0.0,,,,,0.0,22.81967763214691,30.429809618377345,1.407712114772651,1.0556601260685987,21.61650048972679,4.0564828902447285,74.43312596469667,136.77766059874176,136.77766059874176,136.77766059874176,107.50464208956654,13.139458946471708,29.27301850917521,42.41247745564692,107.50464208956654,0.7859809973278304,13.139458946471708,0.21401900267216953,0.690198268653078,0.32672577661935964,2.9315456100433614
82,Ex-post statistical,1.5359983080998063e-06,0.0,,,,,0.0,18.217749511276352,28.06657727372273,1.8134939719377907,1.1771217629697883,15.476520853131081,8.793880944137726,73.58195015408366,123.50639088368003,123.50639088368003,123.50639088368003,108.04652182165631,12.774397849466427,15.459869062023705,28.23426691149013,108.04652182165631,0.8748253515351766,12.774397849466427,0.1251746484648233,0.5475569495212289,0.2037669967516878,84.77893442009119
83,Ex-post statistical,7.370108505710959e-07,0.0,,,,,0.0,14.904570412909965,29.45963445221159,3.367857178192727,1.7039065618558422,8.747293276854553,14.5137357932891,79.72880250019553,125.7589384708868,125.7589384708868,125.7589384708868,116.74337759045682,1.057490966733683,9.015560880429991,10.073051847163672,116.74337759045682,0.9283107746451192,1.057490966733683,0.07168922535488079,0.8950178175612742,0.1327457671689867,123.24801431142924
84,Ex-post statistical,1.5460100257769227e-06,0.0,,,,,0.0,11.100212931671539,24.398435067730826,2.3942837279694964,1.0892936012297096,10.190285630192307,10.627079790851269,81.38429020814336,107.69265252043802,107.69265252043802,107.69265252043802,86.90917089009123,1.8925325632810837,20.78348163034677,22.676014193627857,86.90917089009123,0.807011145663791,1.8925325632810837,0.19298885433620888,0.9165403343320845,0.3188416688487062,107.69265252043802
85,Ex-post statistical,1.1660013115033507e-06,0.0,,,,,0.0,13.916160748835921,21.30380359048143,1.340101841239229,0.8753869966595325,15.897152690112879,4.654664585486787,74.7246038413173,95.72555683672479,95.72555683672479,95.72555683672479,74.28330133729082,4.75336575762562,21.442255499433955,26.195621257059578,74.28330133729082,0.7760028125403631,4.75336575762562,0.22399718745963673,0.8185434996566605,0.35173963760324095,43.01483656149119
86,Ex-post statistical,8.389906724914908e-07,0.0,,,,,0.0,18.31412451673325,31.26135429446159,2.356220812824453,1.380366344609405,13.267582615479881,12.79111996884091,71.59286303451009,140.18133140061002,140.18133140061002,140.18133140061002,124.33082743646456,3.0131853687367913,15.85050396414547,18.863689332882263,124.33082743646456,0.8869285674078247,3.0131853687367913,0.11307143259217536,0.8402653205550648,0.1993209707672114,106.9858242309648
87,Ex-post statistical,1.891006832011044e-06,0.0,,,,,0.0,23.224294089397723,33.12060138770445,1.6082834097614656,1.1277345616455425,20.593759275684356,8.095284118340569,74.70779357742717,155.6240661470224,155.6240661470224,155.6240661470224,125.27831283095315,8.592685081540772,30.34575331606922,38.93843839760999,125.27831283095315,0.8050060375147841,8.592685081540772,0.19499396248521575,0.7793264076540835,0.31193834996206005,79.49174512670365
88,Ex-post statistical,8.040078682824969e-07,0.0,,,,,0.0,19.47349921397133,34.45809121260749,2.371142340068643,1.3400173042274204,14.532274435962353,14.656486609605986,78.97095341580984,155.55264155536503,155.55264155536503,155.55264155536503,136.5191147259655,6.51252762283886,19.033526829399513,25.546054452238373,136.5191147259655,0.8776393210743063,6.51252762283886,0.12236067892569352,0.7450671830745971,0.21020059502361507,127.60019038411887
89,Ex-post statistical,1.257998519577086e-06,0.0,,,,,0.0,18.169661412840636,34.95393393334868,3.2870044260963325,1.7086419399476511,10.6339783590922,16.873164950151335,80.48626381487684,158.07381291219463,158.07381291219463,158.07381291219463,139.7376914911078,3.0134053573592747,18.336121421086816,21.34952677844609,139.7376914911078,0.8840027890560721,3.0134053573592747,0.11599721094392779,0.8588537634285398,0.2043894785673002,148.97585458152867
90,Ex-post statistical,1.2509990483522415e-06,0.0,,,,,0.0,13.423211740592228,27.40203167155459,3.749850166767078,1.8369087879079122,7.307500420791258,13.423211740592228,81.90574597534943,107.38569392473781,107.38569392473781,107.38569392473781,104.41311866946776,0.0,2.972575255270038,2.972575255270038,104.41311866946776,0.9723187032962379,0.0,0.027681296703761984,1.0,0.05387136419150256,107.38569392473781
91,Ex-post statistical,7.609924068674445e-07,0.0,,,,,0.0,21.027813547244257,31.536231098904366,1.8917353421822545,1.261376412780117,16.670530171797196,9.372935101571482,73.27587431431358,140.7663265737599,140.7663265737599,140.7663265737599,121.60299459526294,12.840837636728201,19.16333197849695,32.00416961522515,121.60299459526294,0.8638642319869334,12.840837636728201,0.1361357680130666,0.5987761035168521,0.2218356999743189,73.80056532568604
92,Ex-post statistical,1.6070116544142365e-06,0.0,,,,,0.0,14.535796850768989,29.084727373070614,3.6729749643465786,1.8356581870227702,7.918574903285457,14.535796850768989,80.9416357981558,124.16494645630047,124.16494645630047,124.16494645630047,115.16645274596945,0.0,8.998493710331005,8.998493710331005,115.16645274596945,0.9275279056839282,0.0,0.07247209431607174,1.0,0.1351496131231052,120.30364626444396
