day,method,truth_source,event_intervention,trace_mae_mw,trace_rmse_mw,trace_nrmse,trace_nmae,trace_normalization_mean_truth_mw,trace_bias_mw,trace_max_abs_error_mw
61,High-5-of-10,independent_trace_observed_meter,False,12.59452710072459,24.99534219592324,2.0081685046126703,1.0118658290779867,12.446835083067029,2.843991580325223,107.76351078128084
61,Ridge,independent_trace_observed_meter,False,7.9133847471375045,16.120670992848325,1.295162254923685,0.63577485315147,12.446835083067029,1.50764615679763,73.2061486356586
61,Gradient Boosting,independent_trace_observed_meter,False,7.224254652614832,12.581568852228898,1.0108247412505018,0.5804089637568092,12.446835083067029,-0.5888260798995179,51.05633740240372
61,Extra Trees,independent_trace_observed_meter,False,11.851535137751181,23.24494092157397,1.8675382751071348,0.9521725851316446,12.446835083067029,2.041863397517826,91.07687070523251
61,Metadata Gradient Boosting,independent_trace_observed_meter,False,7.805608018640482,11.31876644402117,0.9093690378704776,0.6271158866127677,12.446835083067029,-0.5064804784261039,43.978657079103336
61,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,8.591334788177857,14.439360582900315,1.16008290352814,0.6902425179446391,12.446835083067029,0.27629050665348087,62.81449551858185
61,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,5.451750822930974,6.240792449087792,0.501395929763536,0.43800297718635844,12.446835083067029,-4.252700960227301,11.308675892269513
61,Synthetic Control,independent_trace_observed_meter,False,8.71648974476544,17.629133243160492,1.4163546898073378,0.7002976810244365,12.446835083067029,-1.4251088115155215,92.31610241860794
61,Feasible Quantile Projection,independent_trace_observed_meter,False,3.7705357294096395,4.527265714785435,0.36372826381739687,0.3029312836754113,12.446835083067029,-2.5714858667059657,10.467053939863934
61,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,7.3005527688915315,10.253099391660774,0.8237515258484733,0.5865388847983836,12.446835083067029,-1.1796734453347786,43.432257769032844
61,Single Feasible Projection,independent_trace_observed_meter,False,7.007861229787786,9.658378023771085,0.7759705948792214,0.5630235463890293,12.446835083067029,-1.3042272672788005,38.75536805125657
61,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,7.325647397015906,10.311449744143959,0.828439492877342,0.5885550301041501,12.446835083067029,-1.1678929095578872,43.854297807297826
62,High-5-of-10,independent_trace_observed_meter,False,15.378246250598572,25.036046148632245,1.4154990828321596,0.8694621081164043,17.68708044553417,-2.396253782141916,103.60453186534784
62,Ridge,independent_trace_observed_meter,False,8.820604174697207,12.394064662900583,0.700741125765048,0.4987032315400776,17.68708044553417,-4.256143032413503,54.67461335616329
62,Gradient Boosting,independent_trace_observed_meter,False,10.247669366837567,13.051954514136463,0.7379371940060331,0.5793872764017993,17.68708044553417,-6.596855000643625,50.825398790866444
62,Extra Trees,independent_trace_observed_meter,False,12.579324682527734,18.260884536470186,1.0324419902257467,0.711215438933784,17.68708044553417,-5.5539867467763875,82.89225827931156
62,Metadata Gradient Boosting,independent_trace_observed_meter,False,17.736740657268086,22.58831372862638,1.2771081014860046,1.0028077110796685,17.68708044553417,1.9678132848007381,66.86106329090774
62,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,18.21868586057273,23.484632602561366,1.3277845755765205,1.030056142769045,17.68708044553417,2.510598237849411,68.31198540498575
62,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,9.618931208326593,10.391579825054487,0.587523749725369,0.5438393994954259,17.68708044553417,-9.618931208326593,15.5655741963066
62,Synthetic Control,independent_trace_observed_meter,False,15.425726392201152,25.94231015373726,1.466737839160304,0.8721465614239353,17.68708044553417,-2.3715743607508273,109.10253828486726
62,Feasible Quantile Projection,independent_trace_observed_meter,False,1.587618925213974e-14,2.067281779060327e-14,1.1688089424517189e-15,8.97615030418903e-16,17.68708044553417,4.440892098500626e-16,4.973799150320701e-14
62,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,15.019621933763341,19.097185201962837,1.0797251282240141,0.8491860474098574,17.68708044553417,1.3983426712040865,59.05705145844111
62,Single Feasible Projection,independent_trace_observed_meter,False,17.684032565386424,22.52481936305761,1.2735182288801612,0.9998276776002047,17.68708044553417,1.9294965841636698,66.86106329090772
62,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,14.866417663524807,18.933218252578286,1.0704546921059972,0.8405241164195894,17.68708044553417,1.3842229670353152,58.962419167847244
63,High-5-of-10,independent_trace_observed_meter,False,18.53672243512691,28.080655422954575,1.399304525079487,0.9237148917262115,20.067579943943553,-3.4289602956391474,110.294263602688
63,Ridge,independent_trace_observed_meter,False,12.90433751215501,17.35053078584309,0.8646050412810004,0.6430440316272203,20.067579943943553,-1.1139131661442185,69.83799659876573
63,Gradient Boosting,independent_trace_observed_meter,False,15.921560551623871,20.08315516128162,1.0007761382977707,0.7933971408659587,20.067579943943553,-1.99358252495992,67.47760332770574
63,Extra Trees,independent_trace_observed_meter,False,18.77908879689188,25.714012993770137,1.2813709010054644,0.9357923999480294,20.067579943943553,-1.6044792401093937,106.35514971099394
63,Metadata Gradient Boosting,independent_trace_observed_meter,False,17.43015821548485,21.751473821483167,1.0839111583082452,0.8685730050247197,20.067579943943553,-1.6771335894676593,68.29844768424613
63,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,18.475271890638282,23.403057019890976,1.166212223161173,0.9206527115998443,20.067579943943553,-0.8169903669468797,69.46492547386083
63,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,12.019674970348294,13.277534033160531,0.6616410185109404,0.5989598648129897,20.067579943943553,-12.019674970348294,22.176069540696787
63,Synthetic Control,independent_trace_observed_meter,False,17.033915355358015,22.422663030393466,1.1173576033098442,0.8488275817482862,20.067579943943553,-5.154305813339748,88.90846326921366
63,Feasible Quantile Projection,independent_trace_observed_meter,False,5.220698303919671,5.414952454679702,0.2698358481593566,0.2601558493103346,20.067579943943553,-5.220698303919671,8.801062964224935
63,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,14.783581887742372,19.140776848783077,0.9538159011824349,0.736689821544929,20.067579943943553,-1.888472612701646,76.58331105330242
63,Single Feasible Projection,independent_trace_observed_meter,False,16.562677294238796,21.24548623047215,1.0586969774042978,0.8253450261817671,20.067579943943553,-0.8096526682216043,68.29844768424616
63,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,14.703056779282903,19.12529354664421,0.9530443431678604,0.7326771250122924,20.067579943943553,-1.9233409992620611,77.13596778931921
64,High-5-of-10,independent_trace_observed_meter,False,18.94416507943768,26.361756078328977,1.3241226223520792,0.9515450134931133,19.9088480427151,-2.016904906027341,99.39716056459223
64,Ridge,independent_trace_observed_meter,False,13.921172801968666,19.998784798217,1.0045174263879526,0.6992455199869085,19.9088480427151,-0.524525258352545,68.41931337469703
64,Gradient Boosting,independent_trace_observed_meter,False,15.352431878587426,19.081406609483814,0.9584385077702144,0.7711361222732862,19.9088480427151,-2.2598880017332026,50.95948894097734
64,Extra Trees,independent_trace_observed_meter,False,14.945982054691465,20.002474555772203,1.0047027589369422,0.7507205852706474,19.9088480427151,-4.638978955751767,73.76174247919575
64,Metadata Gradient Boosting,independent_trace_observed_meter,False,17.51505383939223,21.163024296551267,1.0629959227749035,0.8797622947250939,19.9088480427151,-1.647787191060428,57.652232310032474
64,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,18.40285164112806,22.32146113729009,1.1211829579189438,0.924355422355132,19.9088480427151,-0.7417562465542185,57.43112651880354
64,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,11.921878015059463,12.620927151154302,0.6339355810077851,0.5988230956146069,19.9088480427151,-11.921878015059463,19.11633127182382
64,Synthetic Control,independent_trace_observed_meter,False,19.835656673287975,26.057836389044475,1.3088570636099344,0.9963236763237084,19.9088480427151,-1.1254133121770487,99.39716056459224
64,Feasible Quantile Projection,independent_trace_observed_meter,False,1.9532373638550167,1.989396977685899,0.09992526807264696,0.09810900960539155,19.9088480427151,-1.9532373638550167,2.5364486994010917
64,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,16.1954117879153,21.19112373610236,1.0644073273670125,0.8134780954260891,19.9088480427151,-0.4232457652748187,65.51034389985703
64,Single Feasible Projection,independent_trace_observed_meter,False,16.39518669765636,20.734544739141214,1.0414738559787364,0.8235125740314024,19.9088480427151,-0.5279200493245573,57.652232310032474
64,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,16.186619282046642,21.235451223761622,1.0666338493417726,0.8130364573237844,19.9088480427151,-0.41218872205705814,66.09194665854817
65,High-5-of-10,independent_trace_observed_meter,False,15.743727832399745,30.555289053990855,3.0885657755007396,1.5913951550589984,9.893034914898978,9.84215928260764,114.18288020551522
65,Ridge,independent_trace_observed_meter,False,11.524499484212338,23.35558344248947,2.3608107768138775,1.164910422670839,9.893034914898978,11.149546373883705,83.13252955310601
65,Gradient Boosting,independent_trace_observed_meter,False,12.270582902358434,23.23165323425699,2.3482837606556872,1.2403254418802114,9.893034914898978,11.040666795332722,65.71945902338156
65,Extra Trees,independent_trace_observed_meter,False,13.082136122865917,23.515069528633802,2.376931824350478,1.3223582283293198,9.893034914898978,10.201364199225132,101.88005661391175
65,Metadata Gradient Boosting,independent_trace_observed_meter,False,7.038451635784804,14.368199662422258,1.4523550948742383,0.7114552507223894,9.893034914898978,2.8785633002951707,53.54395484100772
65,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,6.043090031999826,11.361526445586467,1.1484369097369636,0.6108428893644043,9.893034914898978,1.8353964880664053,43.27914684448462
65,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,2.9668952709694176,3.3605959942043047,0.33969312987496125,0.2998973819956152,9.893034914898978,-2.7957736678015834,6.993333952686544
65,Synthetic Control,independent_trace_observed_meter,False,4.471683848992153,6.899662188412675,0.6974262446018195,0.45200324141763276,9.893034914898978,-1.5475930815698151,32.64703786671164
65,Feasible Quantile Projection,independent_trace_observed_meter,False,2.1837010433236403,2.3635863434108733,0.23891418192119146,0.22073115703200155,9.893034914898978,-2.012579440155806,4.100926894753103
65,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,3.3761645411683507,4.548862467211288,0.45980455000322196,0.3412668175348117,9.893034914898978,-1.914503552795483,18.857793891832902
65,Single Feasible Projection,independent_trace_observed_meter,False,3.2130742621645374,4.307771030335699,0.4354347343754106,0.3247814538009591,9.893034914898978,-1.9662142707927397,17.932687414133273
65,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,3.3867977389910844,4.566637220663187,0.4616012436978061,0.3423416341016389,9.893034914898978,-1.9111321054151582,18.918109198465405
66,High-5-of-10,independent_trace_observed_meter,False,16.502281418141628,30.03540836236924,2.5573914529998993,1.4051013705087323,11.744548659978031,7.990645537528588,112.78615805007786
66,Ridge,independent_trace_observed_meter,False,6.853482462515095,13.371008676071948,1.1384863789305428,0.5835458356837286,11.744548659978031,1.2005253138581782,57.79902456627164
66,Gradient Boosting,independent_trace_observed_meter,False,6.661429967172889,12.896167887401967,1.0980556393238265,0.5671933558309553,11.744548659978031,0.29970767292790046,53.17723988787539
66,Extra Trees,independent_trace_observed_meter,False,8.040766694787555,15.47205514478763,1.3173818417996637,0.6846382034405566,11.744548659978031,-0.3643802814405348,67.74416955736812
66,Metadata Gradient Boosting,independent_trace_observed_meter,False,5.88092568819513,8.385261562200087,0.7139705241100148,0.5007366275585877,11.744548659978031,-1.4039709654888877,33.98189973130131
66,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,5.966262613506616,8.628844556347318,0.7347106139337549,0.5080027156631302,11.744548659978031,-1.2934876740345973,35.730433846142645
66,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,5.031244138759787,5.1684238037460615,0.44007002341082124,0.42838973930984575,11.744548659978031,-5.031244138759787,8.512348628391024
66,Synthetic Control,independent_trace_observed_meter,False,6.127367871929598,8.933285697589811,0.760632524605379,0.5217201656126528,11.744548659978031,-2.864010418858128,40.8630356320853
66,Feasible Quantile Projection,independent_trace_observed_meter,False,4.642567004635017,4.733642724022897,0.4030502032107679,0.3952954804006663,11.744548659978031,-4.642567004635017,5.777464742768373
66,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,5.822706031028799,7.891363836006275,0.6719171646755335,0.49577946327310723,11.744548659978031,-3.655587680359821,34.628199484237356
66,Single Feasible Projection,independent_trace_observed_meter,False,5.694782215533561,7.462737849224722,0.6354214253167121,0.48488727667668524,11.744548659978031,-3.707258482003837,31.800379736475588
66,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,5.834194235587496,7.919892797943105,0.6743462884130892,0.4967576366275117,11.744548659978031,-3.6522188354531044,34.81256833181632
67,High-5-of-10,independent_trace_observed_meter,False,15.836509234783794,30.42380559616467,2.9363182380266575,1.5284422833228766,10.36120853733173,9.373985660174888,113.40608951220216
67,Ridge,independent_trace_observed_meter,False,5.651593811743152,14.920735643415032,1.4400574594802522,0.5454570083576928,10.36120853733173,2.2154244753072723,74.76530041786606
67,Gradient Boosting,independent_trace_observed_meter,False,5.449110627516861,10.820182062428135,1.0442972963474975,0.5259145791616451,10.36120853733173,1.1883157236375674,51.96398911664497
67,Extra Trees,independent_trace_observed_meter,False,6.023697899606557,12.807881023392095,1.236137751425901,0.5813702019318501,10.36120853733173,-0.41516727624944716,67.77485298863678
67,Metadata Gradient Boosting,independent_trace_observed_meter,False,4.106334902739734,8.426881581962933,0.8133106820117207,0.396318140682575,10.36120853733173,-1.0804009328371902,44.75312176013858
67,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,4.295085022719027,8.762056616026518,0.8456597108779905,0.41453513914363493,10.36120853733173,-0.8994396819184965,46.642136673235555
