day,truth_source,event_intervention,final_false_credit_mw_slots,reference_false_credit_mw_slots,final_false_credit_mwh,reference_false_credit_mwh,true_credit_mwh,false_credit_ratio_to_reference,causal_event_effect
61,independent_trace_observed_meter,False,5.402426868770156,8.670091316531163,1.350606717192539,2.167522829132791,0.0,0.6231107230058133,False
61,simulated_event_response_mechanism_isolation,False,0.0,0.0,0.0,0.0,28.2785284834328,0.0,False
62,independent_trace_observed_meter,False,3.5851842676499075,2.611244553918368e-13,0.8962960669124769,6.52811138479592e-14,0.0,3585184267.649907,False
62,simulated_event_response_mechanism_isolation,False,3.5851842676499075,5.3290705182007514e-14,0.8962960669124769,1.3322676295501878e-14,23.456457746003267,3585184267.649907,False
63,independent_trace_observed_meter,False,66.07702800045962,67.67061544511436,16.519257000114905,16.91765386127859,0.0,0.9764508208744272,False
63,simulated_event_response_mechanism_isolation,False,15.983412605462672,17.011195090234263,3.995853151365668,4.252798772558566,57.57166856182114,0.939581994132698,False
64,independent_trace_observed_meter,False,13.540108533483345,13.96647492509057,3.385027133370836,3.4916187312726423,0.0,0.9694721542913263,False
64,simulated_event_response_mechanism_isolation,False,1.8689191006274122,2.2952837618618034,0.46722977515685304,0.5738209404654508,38.129313728269594,0.8142431588116371,False
65,independent_trace_observed_meter,False,42.51446855539315,54.130101829772286,10.628617138848288,13.532525457443072,0.0,0.785412683853656,False
65,simulated_event_response_mechanism_isolation,False,9.89302305691954,3.154822425606266,2.473255764229885,0.7887056064015665,23.15840916082889,3.1358414903553204,False
66,independent_trace_observed_meter,False,132.30604737922837,157.4959742480915,33.076511844807094,39.373993562022875,0.0,0.8400598682656908,False
66,simulated_event_response_mechanism_isolation,False,32.42366365419085,42.61323948686458,8.105915913547712,10.653309871716145,47.93523558763824,0.7608823934680056,False
67,independent_trace_observed_meter,False,0.0,0.0,0.0,0.0,0.0,0.0,False
67,simulated_event_response_mechanism_isolation,False,0.0,0.0,0.0,0.0,38.8572421516854,0.0,False
68,independent_trace_observed_meter,False,13.678858999677233,18.33361976061291,3.4197147499193083,4.583404940153227,0.0,0.7461079251280347,False
68,simulated_event_response_mechanism_isolation,False,5.376981901339356,5.637547090062332,1.344245475334839,1.409386772515583,13.564637679028664,0.9537803969420865,False
69,independent_trace_observed_meter,False,9.447284906095357,10.863265564509712,2.361821226523839,2.715816391127428,0.0,0.8696542351831696,False
69,simulated_event_response_mechanism_isolation,False,2.9320275162429574,3.638971011627177,0.7330068790607394,0.9097427529067943,30.715676417942404,0.8057298359548878,False
70,independent_trace_observed_meter,False,1.9904662515918066,1.9237944709578798,0.49761656289795164,0.48094861773946995,0.0,1.0346563947658765,False
70,simulated_event_response_mechanism_isolation,False,0.46784922457849554,0.0,0.11696230614462388,0.0,18.99397768555821,467849224.5784955,False
71,independent_trace_observed_meter,False,0.0,0.0,0.0,0.0,0.0,0.0,False
71,simulated_event_response_mechanism_isolation,False,0.0,0.0,0.0,0.0,65.22102939799595,0.0,False
72,independent_trace_observed_meter,False,0.0,0.0,0.0,0.0,0.0,0.0,False
72,simulated_event_response_mechanism_isolation,False,0.0,0.0,0.0,0.0,22.412974623553275,0.0,False
73,independent_trace_observed_meter,False,49.085021475312594,51.929674366167056,12.271255368828148,12.982418591541764,0.0,0.9452210527877334,False
73,simulated_event_response_mechanism_isolation,False,10.50801302935064,12.255996224607802,2.62700325733766,3.0639990561519506,32.31849691440806,0.85737730632231,False
74,independent_trace_observed_meter,False,3.603582563501625,8.591052470700475,0.9008956408754063,2.147763117675119,0.0,0.4194576363945552,False
74,simulated_event_response_mechanism_isolation,False,0.0,1.1822238279128392,0.0,0.2955559569782098,26.328148165496472,0.0,False
75,independent_trace_observed_meter,False,76.01580423480662,79.58145063272639,19.003951058701656,19.895362658181597,0.0,0.9551950062537129,False
75,simulated_event_response_mechanism_isolation,False,19.67116588018919,20.760948636999764,4.917791470047297,5.190237159249941,34.70896884529503,0.9475080461945566,False
76,independent_trace_observed_meter,False,3.936324435056978,0.04094190887785487,0.9840811087642445,0.010235477219463718,0.0,96.1441355067375,False
76,simulated_event_response_mechanism_isolation,False,3.936324435056978,0.0,0.9840811087642445,0.0,23.561841707052317,3936324435.0569777,False
77,independent_trace_observed_meter,False,3.7129562024739347,3.712955629083419,0.9282390506184837,0.9282389072708548,0.0,1.0000001544296708,False
77,simulated_event_response_mechanism_isolation,False,3.6418201380583177,3.641819564667802,0.9104550345145794,0.9104548911669506,27.259820182962358,1.0000001574461626,False
78,independent_trace_observed_meter,False,14.248779947584419,17.74016696831957,3.5621949868961047,4.435041742079893,0.0,0.8031931138545607,False
78,simulated_event_response_mechanism_isolation,False,4.721820490245904,4.2672756683158894,1.180455122561476,1.0668189170789724,11.84072617668686,1.1065187387130777,False
79,independent_trace_observed_meter,False,206.88732617825497,208.5471158593077,51.72183154456374,52.136778964826924,0.0,0.9920411765263996,False
79,simulated_event_response_mechanism_isolation,False,8.856062799113255,8.94349590063975,2.214015699778314,2.2358739751599375,22.72640633087545,0.9902238338902531,False
80,independent_trace_observed_meter,False,7.793813145595205,10.606508746350471,1.9484532863988013,2.6516271865876178,0.0,0.7348141911707687,False
80,simulated_event_response_mechanism_isolation,False,3.5323569819339014,5.419007303418397,0.8830892454834753,1.3547518258545992,27.542283489806678,0.651845768819251,False
81,independent_trace_observed_meter,False,211.51033155235984,212.86833765674743,52.87758288808996,53.21708441418686,0.0,0.9936204410701164,False
81,simulated_event_response_mechanism_isolation,False,57.214473857497524,58.57247528751192,14.303618464374381,14.64311882187798,42.545997029925566,0.9768150240646577,False
82,independent_trace_observed_meter,False,15.872831010104143,19.212590998458204,3.9682077525260357,4.803147749614551,0.0,0.826168162918678,False
