day,baseline,citation_key,implementation,implementation_description,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
61,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,19.876646193841026,39.06657777646593,2.9519492313524442,1.5019193846336798,13.234163162950964,9.219089303296151,111.44898826584273,131.62601972997692,131.62601972997692,131.62601972997692,116.38294198854871,13.035450742004578,15.24307774142822,28.2785284834328,116.38294198854871,0.8841940387417435,13.035450742004578,0.11580596125825655,0.5390336258252794,0.1906522098556534,97.32609253219943
62,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,32.21917372756741,49.83059863192556,2.81734448968978,1.8216219362366535,17.68708044553417,14.709127272999886,109.21671515053812,211.16966174827246,211.16966174827246,211.16966174827246,187.7132040022692,1.3766765505351941e-14,23.456457746003252,23.456457746003267,187.7132040022692,0.8889212704523587,1.3766765505351941e-14,0.11107872954764131,0.9999999999999994,0.19994754033832565,117.67301818399909
63,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,37.29696064452892,52.99252170307018,2.4319345206099343,1.7116333246697526,21.790274883626203,13.709725116373797,108.05344621356217,236.0,236.0,236.0,204.02674304361088,25.598411605432027,31.97325695638912,57.57166856182114,204.02674304361088,0.864520097642419,25.598411605432027,0.135479902357581,0.5553644310665732,0.21782249706194723,140.68220221408785
64,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,36.33984544627015,52.58957425097607,2.5588489833590344,1.7681865255618974,20.552042966576735,14.64447130217821,106.92974085000311,233.57211415003957,233.57211415003957,233.57211415003957,203.9372669937934,8.494466572023452,29.634847156246146,38.129313728269594,203.9372669937934,0.8731233509441557,8.494466572023452,0.12687664905584417,0.7772195263581276,0.21814274137358697,132.304621127391
65,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,13.194864226765581,31.72240134138877,2.975354313526695,1.2375921914298347,10.661722268561732,5.958039236260667,113.96448862668413,84.95809203857918,84.95809203857918,84.95809203857918,76.611613852105,14.811930974354691,8.346478186474197,23.15840916082889,76.611613852105,0.9017577021070097,14.811930974354691,0.09824229789299047,0.36040809748675584,0.15439785960295013,55.36969315007513
66,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,32.22777071701774,54.77349528623431,4.126209992094955,2.427790099218371,13.274529263214927,22.225470736785073,110.19761210570803,236.0,236.0,236.0,217.81296581521124,29.74820140284949,18.187034184788757,47.93523558763824,217.81296581521124,0.9229362958271663,29.74820140284949,0.07706370417283372,0.37940846564815706,0.12810691950330502,184.28048932869356
67,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,27.100074081727914,49.95139129896009,4.325534641901832,2.3467276123910583,11.548027107464726,18.462413591972624,112.92526193143937,192.08352559549877,192.08352559549877,192.08352559549877,182.24995069480215,29.023667250988773,9.833574900696625,38.8572421516854,182.24995069480215,0.9488057350560882,29.023667250988773,0.051194264943911785,0.2530692956105765,0.08516101333361506,186.55655088746636
68,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,18.225140229620294,37.404032492617105,3.350532089188735,1.632549035491301,11.163609688535695,10.227674763630779,115.51684856195084,123.13027561733179,123.13027561733179,123.13027561733179,113.81125997300428,4.245622034701155,9.319015644327507,13.564637679028664,113.81125997300428,0.9243158061849107,4.245622034701155,0.07568419381508933,0.68700807679773,0.13634765800134027,86.2615396178313
69,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,27.646319768235628,40.753065031040535,2.07957072295273,1.4107522254736329,19.596864189921025,7.2376704806963,105.54183015939495,166.67627736493858,166.67627736493858,166.67627736493858,139.5359609957277,3.5753600487315054,27.1403163692109,30.715676417942404,139.5359609957277,0.8371674913893893,3.5753600487315054,0.16283250861061072,0.8835981991709296,0.2749890849052903,63.2612569666397
70,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,18.12158557288378,29.45047378735492,1.970313071937233,1.212381070548778,14.947103689668412,4.6592080927293775,114.52564816211891,108.85049425918231,108.85049425918231,108.85049425918231,91.12317466245263,1.2666580888285188,17.727319596729693,18.99397768555821,91.12317466245263,0.8371406605236038,1.2666580888285188,0.16285933947639625,0.9333126473139114,0.2773263376517703,40.04636851734038
