day,baseline,citation_key,implementation,implementation_description,migration_mwh,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
61,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,3.4880407684894017,3.6999105565604267,0.2795726870678401,0.26356337953080183,13.234163162950964,-2.946160061206204,8.670091316531163,7.804043999003934,7.804043999003934,7.804043999003934,0.0,20.474484484428864,7.804043999003934,28.2785284834328,0.0,0.0,20.474484484428864,1.0,0.27597065397430404,0.43256583231711476,0.004097616180587238
61,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,3.4880407684894017,3.6999105565604267,0.2795726870678401,0.26356337953080183,13.234163162950964,-2.946160061206204,8.670091316531163,7.804043999003934,7.804043999003934,7.804043999003934,0.0,20.474484484428864,7.804043999003934,28.2785284834328,0.0,0.0,20.474484484428864,1.0,0.27597065397430404,0.43256583231711476,0.004097616180587238
62,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,1.587618925213974e-14,2.067281779060327e-14,1.1688089424517189e-15,8.97615030418903e-16,17.68708044553417,4.440892098500626e-16,4.973799150320701e-14,23.45645774600323,23.45645774600323,23.45645774600323,1.3322676295501878e-14,4.6629367034256575e-14,23.45645774600322,23.456457746003267,1.3322676295501878e-14,5.679747743570506e-16,4.6629367034256575e-14,0.9999999999999996,0.999999999999998,0.9999999999999988,0.0
62,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,1.587618925213974e-14,2.067281779060327e-14,1.1688089424517189e-15,8.97615030418903e-16,17.68708044553417,4.440892098500626e-16,4.973799150320701e-14,23.45645774600323,23.45645774600323,23.45645774600323,1.3322676295501878e-14,4.6629367034256575e-14,23.45645774600322,23.456457746003267,1.3322676295501878e-14,5.679747743570506e-16,4.6629367034256575e-14,0.9999999999999996,0.999999999999998,0.9999999999999988,0.0
63,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,8.10496362570683,9.042185572731807,0.4149642728704789,0.37195325295309223,21.790274883626203,-3.8755501603871827,23.93579608729265,24.441364868903666,24.441364868903666,24.441364868903666,4.252798772558566,37.38310246547604,20.1885660963451,57.57166856182114,4.252798772558566,0.1740000525899161,37.38310246547604,0.8259999474100839,0.3506684207817666,0.49232579876217064,-3.552713678800501e-15
63,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,8.10496362570683,9.042185572731807,0.4149642728704789,0.37195325295309223,21.790274883626203,-3.8755501603871827,23.93579608729265,24.441364868903666,24.441364868903666,24.441364868903666,4.252798772558566,37.38310246547604,20.1885660963451,57.57166856182114,4.252798772558566,0.1740000525899161,37.38310246547604,0.8259999474100839,0.3506684207817666,0.49232579876217064,-3.552713678800501e-15
64,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,2.766511021563826,2.852742117997414,0.13880576848913542,0.13461002519617793,20.552042966576735,-1.8936063387456654,6.035890627389222,24.832463233217656,24.832463233217656,24.832463233217656,0.5738209404654508,13.87067143551739,24.258642292752207,38.129313728269594,0.5738209404654508,0.023107693146520697,13.87067143551739,0.9768923068534794,0.636220270462579,0.7705831526194328,0.0
64,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,2.766511021563826,2.852742117997414,0.13880576848913542,0.13461002519617793,20.552042966576735,-1.8936063387456654,6.035890627389222,24.832463233217656,24.832463233217656,24.832463233217656,0.5738209404654508,13.87067143551739,24.258642292752207,38.129313728269594,0.5738209404654508,0.023107693146520697,13.87067143551739,0.9768923068534794,0.636220270462579,0.7705831526194328,0.0
65,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,4.3463037718594935,7.711473755128729,0.7232859345687128,0.40765494189202983,10.661722268561732,-0.9631724074987252,39.518466783488435,4.445432384717433,4.445432384717433,4.445432384717433,0.7887056064015665,19.50168238251302,3.656726778315867,23.15840916082889,0.7887056064015665,0.17741932350899975,19.50168238251302,0.8225806764910003,0.15790060331523156,0.2649433248109521,0.0
65,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,4.3463037718594935,7.711473755128729,0.7232859345687128,0.40765494189202983,10.661722268561732,-0.9631724074987252,39.518466783488435,4.445432384717433,4.445432384717433,4.445432384717433,0.7887056064015665,19.50168238251302,3.656726778315867,23.15840916082889,0.7887056064015665,0.17741932350899975,19.50168238251302,0.8225806764910003,0.15790060331523156,0.2649433248109521,0.0
66,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,10.653088819807337,15.306507046226868,1.1530734342981757,0.8025210241788484,13.274529263214927,-0.8095904293016187,42.61323948686458,14.212327612599111,14.212327612599111,14.212327612599111,10.653309871716145,44.37621784675528,3.559017740882966,47.93523558763824,10.653309871716145,0.7495823458412311,44.37621784675528,0.25041765415876893,0.07424638050179484,0.11453442605355037,0.0
66,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,10.653088819807337,15.306507046226868,1.1530734342981757,0.8025210241788484,13.274529263214927,-0.8095904293016187,42.61323948686458,14.212327612599111,14.212327612599111,14.212327612599111,10.653309871716145,44.37621784675528,3.559017740882966,47.93523558763824,10.653309871716145,0.7495823458412311,44.37621784675528,0.25041765415876893,0.07424638050179484,0.11453442605355037,0.0
67,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,4.857155268960675,4.920397371198651,0.4260812107046468,0.4206047685687346,11.548027107464726,-4.857155268960675,5.792054773129168,0.84015011719457,0.84015011719457,0.84015011719457,0.0,38.01709203449083,0.84015011719457,38.8572421516854,0.0,0.0,38.01709203449083,1.0,0.021621455118068105,0.04232772326726308,0.0
67,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,4.857155268960675,4.920397371198651,0.4260812107046468,0.4206047685687346,11.548027107464726,-4.857155268960675,5.792054773129168,0.84015011719457,0.84015011719457,0.84015011719457,0.0,38.01709203449083,0.84015011719457,38.8572421516854,0.0,0.0,38.01709203449083,1.0,0.021621455118068105,0.04232772326726308,0.0
68,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,1.488622212472153,2.1465152714116806,0.1922778860332257,0.1333459565503147,11.163609688535695,-0.3427709774338462,7.571081460178355,9.56797131589515,9.56797131589515,9.56797131589515,1.409386772515583,5.406053135649094,8.158584543379568,13.564637679028664,1.409386772515583,0.1473025708359082,5.406053135649094,0.852697429164092,0.6014598204855103,0.705375216878466,1.6979736893142814
68,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,1.488622212472153,2.1465152714116806,0.1922778860332257,0.1333459565503147,11.163609688535695,-0.3427709774338462,7.571081460178355,9.56797131589515,9.56797131589515,9.56797131589515,1.409386772515583,5.406053135649094,8.158584543379568,13.564637679028664,1.409386772515583,0.1473025708359082,5.406053135649094,0.852697429164092,0.6014598204855103,0.705375216878466,1.6979736893142814
69,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,1.34848823061358,1.6106458325796875,0.08218895722143485,0.06881142909114656,19.596864189921025,-0.6695341328317228,3.476997643380326,26.0515882625549,26.0515882625549,26.0515882625549,0.9097427529067943,5.573830908294296,25.141845509648107,30.715676417942404,0.9097427529067943,0.03492081725452447,5.573830908294296,0.9650791827454756,0.818534652063258,0.8857867523176864,0.0036200584155210436
69,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,1.34848823061358,1.6106458325796875,0.08218895722143485,0.06881142909114656,19.596864189921025,-0.6695341328317228,3.476997643380326,26.0515882625549,26.0515882625549,26.0515882625549,0.9097427529067943,5.573830908294296,25.141845509648107,30.715676417942404,0.9097427529067943,0.03492081725452447,5.573830908294296,0.9650791827454756,0.818534652063258,0.8857867523176864,0.0036200584155210436
70,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,0.4529759511862265,0.5908263992938594,0.03952781833595257,0.030305265862263876,14.947103689668412,-0.33273879675135903,1.9237944709578798,17.021264078335584,17.021264078335584,17.021264078335584,0.0,1.9727136072226261,17.021264078335584,18.99397768555821,0.0,0.0,1.9727136072226261,1.0,0.8961400481836646,0.9452255903165886,0.11079340149450356
70,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,0.4529759511862265,0.5908263992938594,0.03952781833595257,0.030305265862263876,14.947103689668412,-0.33273879675135903,1.9237944709578798,17.021264078335584,17.021264078335584,17.021264078335584,0.0,1.9727136072226261,17.021264078335584,18.99397768555821,0.0,0.0,1.9727136072226261,1.0,0.8961400481836646,0.9452255903165886,0.11079340149450356
71,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,6.829368852347647,6.937513976220594,0.2805800701612474,0.27620626038617885,24.72561209437881,-6.829368852347647,10.001035817388626,23.41848599196899,23.41848599196899,23.41848599196899,0.0,41.802543406026956,23.41848599196899,65.22102939799595,0.0,0.0,41.802543406026956,1.0,0.359063421846092,0.528398330901079,0.0
71,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,6.829368852347647,6.937513976220594,0.2805800701612474,0.27620626038617885,24.72561209437881,-6.829368852347647,10.001035817388626,23.41848599196899,23.41848599196899,23.41848599196899,0.0,41.802543406026956,23.41848599196899,65.22102939799595,0.0,0.0,41.802543406026956,1.0,0.359063421846092,0.528398330901079,0.0
72,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,1.193614986060627,1.2061955977530396,0.08077206406179349,0.0799296119956037,14.933326413823686,-1.193614986060627,1.6283699671778713,15.605712841041811,15.605712841041811,15.605712841041811,0.0,6.807261782511461,15.605712841041811,22.412974623553275,0.0,0.0,6.807261782511461,1.0,0.6962803065257626,0.8209495846259625,0.0
72,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,1.193614986060627,1.2061955977530396,0.08077206406179349,0.0799296119956037,14.933326413823686,-1.193614986060627,1.6283699671778713,15.605712841041811,15.605712841041811,15.605712841041811,0.0,6.807261782511461,15.605712841041811,22.412974623553275,0.0,0.0,6.807261782511461,1.0,0.6962803065257626,0.8209495846259625,0.0
73,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,4.2729795668448896,5.697443659578156,0.3427735821319789,0.2570739791418349,16.62159500198722,-1.027374918959448,15.87991132104816,18.82404526657891,18.82404526657891,18.82404526657891,3.0639990561519506,16.5584507039811,15.760046210426959,32.31849691440806,3.0639990561519506,0.1627704891674861,16.5584507039811,0.8372295108325138,0.48764787088229034,0.6163184518538072,-1.7763568394002505e-15
73,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,4.2729795668448896,5.697443659578156,0.3427735821319789,0.2570739791418349,16.62159500198722,-1.027374918959448,15.87991132104816,18.82404526657891,18.82404526657891,18.82404526657891,3.0639990561519506,16.5584507039811,15.760046210426959,32.31849691440806,3.0639990561519506,0.1627704891674861,16.5584507039811,0.8372295108325138,0.48764787088229034,0.6163184518538072,-1.7763568394002505e-15
74,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,2.2654396136403996,2.3578023496596323,0.16921996495071331,0.1625910721793651,13.933357983771957,-1.7284988342216199,3.343576073993571,12.649080083215651,12.649080083215651,12.649080083215651,0.2955559569782098,13.974624039259032,12.353524126237442,26.328148165496472,0.2955559569782098,0.02336580644867524,13.974624039259032,0.9766341935513249,0.46921355989734836,0.6338841770589793,0.0
74,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,2.2654396136403996,2.3578023496596323,0.16921996495071331,0.1625910721793651,13.933357983771957,-1.7284988342216199,3.343576073993571,12.649080083215651,12.649080083215651,12.649080083215651,0.2955559569782098,13.974624039259032,12.353524126237442,26.328148165496472,0.2955559569782098,0.02336580644867524,13.974624039259032,0.9766341935513249,0.46921355989734836,0.6338841770589793,0.0
75,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,4.923534570593792,7.371664997147724,0.3812650584880075,0.2546469076865935,19.334751068932786,0.05030609395160823,21.057120954479622,27.688856414365553,27.688856414365553,27.688856414365553,5.190237159249941,12.210349590179417,22.498619255115614,34.70896884529503,5.190237159249941,0.18744859237151948,12.210349590179417,0.8125514076284805,0.6482076536297162,0.7211347242148419,0.0
75,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,4.923534570593792,7.371664997147724,0.3812650584880075,0.2546469076865935,19.334751068932786,0.05030609395160823,21.057120954479622,27.688856414365553,27.688856414365553,27.688856414365553,5.190237159249941,12.210349590179417,22.498619255115614,34.70896884529503,5.190237159249941,0.18744859237151948,12.210349590179417,0.8125514076284805,0.6482076536297162,0.7211347242148419,0.0
76,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,1.8850749551428811,2.112552421886535,0.14419710231602642,0.1286701070060909,14.650449890848748,-1.8825160858380152,4.963701102861062,13.52442845222906,13.52442845222906,13.52442845222906,0.0,10.037413254823258,13.52442845222906,23.561841707052317,0.0,0.0,10.037413254823258,1.0,0.573997084794142,0.7293496161325016,0.0
76,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,1.8850749551428811,2.112552421886535,0.14419710231602642,0.1286701070060909,14.650449890848748,-1.8825160858380152,4.963701102861062,13.52442845222906,13.52442845222906,13.52442845222906,0.0,10.037413254823258,13.52442845222906,23.561841707052317,0.0,0.0,10.037413254823258,1.0,0.573997084794142,0.7293496161325016,0.0
77,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,3.452631155291892,3.7365555134318345,0.3726977504592044,0.34437809370609446,10.02569913241491,-3.2205714284741784,5.921460936446334,2.929421649009642,2.929421649009642,2.929421649009642,0.9104548911669506,25.240853425119663,2.018966757842692,27.259820182962358,0.9104548911669506,0.3107968057362963,25.240853425119663,0.6892031942637038,0.07406383256719225,0.13375405510876393,-4.440892098500626e-16
77,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,3.452631155291892,3.7365555134318345,0.3726977504592044,0.34437809370609446,10.02569913241491,-3.2205714284741784,5.921460936446334,2.929421649009642,2.929421649009642,2.929421649009642,0.9104548911669506,25.240853425119663,2.018966757842692,27.259820182962358,0.9104548911669506,0.3107968057362963,25.240853425119663,0.6892031942637038,0.07406383256719225,0.13375405510876393,-4.440892098500626e-16
78,Temporal-only ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with native-site assignment fixed; temporal deferral retained,0.0,1.5483325560034211,1.900823152366752,0.20268152991828164,0.16509605897966648,9.378373812024892,-0.4395721204834478,5.45543213870301,6.4417414126983905,6.4417414126983905,6.4417414126983905,1.0668189170789724,6.465803681067442,5.374922495619417,11.84072617668686,1.0668189170789724,0.16561032937087286,6.465803681067442,0.834389670629127,0.45393520763971995,0.5879865471486007,1.7763568394002505e-15
78,Joint spatio-temporal ledger control,internal_structural_control,exact_ledger_lp,exact workload LP with temporal deferral and cross-site migration enabled,0.0,1.5483325560034211,1.900823152366752,0.20268152991828164,0.16509605897966648,9.378373812024892,-0.4395721204834478,5.45543213870301,6.4417414126983905,6.4417414126983905,6.4417414126983905,1.0668189170789724,6.465803681067442,5.374922495619417,11.84072617668686,1.0668189170789724,0.16561032937087286,6.465803681067442,0.834389670629127,0.45393520763971995,0.5879865471486007,1.7763568394002505e-15
