block_length_days,method,metric,mean,ci_2.5,ci_97.5
3,High-5-of-10,nrmse,4.214370508655282,3.687377896444719,4.839057369357465
3,High-5-of-10,false_response_ratio,0.9168872009321221,0.9051157750588291,0.9317328756379606
3,High-5-of-10,credit_f1,0.1438533604600676,0.1209223803018297,0.1631952881683194
3,Ridge,nrmse,2.772429176047264,2.409816723887423,3.186488371618848
3,Ridge,false_response_ratio,0.8527939029836963,0.8352338948030278,0.8755519335562948
3,Ridge,credit_f1,0.23508779939634222,0.2058093884267956,0.2608522784083241
3,Gradient Boosting,nrmse,2.3513722852181904,2.0949741690955634,2.627250656917758
3,Gradient Boosting,false_response_ratio,0.8471070002653048,0.8244866824370082,0.8691573198327381
3,Gradient Boosting,credit_f1,0.24586394533489042,0.21670308748236486,0.27463227287831665
3,Extra Trees,nrmse,3.3355704511286266,2.9889762603732706,3.720515541108572
3,Extra Trees,false_response_ratio,0.8928335671903923,0.8735992731603597,0.9113912459292888
3,Extra Trees,credit_f1,0.17684690237257736,0.14997623507879815,0.20365278330258002
3,Metadata Gradient Boosting,nrmse,2.132880396331526,1.9070527873456362,2.3897205914872477
3,Metadata Gradient Boosting,false_response_ratio,0.8361452884204993,0.8158923696607678,0.8584986827370862
3,Metadata Gradient Boosting,credit_f1,0.2644502686339565,0.23436452385709236,0.29189045828712157
3,Ex-post Metadata Gradient Boosting,nrmse,2.1236523448704627,1.8617262419203586,2.423714075583463
3,Ex-post Metadata Gradient Boosting,false_response_ratio,0.8347761289967935,0.8159378257209002,0.8571794492416891
3,Ex-post Metadata Gradient Boosting,credit_f1,0.26741340977764494,0.2374725660852943,0.294331496473309
3,Ex-post Quantile Gradient Boosting,nrmse,0.9444731654157017,0.6798105723638658,1.2854690014574308
3,Ex-post Quantile Gradient Boosting,false_response_ratio,0.48924344804753894,0.38524481337169436,0.5946508947699453
3,Ex-post Quantile Gradient Boosting,credit_f1,0.5316263338443133,0.4595129889817985,0.597774408126352
3,Synthetic Control,nrmse,2.552037287594039,2.1377155658460705,3.0034776941049386
