split,ablation,n_days,nrmse,false_response_mwh,underestimation_mwh,credit_f1,net_system_response_mwh
test,CVaR-only ensemble,54,0.3055003794825164,1.8859939728463335,12.176591752800732,0.4868028735717304,0.2563711407640754
test,single reference,54,0.3392691716572267,1.8234111693639639,13.53676412242439,0.41844273434833357,0.19945585388837295
test,total+CVaR ensemble,54,0.336796904110908,1.831972148979776,13.472980422121216,0.4232197271392082,0.21064845659462694
test,total-budget-only ensemble,54,0.33679690411089414,1.831972148979831,13.472980422120843,0.4232197271392365,0.21064845659469658
test,unconstrained convex ensemble,54,0.3005986653034585,3.184942797132251,10.551788857089923,0.5159182676229145,1.7224347755905451
validation,CVaR-only ensemble,16,0.4107905311386055,4.133419215269304,22.853838644736175,0.4739595720118497,1.9890076323278512
validation,single reference,16,0.451477519120974,3.227679310375529,26.70260152467531,0.37283144912761934,0.1582011364599263
validation,total+CVaR ensemble,16,0.4469288790366667,3.2276793103755343,26.286447255568053,0.38488704807782426,0.45231587611474416
validation,total-budget-only ensemble,16,0.446928879036643,3.227679310375534,26.28644725556551,0.38488704807789725,0.4523158761164979
validation,unconstrained convex ensemble,16,0.4121543356381272,6.9264542410106085,19.739218625250338,0.5337296817567251,6.325949745360604
