candidate_index,candidate_name,projection_weight,nrmse,false_response_mwh,underestimation_mwh,credit_f1,selected_single_reference,selected_risk_reference,dominated_by_indices,dominates_indices,pareto_efficient,strictly_dominates_single_reference
0,Metadata projection rho=0.03,0.03,1.3574837307800762,0.0,53.84762694646209,0.18333891491214468,0,0,,,1,0
1,Metadata projection rho=0.1,0.1,1.3574837307800762,0.0,53.84762694646209,0.18333891491214468,0,0,,,1,0
2,Metadata projection rho=0.3,0.3,1.3555914283693211,0.07569748679480541,53.81916470248731,0.1838503971679925,0,0,,,1,0
3,Metadata projection rho=1,1.0,1.1486433821096418,0.2001052190070261,36.361482016340645,0.3801757138824056,0,0,,,1,0
4,Metadata projection rho=3,3.0,1.0300629796736724,0.6480840407077889,31.20733096352738,0.4335880117760263,0,0,,,1,0
5,Metadata projection rho=10,10.0,0.9433757479691501,2.469607400903191,26.812316466861716,0.4630428327216649,1,0,6,,0,0
6,Causal Pareto projection rho=10,10.0,0.6913923143039826,1.8949510462218895,17.024064992535177,0.6992691514155863,0,1,,5,1,1
