day,method,event_migration_mwh,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
61,High-5-of-10,7.799946382823347,30.645722528575014,54.10427157997348,4.088227635838613,2.3156524633433344,13.234163162950964,23.675200806417294,120.88273762835148,238.88968183992364,238.88968183992364,238.88968183992364,217.28369333996926,6.672539983478394,21.605988499954407,28.2785284834328,217.28369333996926,0.9095566274208853,6.672539983478394,0.09044337257911479,0.7640421782417867,0.16174071364107617,212.97498455716857
61,Ridge,7.799946382823347,25.51494517689482,46.667616337051136,3.5262990007329753,1.9279606018704607,13.234163162950964,21.271059583140833,101.50798523663235,209.5461074222435,209.5461074222435,209.5461074222435,187.1440190401426,5.876440101331937,22.40208838210086,28.2785284834328,187.1440190401426,0.8930923191192485,5.876440101331937,0.10690768088075141,0.7921942754279205,0.18839165502589697,193.74185477095688
61,Gradient Boosting,7.799946382823347,21.57102880728722,35.38158451624004,2.6735037252140565,1.629950344550331,13.234163162950964,16.52968523649681,80.79097486395405,174.9110621634148,174.9110621634148,174.9110621634148,150.23533334600333,3.6027996660213395,24.67572881741146,28.2785284834328,150.23533334600333,0.8589241382894491,3.6027996660213395,0.14107586171055078,0.8725959284574489,0.24288378886789486,155.8108599978047
61,Extra Trees,7.799946382823347,29.394410550785295,49.44413500558808,3.7360983385792705,2.2211008122580007,13.234163162950964,19.761057798505465,110.70804429315407,216.79368975402548,216.79368975402548,216.79368975402548,196.62187339716303,8.106712126570363,20.171816356862436,28.2785284834328,196.62187339716303,0.9069538583906689,8.106712126570363,0.09304614160933104,0.7133262386223617,0.16461936405469935,181.6618404938739
61,Metadata Gradient Boosting,7.799946382823347,17.0847970358694,31.34960557951506,2.3688392831122314,1.2909616441558076,13.234163162950964,14.38402309828492,73.56483017810393,150.58408653990907,150.58408653990907,150.58408653990907,125.87528053661728,3.569722480141024,24.708806003291777,28.2785284834328,125.87528053661728,0.8359135645004344,3.569722480141024,0.16408643549956548,0.8737656210706871,0.27628809966875684,138.64556289210958
61,Ex-post Metadata Gradient Boosting,7.799946382823347,17.908365497198993,32.35950792640441,2.4451495366926443,1.353192134379411,13.234163162950964,14.116710109726558,79.00006579612861,150.67332719038063,150.67332719038063,150.67332719038063,128.1003024277022,5.705503720754354,22.573024762678443,28.2785284834328,128.1003024277022,0.8501856620305683,5.705503720754354,0.14981433796943167,0.7982390164291268,0.25228042120807825,136.50705898364268
61,Ex-post Quantile Gradient Boosting,7.799946382823347,4.591979000417295,7.4744663823851125,0.5647857208916601,0.3469791738152767,13.234163162950964,-0.7036735158159559,30.016415493446864,34.006713587745885,34.006713587745885,34.006713587745885,15.553221938405352,9.825036834092261,18.453491649340535,28.2785284834328,15.553221938405352,0.4573573949824385,9.825036834092261,0.5426426050175616,0.6525619485522968,0.5925478021985415,17.94398997930257
61,Synthetic Control,7.799946382823347,26.33747403471952,46.611657458420716,3.522070635256337,1.9901125375612168,13.234163162950964,18.391423316517994,113.6581599831928,198.55678978631667,198.55678978631667,198.55678978631667,178.91558940495008,8.637328102066174,19.641200381366623,28.2785284834328,178.91558940495008,0.9010801876757571,8.637328102066174,0.09891981232424304,0.6945623211219627,0.173175857544455,170.70476463797416
61,Feasible Quantile Projection,7.799946382823347,3.0769652923838686,3.2417016169674824,0.24494949752793024,0.23250168933974097,13.234163162950964,-3.0769652923838686,5.584996194809179,10.402933899283951,10.402933899283951,10.402933899283951,0.0,17.875594584148846,10.402933899283951,28.2785284834328,0.0,0.0,17.875594584148846,1.0,0.3678739473794965,0.5378769704390536,-1.0423442332407307
61,Tail-Risk Feasible Counterfactual,7.799946382823347,3.3861904038793,3.524794129243169,0.26634053742897995,0.25586736102505814,13.234163162950964,-2.9639906046334037,6.755196787934338,8.187000969372255,8.187000969372255,8.187000969372255,0.0,20.09152751406054,8.187000969372255,28.2785284834328,0.0,0.0,20.09152751406054,1.0,0.28951297710447255,0.4490268531528195,-0.13854673123701122
