cvar_reserve_fraction,reference_total_budget_mw_slots,reference_cvar_metric_value,cvar_budget_metric_value,minimum_achievable_cvar_metric_value,cvar_budget_minus_minimum_metric,risk_cvar_metric,risk_cvar_level,feasible,minimum_cvar_touches_budget,locked_test_days_used_for_stress
0.97,129.26063725710603,24.60767410191425,23.86944387885682,0.0,23.86944387885682,daily_false_credit_mw_slots,0.75,True,False,False
0.99,129.26063725710603,24.60767410191425,24.361597360895107,0.0,24.361597360895107,daily_false_credit_mw_slots,0.75,True,False,False
1.0,129.26063725710603,24.60767410191425,24.60767410191425,0.0,24.60767410191425,daily_false_credit_mw_slots,0.75,True,False,False
