method,metric,mean,ci_2.5,ci_97.5
High-5-of-10,nrmse,4.196346427187235,3.6885584893314936,4.821525860302377
High-5-of-10,bias_mw,17.80994313828555,14.976571763623367,20.66252166661349
High-5-of-10,false_response_ratio,0.9178218141771224,0.9066716484280068,0.9324098713368729
High-5-of-10,false_response_mwh,172.45528697799946,145.82483405986875,197.23892882132523
High-5-of-10,credit_precision,0.08217818582287777,0.06759012866312712,0.09332835157199304
High-5-of-10,credit_recall,0.727986673254816,0.6922116666204143,0.7637192267297683
High-5-of-10,credit_f1,0.14254216566084832,0.1199005230307551,0.16089968581511027
Ridge,nrmse,2.7607877176146784,2.4128599818554997,3.172251410573931
Ridge,bias_mw,11.454406098846848,9.370867165879936,13.600404682518079
Ridge,false_response_ratio,0.8546420035169269,0.8371304952677374,0.8769458321149558
Ridge,false_response_mwh,109.81693737232655,90.02003800439128,128.62154418339952
Ridge,credit_precision,0.14535799648307293,0.12305416788504413,0.16286950473226233
Ridge,credit_recall,0.8303547594426307,0.7954184077710265,0.8725527144980664
Ridge,credit_f1,0.233270833501062,0.20385472931255982,0.2593489473370589
Gradient Boosting,nrmse,2.3432771596955,2.1074996697242443,2.610411383118911
Gradient Boosting,bias_mw,9.269494173373529,7.991303176130802,10.489121902897553
Gradient Boosting,false_response_ratio,0.848389443609553,0.8274015794716923,0.8699735603156897
Gradient Boosting,false_response_mwh,96.07671157225916,84.44712489879879,105.53438491621216
Gradient Boosting,credit_precision,0.1516105563904468,0.13002643968431019,0.1725984205283078
Gradient Boosting,credit_recall,0.8516992507736458,0.8075121354614458,0.9007744082712185
Gradient Boosting,credit_f1,0.24528242142223308,0.2161957737477109,0.2726864063946588
Extra Trees,nrmse,3.3495493400361016,2.991167989262702,3.742117203692077
Extra Trees,bias_mw,13.063948200123471,11.48463888122616,14.598270447082037
Extra Trees,false_response_ratio,0.8976838762110153,0.8808352295479365,0.9141152873682794
Extra Trees,false_response_mwh,133.96134734486358,117.90684552619695,147.65297855286073
Extra Trees,credit_precision,0.1023161237889847,0.08588471263172053,0.11916477045206345
Extra Trees,credit_recall,0.7269822831575696,0.6889326900683569,0.7661035277150835
Extra Trees,credit_f1,0.17121372999659384,0.14700026755666792,0.19552688449235825
Metadata Gradient Boosting,nrmse,2.201175270299155,1.9804237090527361,2.4574082352131357
Metadata Gradient Boosting,bias_mw,9.341935135461101,8.19894884191686,10.425697298183708
Metadata Gradient Boosting,false_response_ratio,0.8411572974921264,0.821490739183538,0.8633096990120762
Metadata Gradient Boosting,false_response_mwh,92.87413895799024,81.1895362267937,102.65576121489886
Metadata Gradient Boosting,credit_precision,0.15884270250787363,0.13669030098792373,0.17850926081646226
Metadata Gradient Boosting,credit_recall,0.8766794353349799,0.839312933941079,0.9195551904731346
Metadata Gradient Boosting,credit_f1,0.2587781810588362,0.2283964869865187,0.28657570739333615
Ex-post Metadata Gradient Boosting,nrmse,2.1259013245334106,1.8887992598382526,2.4089565635259027
Ex-post Metadata Gradient Boosting,bias_mw,9.093140827807268,7.815917022190532,10.42734070759573
Ex-post Metadata Gradient Boosting,false_response_ratio,0.8366551628753757,0.8184084363255195,0.8583695854553081
Ex-post Metadata Gradient Boosting,false_response_mwh,90.80696153526094,77.3107108943229,103.46691383580193
Ex-post Metadata Gradient Boosting,credit_precision,0.16334483712462428,0.14163041454469186,0.18159156367448054
Ex-post Metadata Gradient Boosting,credit_recall,0.8766948320340988,0.8381447818274851,0.9227985452789101
Ex-post Metadata Gradient Boosting,credit_f1,0.2648942796536818,0.23570728281995687,0.2900705831747102
Ex-post Quantile Gradient Boosting,nrmse,0.9322231435125999,0.7405258532008145,1.1638024513852963
Ex-post Quantile Gradient Boosting,bias_mw,0.1892334488263914,-1.71850412956645,2.1197909956485574
Ex-post Quantile Gradient Boosting,false_response_ratio,0.4946060084889055,0.39249343662431685,0.5978499431637079
Ex-post Quantile Gradient Boosting,false_response_mwh,23.143623015261454,16.530828688064325,30.954411295764924
Ex-post Quantile Gradient Boosting,credit_precision,0.5053939915110944,0.40215005683629207,0.607506563375683
Ex-post Quantile Gradient Boosting,credit_recall,0.8196991131879641,0.7694127246321952,0.8821359370669524
Ex-post Quantile Gradient Boosting,credit_f1,0.5333059347716015,0.4593697803954581,0.6014556208888987
Synthetic Control,nrmse,2.5978382790608863,2.190781055493864,3.0510691746813228
Synthetic Control,bias_mw,9.278360861637838,7.211365641165629,11.252132186533018
Synthetic Control,false_response_ratio,0.8730201661693413,0.8543220207082655,0.8932536633444312
Synthetic Control,false_response_mwh,104.99800186272289,81.84483827532401,125.50509475815764
Synthetic Control,credit_precision,0.12697983383065886,0.1067463366555687,0.14567797929173465
Synthetic Control,credit_recall,0.6631182541107427,0.6098552139322451,0.7153762669423822
Synthetic Control,credit_f1,0.20151907856877005,0.17617268032226066,0.2238588399183611
Feasible Quantile Projection,nrmse,0.30088835711063006,0.23502577379031397,0.37482451829792385
Feasible Quantile Projection,bias_mw,-0.965011994425673,-1.3534624080015651,-0.4751822691586816
Feasible Quantile Projection,false_response_ratio,0.19538924679722955,0.14790779332100099,0.25331187033988917
Feasible Quantile Projection,false_response_mwh,2.811432241067416,2.0710363620281163,3.6724414072708647
Feasible Quantile Projection,credit_precision,0.8046107532027703,0.7466881296601109,0.852092206678999
Feasible Quantile Projection,credit_recall,0.4541595741842538,0.35254102145390903,0.550596387174898
Feasible Quantile Projection,credit_f1,0.5187635768733472,0.4132282202026984,0.6151311577963945
Tail-Risk Feasible Counterfactual,nrmse,0.3232645777427707,0.24333968295176844,0.4097147462399533
Tail-Risk Feasible Counterfactual,bias_mw,-0.99119146452957,-1.3942387340218725,-0.49891014124157385
