day,gross_positive_response_mw_intervals,net_positive_response_mw_intervals,spatial_offset_mw_intervals,selected
61,128.47730666559366,105.94119748009925,22.53610918549441,0
62,92.73629026781015,3.4283687000424834e-13,92.7362902678098,0
63,230.5220278807767,191.68822057750447,38.83380730327224,0
64,158.4995200068693,74.56187776495209,83.9376422419172,0
65,98.42286292455177,83.0467682528088,15.376094671742962,0
66,191.1637959287259,183.4028679857433,7.76092794298259,0
67,155.78577904340602,155.4289686067416,0.356810436664432,0
68,57.48181043725408,17.702499885220004,39.779310552034076,0
69,125.9717972664015,27.807855645695764,98.16394162070573,1
70,79.28178983138962,12.028858221930511,67.25293160945911,0
71,272.53724899351164,218.5398032751246,53.99744571838704,0
72,95.48972675571794,38.195679553940074,57.294047201777865,0
73,130.3388196464312,84.8056717728694,45.5331478735618,0
74,105.52749929951582,63.90301516579235,41.62448413372348,0
75,154.4861019982741,77.8029840629032,76.6831179353709,0
76,106.53743188706522,60.24051474681626,46.296917140248965,0
77,105.05926589954896,103.0582857111738,2.0009801883751663,0
78,42.69559293714899,30.41327055800072,12.282322379148269,0
79,98.03812073137732,26.651785837727317,71.38633489365,0
80,109.42291196415789,66.7299946794858,42.69291728467209,0
81,169.64990982258766,94.78706760908939,74.86284221349827,0
82,112.93706764596051,67.4982533240094,45.438814321951114,0
83,40.29220738865469,30.301750497445965,9.990456891208723,0
84,90.70405677451143,90.70405677451143,0.0,0
85,104.78248502823831,56.55899844780361,48.2234865804347,0
86,75.45475733152905,25.76681986808072,49.687937463448336,0
87,155.75375359043997,61.98724419751383,93.76650939292614,0
88,102.18421780895349,48.44085040615741,53.74336740279608,0
89,85.39810711378436,70.05231521836926,15.345791895415104,0
90,11.89030102108015,2.5757174171303632e-14,11.890301021080123,0
91,128.01667846090058,62.671185193072034,65.34549326782854,0
92,35.99397484132402,34.19424709372808,1.799727747595938,0
93,43.870167283179256,38.57206706880265,5.298100214376603,0
94,55.589017229823575,55.589017229823575,0.0,0
95,79.53441753815959,76.5386035903272,2.9958139478323886,0
96,44.37009313516168,43.395602044502,0.9744910906596829,0
97,18.254705689591507,17.003915595289875,1.2507900943016317,0
98,18.544744116044832,18.544744116044832,0.0,0
99,17.855261289331775,17.855261289331775,0.0,0
100,40.70334940772773,39.67319298544935,1.030156422278381,0
101,152.08750933662077,113.64147422258394,38.44603511403683,0
102,36.88319254353011,31.71998087830865,5.163211665221457,0
103,84.20545557576544,82.47381597633199,1.73163959943345,0
104,31.765538867163468,31.765538867163468,0.0,0
105,13.07917252014359,12.522888913321317,0.556283606822273,0
106,16.519442329860347,13.365618530484378,3.153823799375969,0
107,31.932875517670503,27.7991538403179,4.133721677352604,0
108,44.71865651133086,42.65975399338324,2.0589025179476224,0
109,59.878322472798,58.33012490825647,1.5481975645415247,0
110,26.70546082203834,26.70546082203834,0.0,0
111,67.18873245955237,56.18304640395893,11.005686055593436,0
112,71.74865318322732,71.33112001608107,0.4175331671462459,0
113,33.59024804798376,22.1786178416134,11.411630206370365,0
114,173.64184097798986,166.95960414077922,6.682236837210638,0
