scenario,scale_factor,slot,event_slot_count,native_profile_mwh,counterfactual_profile_mwh,aggregation_residual_mwh,native_secure_cost_usd_per_interval,counterfactual_secure_cost_usd_per_interval,secure_net_value_usd_per_interval,native_max_base_loading,counterfactual_max_base_loading,native_max_postcontingency_loading,counterfactual_max_postcontingency_loading,credible_contingencies,maximum_job_energy_residual_mwh,maximum_gpu_bound_violation_mwh,minimum_gpu_bound_slack_mwh,minimum_site_capacity_slack_mwh,solver_success,coupling_certificate_valid,network_mapping_residual_mw
raw_job_witness,1.0,event_window_mean,1056,0.00018411550089694607,0.0,0.0,13245.996346738251,13245.992053676342,0.004293061909265816,0.7521667389011379,0.7521667859623549,1.0000000000000004,1.0,37,0.0,0.0,8.104555555555557e-05,29.48625480375,True,True,0.0
fixed_nameplate_homogeneous,1.4796888050033212,event_window_mean,1056,0.2876899296530585,0.0,0.0,13245.998406071987,13245.992053676342,0.006352395645080833,0.7521667163263988,0.7521667859623549,1.0000000000000007,1.0,37,0.0,0.0,0.0001199222012508303,43.63048113458428,True,True,1.1362438767648086e-15
capacity_proportional_homogeneous,2146.2043512110617,event_window_mean,1056,417.27786054285417,0.0,0.0,13255.205841823055,13245.992053676342,9.213788146713341,0.7520657829728244,0.7521667859623549,1.0000000000000004,1.0,37,0.0,0.0,0.17394032397965126,63283.52836072632,True,True,2.5579538487363607e-13
