scenario,scale_factor,slot,event_slot_count,native_profile_mwh,counterfactual_profile_mwh,aggregation_residual_mwh,native_secure_cost_usd_per_interval,counterfactual_secure_cost_usd_per_interval,secure_net_value_usd_per_interval,secure_event_value_usd,native_max_base_loading,counterfactual_max_base_loading,native_max_postcontingency_loading,counterfactual_max_postcontingency_loading,credible_contingencies,maximum_job_energy_residual_mwh,maximum_gpu_bound_violation_mwh,minimum_gpu_bound_slack_mwh,minimum_site_capacity_slack_mwh,solver_success,coupling_certificate_valid,network_mapping_residual_mw
fixed_nameplate_homogeneous,3.033184773956104,event_window_mean,1056,0.5897298886722341,0.0,0.0,13246.004876471336,13245.992053676342,0.012822794993553543,0.012822794993553543,0.7521666470205762,0.7521667859623549,1.0000000000000004,1.0,37,0.0,0.0,0.000508296193489026,89.46586657404234,True,True,8.743006318923108e-16
capacity_proportional_homogeneous,6838.672329621412,event_window_mean,1056,1329.615493998879,0.0,0.0,13274.902555294811,13245.992053676342,28.910501618469425,28.910501618469425,0.7518535253565537,0.7521667859623549,1.0000000000000004,1.0,37,0.0,0.0,1.1460136367266358,201711.33372383166,True,True,3.268496584496461e-13
