day,truth_source,assessed_source,truth_event_reduction_mwh,assessed_event_reduction_mwh,false_response_mwh,underpayment_mwh,credit_precision,credit_recall,credit_f1,nrmse,common_witness_digest,future_arrivals_used,execution_telemetry_used
96,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.06400000000000079,0.06400000000000117,3.7470027081099033e-16,0.0,0.9999999999999941,1.0,0.999999999999997,9.155058068127053e-16,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
97,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.0005000000000008331,0.008500000000001003,0.00800000000000017,0.0,0.05882352941185578,1.0,0.11111111111127359,0.037185566142925265,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
98,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,8.326672684688674e-16,0.020000000000001003,0.02000000000000017,0.0,4.163336342344128e-14,0.0008326672684688674,8.326672684271923e-14,0.056936141193052986,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
99,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,8.326672684688674e-16,1.1657341758564144e-15,3.3306690738754696e-16,0.0,0.0008326672684688674,0.0008326672684688674,0.0008326672684688674,2.900863665004755e-15,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
100,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.007000000000000638,0.007000000000001068,4.3021142204224816e-16,0.0,0.9999999999999385,1.0,0.9999999999999692,1.7481892372262263e-15,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
101,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.021250000000000664,0.02125000000000108,4.163336342344337e-16,0.0,0.9999999999999805,1.0,0.9999999999999902,1.6680929175923536e-15,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
102,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.01825000000000082,0.018750000000001214,0.0005000000000003942,0.0,0.9733333333333142,1.0,0.9864864864864767,0.005394470667566445,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
103,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.002000000000000862,0.0020000000000012647,4.0245584642661925e-16,0.0,0.9999999999997988,1.0,0.9999999999998994,8.549484014351655e-16,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
104,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,8.881784197001252e-16,0.01600000000000118,0.016000000000000292,0.0,5.551115123125373e-14,0.0008881784197001252,1.1102230245556857e-13,0.018801410105758677,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
105,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.0002500000000008884,0.000250000000001277,3.885780586188048e-16,0.0,0.9999999999984457,1.0,0.9999999999992228,2.283982637087069e-15,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
106,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.0030000000000008848,0.007000000000001273,0.004000000000000389,0.0,0.428571428571477,1.0,0.6000000000000475,0.053156146179407365,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
107,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.019500000000000718,0.019500000000001204,4.848552115355176e-16,0.0,0.9999999999999751,1.0,0.9999999999999876,3.397321843695856e-15,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
108,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.0005000000000009129,0.005000000000001302,0.004500000000000389,0.0,0.10000000000015655,1.0,0.18181818181844056,0.045695801872849995,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
109,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.006000000000000838,0.03400000000000111,0.028000000000000275,0.0,0.176470588235313,1.0,0.3000000000000273,0.0340749086871973,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
110,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,8.881784197001252e-16,0.03600000000000125,0.036000000000000365,0.0,2.4671622769447066e-14,0.0008881784197001252,4.934324553752348e-14,0.05545835080514952,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
111,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.007750000000000715,0.048750000000001154,0.04100000000000044,0.0,0.15897435897436987,1.0,0.2743362831858569,0.01311814155819392,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
112,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.005000000000000671,0.02275000000000113,0.017750000000000474,1.3877787807814457e-17,0.21978021978023773,0.9999999999999972,0.3603603603603843,0.01016656284832548,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
113,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.0035000000000007525,0.005250000000001198,0.001750000000000515,6.938893903907228e-17,0.6666666666666446,0.9999999999999801,0.7999999999999778,0.0028551372657568026,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
114,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.05200000000000081,0.07250000000000117,0.020500000000000365,0.0,0.7172413793103444,1.0,0.835341365461847,0.006003109814436414,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
