day,slot,data_center,oracle_baseline_mw,actual_mw,nodal_response_mw,is_event
69,0,DC1@Bus15,19.422083799928068,123.76936473503284,-104.34728093510478,0
69,1,DC1@Bus15,18.47355842026179,18.03495532216299,0.43860309809879894,0
69,2,DC1@Bus15,20.957317974323757,20.51871487622496,0.43860309809879894,0
69,3,DC1@Bus15,13.33946084354711,12.900857745448313,0.43860309809879716,0
69,4,DC1@Bus15,10.19475544582642,9.756152347727618,0.4386030980988025,0
69,5,DC1@Bus15,12.153461328878613,39.79956447646172,-27.646103147583105,0
69,6,DC1@Bus15,14.784982910380068,12.438020487569489,2.346962422810579,0
69,7,DC1@Bus15,15.47501748134706,18.08030778648149,-2.6052903051344316,0
69,8,DC1@Bus15,16.210657350004997,11.831828557094084,4.378828792910912,0
69,9,DC1@Bus15,14.925940115750643,12.931992323532945,1.993947792217698,0
69,10,DC1@Bus15,16.0930085579027,11.906528942262662,4.186479615640037,0
69,11,DC1@Bus15,25.97470737909901,22.139769427708757,3.834937951390252,0
69,12,DC1@Bus15,25.012774057830423,19.5873332962449,5.425440761585524,0
69,13,DC1@Bus15,20.5610724803521,15.947864984351709,4.61320749600039,0
69,14,DC1@Bus15,13.474017768499063,12.32580422985518,1.1482135386438834,0
69,15,DC1@Bus15,13.783834061716021,12.635620523072134,1.148213538643887,0
69,16,DC1@Bus15,15.580516773332139,14.76723726293551,0.8132795103966295,0
69,17,DC1@Bus15,15.93867477115181,25.696096478978404,-9.757421707826595,0
69,18,DC1@Bus15,13.904382345058572,14.311817334885234,-0.4074349898266618,0
69,19,DC1@Bus15,14.612114275763847,12.311187050050876,2.3009272257129716,0
69,20,DC1@Bus15,18.464246327366347,35.04086608024227,-16.57661975287592,0
69,21,DC1@Bus15,17.79079908707507,13.708031421149713,4.082767665925356,0
69,22,DC1@Bus15,15.346841126394468,12.989288988102487,2.3575521382919806,0
69,23,DC1@Bus15,14.137613015206103,12.74676701144324,1.3908460037628636,0
69,24,DC1@Bus15,14.176714880967566,12.785868877204706,1.39084600376286,0
69,25,DC1@Bus15,12.716305052913809,15.585547913564085,-2.8692428606502762,0
69,26,DC1@Bus15,16.48517774642265,14.434080325754024,2.0510974206686257,0
69,27,DC1@Bus15,15.271494256985552,13.220396836316922,2.051097420668629,0
69,28,DC1@Bus15,20.938771045420737,19.03278747170299,1.905983573717748,0
69,29,DC1@Bus15,22.938359843505626,21.422747752406536,1.51561209109909,0
69,30,DC1@Bus15,16.068099953377505,14.64241642266515,1.4256835307123552,0
69,31,DC1@Bus15,12.899153659108158,11.473470128395803,1.4256835307123552,0
69,32,DC1@Bus15,10.226507153560764,11.693450178158344,-1.4669430245975796,0
69,33,DC1@Bus15,13.61640920920824,10.320021594019034,3.2963876151892055,0
69,34,DC1@Bus15,17.099700101863302,22.903302968603406,-5.803602866740103,0
69,35,DC1@Bus15,17.74469323371224,12.29679623501463,5.44789699869761,0
69,36,DC1@Bus15,14.377768988409882,23.547153071349364,-9.169384082939482,0
69,37,DC1@Bus15,11.067606971317613,9.74508264578423,1.322524325533383,0
69,38,DC1@Bus15,18.329077975935363,17.006553650401962,1.3225243255334007,0
69,39,DC1@Bus15,18.928432730461147,17.605908404927746,1.3225243255334007,0
69,40,DC1@Bus15,19.077155433761973,17.754631108228587,1.3225243255333865,0
69,41,DC1@Bus15,21.646125412055568,20.32360108652219,1.3225243255333794,0
69,42,DC1@Bus15,18.12429133867403,19.872529942379124,-1.7482386037050937,0
69,43,DC1@Bus15,12.539543022283105,10.473574392097465,2.0659686301856404,0
69,44,DC1@Bus15,10.71263305131422,11.029836683981383,-0.31720363266716234,0
69,45,DC1@Bus15,11.026376458364853,6.480580011995994,4.5457964463688585,0
69,46,DC1@Bus15,8.852856549622905,6.786557762138106,2.066298787484799,0
69,47,DC1@Bus15,7.707948930098348,6.385424604564944,1.3225243255334034,0
69,48,DC1@Bus15,7.948662727994061,6.626138402460642,1.3225243255334194,0
69,49,DC1@Bus15,9.758706175879833,8.43618185034645,1.322524325533383,0
69,50,DC1@Bus15,22.0619551361069,23.272125675535236,-1.2101705394283364,0
