day,target_total_energy_mwh,realized_total_energy_mwh,signed_energy_residual_mwh,target_tracking_rmse_mw,target_tracking_nrmse_total,target_tracking_nrmse_flexible,target_tracking_relative_l2_flexible,maximum_absolute_residual_mw,realized_flexible_peak_mw,capacity_utilization_peak
61,589.0305797454569,615.4549999999999,26.42442025454308,0.32754868090200084,0.053383770635780155,1.5535931708870399,1.5535931708870399,1.4033468523474282,0.4790000000000001,0.004059322033898306
62,603.6074673840185,596.7425,-6.864967384018489,0.27436311290280874,0.04363574054645137,0.7024419731476048,0.7024419731476048,2.409113977406289,0.2549999999999999,0.0021610169491525413
63,600.3781663918733,598.9132499999998,-1.464916391873263,0.2566031363085396,0.04103064112684769,0.7068399401596822,0.7068399401596821,2.9839226495767734,0.30599999999999916,0.0025932203389830437
64,609.5680888138443,601.98325,-7.58483881384443,0.29026345294605194,0.04571317297308645,0.6531636217077862,0.6531636217077862,2.9733880093805913,0.3229999999999995,0.0027372881355932164
65,580.3633025721222,597.4854999999999,17.1221974278777,0.19096649067573357,0.031588460234513525,2.3542661785749117,2.3542661785749117,0.7380438640651299,0.25099999999999945,0.002127118644067792
66,580.5857558569251,597.1622499999999,16.576494143074846,0.19743148242053477,0.03264534501780313,1.9052268783445332,1.905226878344533,1.3278723710321767,0.27800000000000047,0.0023559322033898343
67,580.3301417154363,594.37925,14.049108284563562,0.16308285521650392,0.02697766835702503,1.8927992373828033,1.8927992373828035,0.4298270609727357,0.23799999999999955,0.002016949152542369
68,588.2501703617895,591.3209999999999,3.070829638210345,0.1685134395802242,0.02750069785743038,0.8735848531544715,0.8735848531544714,0.940572388981284,0.238999999999999,0.002025423728813551
69,603.7567057871306,584.7615,-18.99520578713072,0.31663219642071694,0.05034592670363803,0.8330470752249197,0.8330470752249196,2.3857524970677275,0.14700000000000024,0.0012457627118644089
70,597.8296174491786,583.2272499999999,-14.602367449178766,0.29628271709753656,0.047577336436968105,0.8757155946101566,0.8757155946101565,2.9153901343951496,0.10199999999999854,0.0008644067796610046
71,610.0718088328397,584.5104999999999,-25.561308832839767,0.4087094747397638,0.06431392011062105,0.8644889826489268,0.8644889826489269,3.153992904946848,0.12199999999999811,0.0010338983050847297
72,592.0491814930693,584.2994999999999,-7.74968149306946,0.22819988469163982,0.03700231267130613,0.841434607353464,0.8414346073534639,1.9918969504626869,0.1379999999999999,0.001169491525423728
73,596.1684702175818,585.5654999999999,-10.60297021758188,0.26463591905584516,0.042613874262906144,0.8308400396568689,0.830840039656869,3.0918647535787294,0.12099999999999955,0.0010254237288135554
74,590.6106610762856,583.2265,-7.384161076285751,0.24886779849744017,0.04045187503425096,0.8861093896533423,0.8861093896533423,3.1636393740893194,0.11099999999999977,0.0009406779661016929
75,590.1792363562301,583.5224999999999,-6.656736356230216,0.28193104889530496,0.04585959489366499,0.9136782578126375,0.9136782578126371,3.202055653738894,0.1089999999999991,0.0009237288135593144
76,592.1813432498703,584.4584999999998,-7.72284324987044,0.24066312541401155,0.03901450172839461,0.8560636101918478,0.8560636101918478,2.8625145140117283,0.11699999999999999,0.0009915254237288136
77,578.8408432829438,584.49425,5.653406717056152,0.07218389851147206,0.011971605558790926,1.405245530530559,1.405245530530559,0.13394250162714627,0.12899999999999867,0.0010932203389830396
78,591.5578909097572,585.5642499999999,-5.993640909757289,0.1594215094159202,0.025871457619120918,0.7401211940248817,0.740121194024882,1.131796075348384,0.15499999999999936,0.001313559322033893
79,598.8191306626505,582.7064999999999,-16.112630662650545,0.3155594597825899,0.05058907871831976,0.8836611264376698,0.8836611264376698,3.198391865377273,0.08499999999999908,0.0007203389830508397
80,605.0169868455253,586.58575,-18.431236845525316,0.33549758639565685,0.05323448596362542,0.8152779068549132,0.8152779068549134,3.1499754262058977,0.13599999999999834,0.0011525423728813418
81,608.6706382405032,590.5842499999999,-18.08638824050316,0.39436457571929634,0.06219948341601007,0.8190064991699543,0.8190064991699543,3.1213692514624007,0.19099999999999984,0.0016186440677966089
82,609.0249968707096,589.4159999999999,-19.608996870709678,0.372841646403326,0.05877065512684987,0.8084422570286719,0.808442257028672,3.148148766635459,0.16999999999999993,0.0014406779661016943
83,592.3781607000943,588.183,-4.19516070009438,0.17099793114588266,0.027711692427357444,0.718387984403807,0.718387984403807,2.7718325971680997,0.17799999999999816,0.0015084745762711709
84,584.5800646789139,584.5014999999999,-0.07856467891389873,0.07453900936827365,0.012240829497469487,0.6402611564441835,0.6402611564441834,0.2852772557165908,0.13099999999999934,0.001110169491525418
85,593.546701183196,586.9807500000001,-6.565951183196106,0.1850625901172554,0.029931947420213368,0.7404104657569682,0.7404104657569681,1.3681683447142348,0.2209999999999992,0.0018728813559321965
86,605.3443918402352,589.2387499999999,-16.105641840235254,0.31870831442059167,0.05054312651904738,0.7827558036458846,0.7827558036458846,2.974899495679959,0.23099999999999987,0.0019576271186440668
87,608.3255111733015,588.3405,-19.98501117330157,0.39434228114150605,0.06223125332450477,0.8318047039534546,0.8318047039534544,3.114295227980298,0.14599999999999813,0.0012372881355932044
88,609.2651718527906,590.2337499999999,-19.0314218527906,0.35966802848714385,0.056671761869737124,0.7865472354267282,0.7865472354267281,3.126310750998649,0.524,0.004440677966101695
89,592.503550604449,588.2852499999999,-4.218300604449046,0.1775906084097422,0.028774002096599822,0.7283253436477214,0.7283253436477214,2.749421868316979,0.15399999999999991,0.0013050847457627111
