day,method,truth_source,event_intervention,mae_mw,rmse_mw,nrmse,bias_mw,max_abs_error_mw
61,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,17.908365497198993,32.35950792640441,2.4451495366926443,14.116710109726558,79.00006579612861
61,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,4.591979000417295,7.4744663823851125,0.5647857208916601,-0.7036735158159559,30.016415493446864
61,Extra Trees,independent_trace_observed_meter,False,29.394410550785295,49.44413500558808,3.7360983385792705,19.761057798505465,110.70804429315407
61,Feasible Quantile Projection,independent_trace_observed_meter,False,3.0769652923838686,3.2417016169674824,0.24494949752793024,-3.0769652923838686,5.584996194809179
61,Gradient Boosting,independent_trace_observed_meter,False,21.57102880728722,35.38158451624004,2.6735037252140565,16.52968523649681,80.79097486395405
61,High-5-of-10,independent_trace_observed_meter,False,30.645722528575014,54.10427157997348,4.088227635838613,23.675200806417294,120.88273762835148
61,Metadata Gradient Boosting,independent_trace_observed_meter,False,17.0847970358694,31.34960557951506,2.3688392831122314,14.38402309828492,73.56483017810393
61,Ridge,independent_trace_observed_meter,False,25.51494517689482,46.667616337051136,3.5262990007329753,21.271059583140833,101.50798523663235
61,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,3.3852784411075216,3.5228882208168573,0.266196523152985,-2.9662799984875443,6.7039750819196335
61,Single Feasible Projection,independent_trace_observed_meter,False,3.4880407684894017,3.6999105565604267,0.2795726870678401,-2.946160061206204,8.670091316531163
61,Synthetic Control,independent_trace_observed_meter,False,26.33747403471952,46.611657458420716,3.522070635256337,18.391423316517994,113.6581599831928
61,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,3.378077116838714,3.5121124027427526,0.26538228065488195,-2.9657979648025714,6.5964664325782785
62,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,19.168147572214536,30.14620230138201,1.7044193581984672,9.997448421381499,71.4670769831176
62,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,6.5238939546703865,7.501983299931674,0.4241504595986534,-5.724918158359541,12.483490258556794
62,Extra Trees,independent_trace_observed_meter,False,27.757220729292648,43.55301131187655,2.4624194731286644,12.559314598663436,112.73498465160937
62,Feasible Quantile Projection,independent_trace_observed_meter,False,0.7989757963108555,2.002497185661815,0.11321807416596148,4.440892098500626e-16,8.986521939996194
62,Gradient Boosting,independent_trace_observed_meter,False,20.947960272489276,30.77792272742448,1.7401358478694335,6.875328453198604,77.93472964596856
62,High-5-of-10,independent_trace_observed_meter,False,32.435828403286145,52.56839204183256,2.9721350679504375,19.222283523834093,113.53702293343392
62,Metadata Gradient Boosting,independent_trace_observed_meter,False,19.556857145630794,30.884942006545245,1.7461865513447934,10.359956675397683,70.46069688231634
62,Ridge,independent_trace_observed_meter,False,16.788574919351614,32.54903695588687,1.8402718897626322,9.08008255820602,92.3497773002862
62,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,0.12634282939281882,0.31664027098947556,0.01790234809891558,2.5536197625353196e-06,1.4209781219340627
62,Single Feasible Projection,independent_trace_observed_meter,False,1.587618925213974e-14,2.067281779060327e-14,1.1688089424517189e-15,4.440892098500626e-16,4.973799150320701e-14
62,Synthetic Control,independent_trace_observed_meter,False,25.457152752406902,40.3152287890181,2.2793602886109636,10.987074529355276,110.41095889668789
62,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,0.12634247494334944,0.31665294257432836,0.017903064530600945,5.339302822648939e-07,1.4210310768514773
63,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,23.533119923229542,33.60271136805133,1.542096717343447,7.659041485753543,74.31146817826202
63,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,10.328569824227804,11.352461273323017,0.5209875200727073,-8.440347833134808,18.860623068850714
63,Extra Trees,independent_trace_observed_meter,False,31.877008050147694,47.853370940956424,2.196088447553947,13.442518370060636,113.07969252511653
63,Feasible Quantile Projection,independent_trace_observed_meter,False,8.352447896218386,9.254950518654523,0.424728488652933,-3.4941797778528976,23.93579608729265
63,Gradient Boosting,independent_trace_observed_meter,False,24.135476605561486,32.8447700923676,1.5073132517960128,4.208195536689571,76.75449732511956
63,High-5-of-10,independent_trace_observed_meter,False,34.40982303878171,51.329000058421215,2.355592131469218,15.119089085742058,110.9638207696506
63,Metadata Gradient Boosting,independent_trace_observed_meter,False,22.73718786351845,30.10218686616356,1.3814505336407275,4.428851210253793,68.19312395248191
63,Ridge,independent_trace_observed_meter,False,25.025891074620862,38.385615278405986,1.7615938983518729,9.896299739355069,90.03713151379398
63,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,8.00462593643429,8.952144173951924,0.41083209008431576,-3.79788042623296,23.915934881503397
63,Single Feasible Projection,independent_trace_observed_meter,False,8.10496362570683,9.042185572731807,0.4149642728704789,-3.8755501603871827,23.93579608729265
63,Synthetic Control,independent_trace_observed_meter,False,23.017907400327168,31.52405546879314,1.4467029735582253,0.9087499471571334,107.24707522197671
63,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,8.018615097289267,8.979211402037507,0.41207426019139975,-3.7828119542634795,23.898739784848736
64,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,22.38359064882598,32.283695403799655,1.5708265818781038,8.490554801524844,72.58073615493346
64,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,9.471974605424418,10.467447809698198,0.5093142237353796,-9.471974605424418,16.919300514026528
64,Extra Trees,independent_trace_observed_meter,False,23.12175449095958,31.13997847918535,1.5151767894718546,3.5832426039879586,83.59524149903535
64,Feasible Quantile Projection,independent_trace_observed_meter,False,2.671492768554507,2.8249435011629105,0.13745317221052156,-1.893606338745668,6.035890627389222
64,Gradient Boosting,independent_trace_observed_meter,False,19.16871937642175,24.89730870693429,1.2114274355802073,1.9601083670550827,59.882876305932285
64,High-5-of-10,independent_trace_observed_meter,False,35.02457046924859,53.856383349020014,2.620488067128182,17.43468910711615,113.07785042574976
64,Metadata Gradient Boosting,independent_trace_observed_meter,False,17.68033505800259,24.630183013381785,1.1984299105172769,5.029492765840152,61.08504652315671
64,Ridge,independent_trace_observed_meter,False,27.95336223428523,43.94865845401969,2.138408260701492,14.887938062923249,93.1035764885104
64,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,2.7514845667847174,2.8384848454353815,0.13811205290157952,-1.8936036102141558,6.035879499842949
64,Single Feasible Projection,independent_trace_observed_meter,False,2.766511021563826,2.852742117997414,0.13880576848913542,-1.8936063387456654,6.035890627389222
64,Synthetic Control,independent_trace_observed_meter,False,28.131771285417997,42.23683831062513,2.055116290838523,9.384179652633941,110.00083356978762
64,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,2.751485479060741,2.838487105467194,0.13811216286786443,-1.8936057757204459,6.035888667931808
65,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,14.96974589746104,29.23873910156809,2.7424029969139685,13.565690117182372,77.42919429355392
65,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,5.952619289949624,12.11742417866466,1.136535343299587,4.566199549569742,42.707745361436665
65,Extra Trees,independent_trace_observed_meter,False,21.5050384676695,40.620342509396494,3.8099231518320336,17.807723795673812,116.95740986532277
65,Feasible Quantile Projection,independent_trace_observed_meter,False,3.31823298536591,6.273719196105389,0.5884339357258191,-0.9625981206543638,31.932812254654692
65,Gradient Boosting,independent_trace_observed_meter,False,14.735002082055225,26.886720934591807,2.521799035590413,12.472211077836235,69.7951460361119
65,High-5-of-10,independent_trace_observed_meter,False,32.55711045134632,58.36369985527439,5.474134327000028,27.260770882232954,122.6589888933732
65,Metadata Gradient Boosting,independent_trace_observed_meter,False,14.469888961703225,28.63474692540083,2.6857524707650877,12.594888051075444,73.53802244302274
65,Ridge,independent_trace_observed_meter,False,25.430008850301224,48.210352253375845,4.521816554491757,25.131695320608195,100.4893525477191
65,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,3.8183020342393164,6.437624690407363,0.6038072018992668,-0.9630813938038814,32.41875899052608
65,Single Feasible Projection,independent_trace_observed_meter,False,4.3463037718594935,7.711473755128729,0.7232859345687128,-0.9631724074987252,39.518466783488435
65,Synthetic Control,independent_trace_observed_meter,False,16.34906471103899,31.978791426021537,2.9994020309755713,11.31443968754468,115.65025313359118
65,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,3.788776252027038,6.4032712809853845,0.600585076190433,-0.9630815512234141,32.263373145988375
66,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,17.91673288948717,31.860299066173518,2.400107637297667,13.441249051296685,74.66956236233804
66,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,2.576191912387509,2.988792290864499,0.22515241268454972,-1.4950989808522026,6.280350359855914
66,Extra Trees,independent_trace_observed_meter,False,15.184708786636119,29.836696300204665,2.247665111778027,7.850457333760231,111.86698947635924
66,Feasible Quantile Projection,independent_trace_observed_meter,False,5.497355085992292,7.680833572034937,0.5786143839630765,-0.7539266171074668,23.84058641078675
66,Gradient Boosting,independent_trace_observed_meter,False,9.20834362179935,20.265896956106648,1.5266753761480276,4.31943118741153,71.60912464204893
66,High-5-of-10,independent_trace_observed_meter,False,31.789617021666515,56.18502254505278,4.232543499734277,24.647963887579763,118.20383580597681
66,Metadata Gradient Boosting,independent_trace_observed_meter,False,13.302278132872107,24.185044939978866,1.8219135654774659,8.36872037375864,68.08863564358221
66,Ridge,independent_trace_observed_meter,False,15.523856027790274,29.232829139506435,2.2021744470075926,9.25255898149318,91.11695234997485
66,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,9.719836191773101,13.902826635548042,1.0473310472917627,-0.7952960395262094,39.19836894998959
66,Single Feasible Projection,independent_trace_observed_meter,False,10.653088819807337,15.306507046226868,1.1530734342981757,-0.8095904293016187,42.61323948686458
66,Synthetic Control,independent_trace_observed_meter,False,16.653333851223135,30.42921580807953,2.2923009324633443,9.13781559561307,110.76668301728009
66,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,9.687854306777034,13.862601062618976,1.0443007648515008,-0.7905330503601307,39.013105163605715
67,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,17.0545735131356,32.771088345315135,2.837808401413578,15.134374028222501,78.70817937659393
67,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,4.267806358917461,6.054857826444104,0.5243196755686693,1.5311635147953138,15.072016811779616
67,Extra Trees,independent_trace_observed_meter,False,24.76252009177623,44.782739123497535,3.877955836677042,18.290345953528906,111.69343676955641
67,Feasible Quantile Projection,independent_trace_observed_meter,False,4.033208477606015,4.284530775105302,0.37101842030971255,-3.8146410178051084,5.6824588393813915
67,Gradient Boosting,independent_trace_observed_meter,False,18.012566069785706,32.93448091508555,2.8519573610800126,14.2422576348985,79.85917253761548
67,High-5-of-10,independent_trace_observed_meter,False,32.05486688109434,58.2755561731,5.046364684702747,26.602711167955825,121.23155968875149
67,Metadata Gradient Boosting,independent_trace_observed_meter,False,14.937285027948084,29.035000907105747,2.514282365022967,12.769811630072628,77.05195448598957
67,Ridge,independent_trace_observed_meter,False,26.432006289832636,48.21030087078978,4.174765128463052,21.557934893136856,100.74802455004192
67,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,4.692309317362025,4.753456551946061,0.4116249908067321,-4.692309317362025,5.682458297412854
67,Single Feasible Projection,independent_trace_observed_meter,False,4.857155268960675,4.920397371198651,0.4260812107046468,-4.857155268960675,5.792054773129168
67,Synthetic Control,independent_trace_observed_meter,False,23.608670791631283,43.45676500512822,3.7631332694947917,17.140097531491072,114.64300286877685
67,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,4.692303302446672,4.752057234064509,0.4115038170453155,-4.692303302446672,5.6824587214274835
68,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,16.238345951056946,30.9001489393876,2.767935264802392,13.90203256249229,82.86910185653647
68,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,5.87453725240357,11.373097523046605,1.0187652417413016,2.108798002808142,51.1995027298192
68,Extra Trees,independent_trace_observed_meter,False,25.602440798652818,48.0393148676487,4.3032062395536785,21.25792009011342,116.9544739813141
68,Feasible Quantile Projection,independent_trace_observed_meter,False,1.5592008092490306,1.8399678758684808,0.16481836316420206,-0.5142823336652906,4.01373120952959
68,Gradient Boosting,independent_trace_observed_meter,False,18.479563937340007,33.71328519136515,3.0199268992704495,14.80490588135751,83.37576276564567
68,High-5-of-10,independent_trace_observed_meter,False,33.32121033517354,58.635782660257696,5.252403505335093,26.987128586884857,125.08655694082768
68,Metadata Gradient Boosting,independent_trace_observed_meter,False,17.49845706351565,32.89785755294688,2.9468835323695393,15.788693348316368,77.918207093229
68,Ridge,independent_trace_observed_meter,False,19.323274807324804,37.911559037926445,3.395994673376942,16.557776902611508,99.69662439176159
68,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,1.320474096548747,1.855797476277316,0.1662363275010501,-0.3698895467064033,5.779136349306096
68,Single Feasible Projection,independent_trace_observed_meter,False,1.488622212472153,2.1465152714116806,0.1922778860332257,-0.3427709774338462,7.571081460178355
68,Synthetic Control,independent_trace_observed_meter,False,19.171820039382425,35.998661586929366,3.2246435150718016,13.575458832948014,117.5891938381387
68,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,1.3102345980060028,1.8362903123797307,0.1644889389375089,-0.3698916433425266,5.628945853417282
69,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,22.740295453536035,33.01433260774913,1.6846742564419528,8.19910291472966,73.5537814375444
69,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,8.51880186764086,9.679585016322902,0.4939354032621844,-8.492637012642788,14.637658532899685
69,Extra Trees,independent_trace_observed_meter,False,24.935215455990264,38.36751101024346,1.9578393072691944,7.928121252035554,106.42847887859709
69,Feasible Quantile Projection,independent_trace_observed_meter,False,1.2009694527696002,1.4844162424566474,0.07574764146296967,-0.7844516163323368,3.792233067334948
69,Gradient Boosting,independent_trace_observed_meter,False,17.604740582214255,26.105131008674906,1.3321075635203505,4.385533476899401,71.6014519192355
69,High-5-of-10,independent_trace_observed_meter,False,33.85918985608038,52.91677271113149,2.7002673590169297,17.92440643694603,112.39714645133193
69,Metadata Gradient Boosting,independent_trace_observed_meter,False,21.002677358985785,29.55766553091427,1.508285470800795,6.908700086110352,64.75824728004281
69,Ridge,independent_trace_observed_meter,False,20.964101518061884,32.38503018579967,1.652561852342468,7.694921637538942,86.8548941253213
69,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,1.316764931368008,1.5628798955587802,0.07975152965353477,-0.6877042193716332,3.2916586924944724
69,Single Feasible Projection,independent_trace_observed_meter,False,1.34848823061358,1.6106458325796875,0.08218895722143485,-0.6695341328317228,3.476997643380326
69,Synthetic Control,independent_trace_observed_meter,False,30.415605049935504,46.06718705154184,2.3507427823699936,13.244706732972656,107.52806150421607
69,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,1.3167613744520354,1.5628770154326432,0.07975138268481012,-0.6877057225879725,3.2916556109314996
70,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,16.121613366432797,27.89746219304231,1.866412568765768,9.280787364983729,76.10689836028415
70,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,6.2394822186155485,9.163521035046248,0.6130633215169415,-3.101802031684547,35.74236996568868
70,Extra Trees,independent_trace_observed_meter,False,27.344430569048185,48.52541653112143,3.2464762096126143,20.37231184965555,115.92332602089847
70,Feasible Quantile Projection,independent_trace_observed_meter,False,0.7802808078009509,0.933448540946828,0.06245012815372634,-0.33273879675135903,2.108155225566323
70,Gradient Boosting,independent_trace_observed_meter,False,19.84096663770209,34.26964299879277,2.292727990003862,13.551218080720174,82.08004416229488
70,High-5-of-10,independent_trace_observed_meter,False,31.62859512597283,54.81531674738804,3.6672868460313777,22.574166937198648,119.14669806109875
