conversion_scenario,certified_cells,minimum_relative_cap_margin_usd,maximum_relative_cap_violation_usd
q01,54,-7.552444003522396e-09,7.552444003522396e-09
q10,54,-8.92032403498888e-09,8.92032403498888e-09
q50,54,-4.365574568510056e-11,4.365574568510056e-11
q90,54,-4.365574568510056e-11,4.365574568510056e-11
q99,54,-1.4551915228366852e-11,1.4551915228366852e-11
