network,load_multiplier,day,mechanism,baseline_quality,payment_usd,realized_grid_value_usd,absolute_error_usd,normalized_absolute_error,overpayment_usd,congested_interval_share,native_max_line_loading,native_congested_lines,peak_dc_penetration_of_native_load,thermal_rating_normalization_factor,selected_critical_line,data_center_bus_indices_zero_based,settlement_schema_version,settlement_generator_segments,evaluation_generator_segments,estimator_checksum,checkpoint_schema_version,panel_checksum
IEEE RTS 24-bus,0.9,62,Uniform signed net,Trace-Anchored Reference,-3.2600918824393826e-14,1.8189894035458565e-12,1.8515903223702506e-12,0.0018515903223702,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,62,Nodal signed linear,Trace-Anchored Reference,-3.8647124280694215e-14,1.8189894035458565e-12,1.8576365278265506e-12,0.0018576365278265,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,62,Nodal exact net value,Trace-Anchored Reference,0.0,1.8189894035458565e-12,1.8189894035458565e-12,0.0018189894035458,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,62,Uniform gross,Risk-Constrained Convex Verifier,220.4185520407981,1.8189894035458565e-12,220.41855204079627,220418552040.79623,220.41855204079627,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,62,Nodal gross,Risk-Constrained Convex Verifier,220.4185520407981,1.8189894035458565e-12,220.41855204079627,220418552040.79623,220.41855204079627,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,62,Uniform signed net,Risk-Constrained Convex Verifier,8.945168101676225e-14,1.8189894035458565e-12,1.7295377225290942e-12,0.001729537722529,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,62,Nodal signed linear,Risk-Constrained Convex Verifier,8.723687726151682e-14,1.8189894035458565e-12,1.7317525262843397e-12,0.0017317525262843,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,62,Nodal exact net value,Risk-Constrained Convex Verifier,0.0,1.8189894035458565e-12,1.8189894035458565e-12,0.0018189894035458,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,63,Uniform gross,Trace-Anchored Reference,543.3803066053937,291.1586929863897,252.221613619004,0.8662685322288973,252.221613619004,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,63,Nodal gross,Trace-Anchored Reference,543.3803066053937,291.1586929863897,252.221613619004,0.8662685322288973,252.221613619004,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,63,Uniform signed net,Trace-Anchored Reference,293.5011351527889,291.1586929863897,2.3424421663991666,0.0080452420718507,2.3424421663991666,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,63,Nodal signed linear,Trace-Anchored Reference,293.5011351527889,291.1586929863897,2.3424421663991666,0.0080452420718507,2.3424421663991666,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,63,Nodal exact net value,Trace-Anchored Reference,291.22281582850337,291.1586929863897,0.0641228421136475,0.0002202333080147,0.0641228421136475,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,63,Uniform gross,Risk-Constrained Convex Verifier,230.9510390890616,291.1586929863897,60.20765389732816,0.2067863860762095,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,63,Nodal gross,Risk-Constrained Convex Verifier,230.9510390890616,291.1586929863897,60.20765389732816,0.2067863860762095,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,63,Uniform signed net,Risk-Constrained Convex Verifier,1.6705293735506898e-14,291.1586929863897,291.1586929863897,1.0,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,63,Nodal signed linear,Risk-Constrained Convex Verifier,1.4374880289627414e-14,291.1586929863897,291.1586929863897,1.0,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,63,Nodal exact net value,Risk-Constrained Convex Verifier,0.0,291.1586929863897,291.1586929863897,1.0,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,64,Uniform gross,Trace-Anchored Reference,358.85233125174113,142.51533973179357,216.3369915199476,1.5179909189220084,216.3369915199476,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,64,Nodal gross,Trace-Anchored Reference,358.852331251741,142.51533973179357,216.33699151994745,1.5179909189220078,216.33699151994745,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,64,Uniform signed net,Trace-Anchored Reference,142.6374207485702,142.51533973179357,0.122081016776633,0.0008566166772389,0.122081016776633,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
