peak_dc_penetration,assignment_id,assignment_type,region_to_bus_mapping,counterfactual_method,mean_absolute_error_usd,mean_overpayment_usd,maximum_line_loading,mean_lmp_spread_usd_per_mwh
0.03,7,one-to-one permutation,42-15-116-80,Feasible Quantile Projection,81.5026252405486,69.04806784780858,1.000000000000001,0.1417979778396552
0.03,7,one-to-one permutation,42-15-116-80,Risk-Constrained Convex Verifier,98.83778992675636,86.71432322071544,1.0000000000000009,0.14179797783965867
0.03,7,one-to-one permutation,42-15-116-80,Single Feasible Projection,105.24844408038506,93.14247868774645,1.000000000000001,0.1417979778396552
0.03,7,one-to-one permutation,42-15-116-80,Trace-Anchored Reference,31.787222681045293,28.08070186827495,1.000000000000001,0.1441868043669387
0.03,8,one-to-one permutation,42-80-15-116,Feasible Quantile Projection,81.56508810492151,69.15998632896392,1.000000000000001,0.1441868043669387
0.03,8,one-to-one permutation,42-80-15-116,Risk-Constrained Convex Verifier,98.91276546151015,86.83150626913792,1.000000000000001,0.1441868043669423
0.03,8,one-to-one permutation,42-80-15-116,Single Feasible Projection,105.32533774387586,93.26070946477928,1.000000000000001,0.1441868043669387
0.03,8,one-to-one permutation,42-80-15-116,Trace-Anchored Reference,31.834655311887587,28.169824733901166,1.000000000000001,0.1441868043669387
0.03,9,one-to-one permutation,42-80-116-15,Feasible Quantile Projection,81.56808174117577,69.16289871173575,1.000000000000001,0.1441868043669387
0.03,9,one-to-one permutation,42-80-116-15,Risk-Constrained Convex Verifier,98.91448858092419,86.83323216134448,1.000000000000001,0.1441868043669423
0.03,9,one-to-one permutation,42-80-116-15,Single Feasible Projection,105.32664437326693,93.26201609417048,1.000000000000001,0.1441868043669387
0.03,9,one-to-one permutation,42-80-116-15,Trace-Anchored Reference,31.827436944132554,28.16247722080408,1.000000000000001,0.1441868043669387
0.03,10,one-to-one permutation,42-116-15-80,Feasible Quantile Projection,81.5113092704179,69.06672763055172,1.000000000000001,0.1417979778396552
0.03,10,one-to-one permutation,42-116-15-80,Risk-Constrained Convex Verifier,98.84995878179676,86.73497273378686,1.000000000000001,0.14179797783965867
0.03,10,one-to-one permutation,42-116-15-80,Single Feasible Projection,105.26132517633023,93.16367123995136,1.000000000000001,0.1417979778396552
0.03,10,one-to-one permutation,42-116-15-80,Trace-Anchored Reference,31.799189771089544,28.101153674950925,1.000000000000001,0.1441868043669387
0.03,11,one-to-one permutation,42-116-80-15,Feasible Quantile Projection,81.52720317024607,69.08220899927606,1.000000000000001,0.1441868043669387
0.03,11,one-to-one permutation,42-116-80-15,Risk-Constrained Convex Verifier,98.8594021558035,86.74443018550785,1.000000000000001,0.1441868043669423
0.03,11,one-to-one permutation,42-116-80-15,Single Feasible Projection,105.26865399335541,93.17100005697668,1.000000000000001,0.1441868043669387
0.03,11,one-to-one permutation,42-116-80-15,Trace-Anchored Reference,31.77324812997156,28.074556351526418,1.000000000000001,0.1441868043669387
0.03,12,one-to-one permutation,80-15-42-116,Feasible Quantile Projection,81.41339934984987,68.906939031206,1.000000000000001,0.1441868043669387
0.03,12,one-to-one permutation,80-15-42-116,Risk-Constrained Convex Verifier,98.75136132140985,86.58332585943114,1.000000000000001,0.1441868043669423
0.03,12,one-to-one permutation,80-15-42-116,Single Feasible Projection,105.16536046905424,93.01596970335865,1.000000000000001,0.1441868043669387
0.03,12,one-to-one permutation,80-15-42-116,Trace-Anchored Reference,31.676549701906374,27.92804163601209,1.000000000000001,0.1441868043669387
0.03,13,one-to-one permutation,80-15-116-42,Feasible Quantile Projection,81.4156604690596,68.90913877896195,1.000000000000001,0.1441868043669387
0.03,13,one-to-one permutation,80-15-116-42,Risk-Constrained Convex Verifier,98.75266280831386,86.58462944065421,1.000000000000001,0.1441868043669423
0.03,13,one-to-one permutation,80-15-116-42,Single Feasible Projection,105.1663473774708,93.01695661177547,1.000000000000001,0.1441868043669387
0.03,13,one-to-one permutation,80-15-116-42,Trace-Anchored Reference,31.671097606659142,27.922491996177456,1.000000000000001,0.1441868043669387
0.03,14,one-to-one permutation,80-42-15-116,Feasible Quantile Projection,81.41543042364235,68.91157057055965,1.000000000000001,0.1441868043669387
0.03,14,one-to-one permutation,80-42-15-116,Risk-Constrained Convex Verifier,98.75424509680825,86.58844426611284,1.000000000000001,0.1441868043669423
0.03,14,one-to-one permutation,80-42-15-116,Single Feasible Projection,105.16841852881886,93.02122098961661,1.000000000000001,0.1441868043669387
0.03,14,one-to-one permutation,80-42-15-116,Trace-Anchored Reference,31.679379606090826,27.933107162013147,1.000000000000001,0.1441868043669387
0.03,15,one-to-one permutation,80-42-116-15,Feasible Quantile Projection,81.41842405989667,68.91448295333187,1.000000000000001,0.1441868043669387
0.03,15,one-to-one permutation,80-42-116-15,Risk-Constrained Convex Verifier,98.75596821620935,86.59017015831328,1.000000000000001,0.1441868043669423
0.03,15,one-to-one permutation,80-42-116-15,Single Feasible Projection,105.16972515820972,93.022527619008,1.000000000000001,0.1441868043669387
0.03,15,one-to-one permutation,80-42-116-15,Trace-Anchored Reference,31.672161238336063,27.92575964891593,1.000000000000001,0.1441868043669387
0.03,16,one-to-one permutation,80-116-15-42,Feasible Quantile Projection,81.42396102149635,68.9280668629198,1.000000000000001,0.1441868043669387
0.03,16,one-to-one permutation,80-116-15-42,Risk-Constrained Convex Verifier,98.76444816490309,86.60554724443251,1.000000000000001,0.1441868043669423
0.03,16,one-to-one permutation,80-116-15-42,Single Feasible Projection,105.1788449959837,93.03841746519558,1.000000000000001,0.1441868043669387
0.03,16,one-to-one permutation,80-116-15-42,Trace-Anchored Reference,31.682662803435623,27.94319368823266,1.000000000000001,0.1441868043669387
0.03,17,one-to-one permutation,80-116-42-15,Feasible Quantile Projection,81.42469353854061,68.9287794979358,1.000000000000001,0.1441868043669387
0.03,17,one-to-one permutation,80-116-42-15,Risk-Constrained Convex Verifier,98.76486979740022,86.60596955540967,1.000000000000001,0.1441868043669423
0.03,17,one-to-one permutation,80-116-42-15,Single Feasible Projection,105.1791647169574,93.03873718616927,1.000000000000001,0.1441868043669387
0.03,17,one-to-one permutation,80-116-42-15,Trace-Anchored Reference,31.680896530927352,27.94139581496987,1.000000000000001,0.1441868043669387
0.03,18,one-to-one permutation,116-15-42-80,Feasible Quantile Projection,81.48750157136062,69.024883477003,1.000000000000001,0.1417979778396552
0.03,18,one-to-one permutation,116-15-42-80,Risk-Constrained Convex Verifier,98.82391311693964,86.69347850157526,1.000000000000001,0.14179797783965867
0.03,18,one-to-one permutation,116-15-42-80,Single Feasible Projection,105.23535550610985,93.12260268304178,1.000000000000001,0.1417979778396552
0.03,18,one-to-one permutation,116-15-42-80,Trace-Anchored Reference,31.77370336034875,28.060702195040935,1.000000000000001,0.1441868043669387
0.03,19,one-to-one permutation,116-15-80-42,Feasible Quantile Projection,81.5010479300497,69.03803718661591,1.000000000000001,0.1441868043669387
0.03,19,one-to-one permutation,116-15-80-42,Risk-Constrained Convex Verifier,98.8313198342258,86.7008986181267,1.000000000000001,0.1441868043669423
0.03,19,one-to-one permutation,116-15-80-42,Single Feasible Projection,105.24074957806664,93.12799675499797,1.000000000000001,0.1441868043669387
0.03,19,one-to-one permutation,116-15-80-42,Trace-Anchored Reference,31.74791474593069,28.03428949907013,1.000000000000001,0.1441868043669387
0.03,20,one-to-one permutation,116-42-15-80,Feasible Quantile Projection,81.48930750952415,69.02928988072792,1.000000000000001,0.1417979778396552
0.03,20,one-to-one permutation,116-42-15-80,Risk-Constrained Convex Verifier,98.82657175670728,86.6983717726268,1.000000000000001,0.14179797783965867
0.03,20,one-to-one permutation,116-42-15-80,Single Feasible Projection,105.23818843024586,93.12762883367112,1.000000000000001,0.1417979778396552
0.03,20,one-to-one permutation,116-42-15-80,Trace-Anchored Reference,31.77631263510139,28.065547091609712,1.000000000000001,0.1441868043669387
0.03,21,one-to-one permutation,116-42-80-15,Feasible Quantile Projection,81.50381152088637,69.04338136098603,1.000000000000001,0.1441868043669387
0.03,21,one-to-one permutation,116-42-80-15,Risk-Constrained Convex Verifier,98.83462524212047,86.70643933578584,1.000000000000001,0.1441868043669423
0.03,21,one-to-one permutation,116-42-80-15,Single Feasible Projection,105.24412735880503,93.13356776223009,1.000000000000001,0.1441868043669387
0.03,21,one-to-one permutation,116-42-80-15,Trace-Anchored Reference,31.748978377607003,28.037557151808937,1.000000000000001,0.1441868043669387
0.03,22,one-to-one permutation,116-80-15-42,Feasible Quantile Projection,81.5502270534161,69.13765498303393,1.000000000000001,0.1441868043669387
0.03,22,one-to-one permutation,116-80-15-42,Risk-Constrained Convex Verifier,98.89819163686231,86.81061840820533,1.000000000000001,0.1441868043669423
0.03,22,one-to-one permutation,116-80-15-42,Single Feasible Projection,105.31123757649046,93.24047364561186,1.000000000000001,0.1441868043669387
