peak_dc_penetration,counterfactual_method,mean_absolute_error_usd,median_absolute_error_usd,maximum_absolute_error_usd,mean_overpayment_usd,maximum_line_loading,maximum_lmp_spread_usd_per_mwh,assignments,locked_days
0.03,Feasible Quantile Projection,81.5003105516476,28.619178143193494,755.3907339520738,69.0468604176236,1.0000000000000016,0.14418680436693876,24,54
0.03,Risk-Constrained Convex Verifier,105.25046280101498,36.30224529892803,765.5619855394325,93.1455102160916,1.0000000000000013,0.14418680436693876,24,54
0.03,Single Feasible Projection,105.25046280101498,36.30224529892803,765.5619855394325,93.1455102160916,1.0000000000000013,0.14418680436693876,24,54
0.03,Trace-Anchored Reference,31.76469313108537,11.143942682208944,235.6322598601073,28.059550442593466,1.0000000000000013,0.14418680436693876,24,54
0.06,Feasible Quantile Projection,164.02435863706827,57.416041718690394,1523.6920118192647,139.04324804458793,1.0000000000000013,0.14418680436693876,24,54
0.06,Risk-Constrained Convex Verifier,211.55517487669957,72.88351191607399,1544.0345149939712,187.2638368107894,1.0000000000000013,0.14418680436693876,24,54
0.06,Single Feasible Projection,211.55517487669957,72.88351191607399,1544.0345149939712,187.2638368107894,1.0000000000000013,0.14418680436693876,24,54
0.06,Trace-Anchored Reference,64.55381894703423,22.566906682619447,484.1750636353281,57.06210067398689,1.0000000000000013,0.14418680436693876,24,54
0.09,Feasible Quantile Projection,243.8655835318898,86.22097544315693,2309.203193091009,206.2916232875562,1.0000000000000016,16.93872656668699,24,54
0.09,Risk-Constrained Convex Verifier,315.207067998171,109.51142796379645,2339.7169478530814,278.66393554667764,1.0000000000000016,16.93872656668699,24,54
0.09,Single Feasible Projection,315.207067998171,109.51142796379645,2339.7169478530814,278.66393554667764,1.0000000000000016,16.93872656668699,24,54
0.09,Trace-Anchored Reference,96.41854523578789,33.41724840899951,848.5616839319773,83.80608397049181,1.0000000000000013,0.14418680436693876,24,54
