day,conversion_scenario,conversion_scale_factor,event_slot,counterfactual_method,settlement_payment_usd,independent_realized_value_usd,absolute_error_usd,overpayment_usd,maximum_post_contingency_loading,credible_line_contingencies,evaluation_schema_version,certified_checksum,payment_evaluation_profile_checksum
61,q01,0.5826705226086141,68,Single Feasible Projection,-2.570540392835028,-4.582001173128447,2.011460780293419,2.011460780293419,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,68,Risk-Constrained Convex Verifier,-2.9369143699495908,-4.582001173128447,1.645086803178856,1.645086803178856,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,68,Payment-Certified N-1 Verifier,-2.570540411123148,-4.582001173128447,2.0114607620052998,2.0114607620052998,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,69,Feasible Quantile Projection,-1.083454032192094,-1.1417747530776978,0.0583207208856038,0.0583207208856038,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,69,Single Feasible Projection,0.4944650635879952,-1.1417747530776978,1.636239816665693,1.636239816665693,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,69,Risk-Constrained Convex Verifier,0.7671558996025851,-1.1417747530776978,1.908930652680283,1.908930652680283,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,69,Payment-Certified N-1 Verifier,0.4944650559245929,-1.1417747530776978,1.6362398090022907,1.6362398090022907,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,70,Feasible Quantile Projection,-0.3853641560817777,-0.5275328225252451,0.1421686664434673,0.1421686664434673,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,70,Single Feasible Projection,1.7597434152030471,-0.5275328225252451,2.2872762377282925,2.2872762377282925,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,70,Risk-Constrained Convex Verifier,1.6769110289587843,-0.5275328225252451,2.204443851484029,2.204443851484029,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
