day,capacity_multiplier,deadline_multiplier,capacity_binding_share,deadline_binding_share,estimator_schema_version,estimator_checksum,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
61,0.55,0.25,0.0703125,0.9236732259988074,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,3.3106624212531015,3.439244310283815,0.2598762209545654,0.25016031467114597,13.234163162950964,-3.3106624212531015,5.923396673855905,9.333045941417012,9.333045941417012,9.333045941417012,0.0,18.94548254201579,9.333045941417012,28.2785284834328,0.0,0.0,18.94548254201579,1.0,0.3300400141713474,0.4962858420120114,-2.911921264194591
62,0.55,0.25,0.018229166666666668,0.9138516005310517,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,0.3086389708976689,0.641947617052045,0.03629471913292117,0.017449967045047136,17.68708044553417,4.440892098500626e-16,2.0112049603237914,24.69101362959388,24.69101362959388,24.69101362959388,1.2345558835906316,1.9095836023552692e-14,23.45645774600325,23.456457746003267,1.2345558835906316,0.050000210688431655,1.9095836023552692e-14,0.9499997893115684,0.9999999999999992,0.9743588635432188,0.0
63,0.55,0.25,0.028645833333333332,0.8957317973711416,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,7.898774433491277,8.788410786818117,0.40331803218425505,0.3624908118725307,21.790274883626203,-3.875550160387179,23.93579608729265,25.287338355614793,25.287338355614793,25.287338355614793,3.5606820498279905,35.845012256034344,21.7266563057868,57.57166856182114,3.5606820498279905,0.14080889019454187,35.845012256034344,0.8591911098054581,0.37738451652580574,0.5244247333892408,2.4868995751603507e-14
64,0.55,0.25,0.036458333333333336,0.8904129793510325,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2.6896091599575875,2.8190717140148576,0.13716746887885756,0.13086821413966634,20.552042966576735,-1.893606338745665,6.035890627389222,25.545928205767126,25.545928205767126,25.545928205767126,0.2662134940404979,12.84959901654297,25.279714711726626,38.129313728269594,0.2662134940404979,0.010420975581556625,12.84959901654297,0.9895790244184433,0.6629994678604431,0.7940202170857779,1.7763568394002505e-15
65,0.55,0.25,0.0234375,0.9352346999405823,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,3.1718633827188025,6.320769959659017,0.5928469904245302,0.2975000945271,10.661722268561732,-0.9631724074987269,32.827941791255256,19.386391355652183,19.386391355652183,19.386391355652183,8.834763900880303,12.60678170605701,10.551627454771879,23.15840916082889,8.834763900880303,0.4557198778670322,12.60678170605701,0.5442801221329676,0.4556283370543149,0.4960243003459082,-1.0658141036401503e-14
66,0.55,0.25,0.046875,0.9334821428571428,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,6.032268864836963,8.231850998713892,0.6201237599833532,0.4544243148081337,13.274529263214927,-0.8095904293016203,23.018315660940416,31.92337057515775,31.92337057515775,31.92337057515775,10.962453940439872,26.974318952920363,20.96091663471788,47.93523558763824,10.962453940439872,0.34339901279004276,26.974318952920363,0.6566009872099572,0.4372757613008035,0.5249507258363098,-7.105427357601002e-15
67,0.55,0.25,0.057291666666666664,0.9434328358208955,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,4.857155268960673,4.892255980628055,0.4236443104178086,0.4206047685687344,11.548027107464726,-4.857155268960673,5.6824588393813915,1.124100620214834,1.124100620214834,1.124100620214834,0.0,37.733141531470565,1.124100620214834,38.8572421516854,0.0,0.0,37.733141531470565,1.0,0.02892898615467174,0.056231258996377514,1.4210854715202004e-14
68,0.55,0.25,0.03125,0.919051878354204,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,1.4537131723184662,1.7472160403282893,0.15650995413450966,0.13021891779424496,11.163609688535695,-0.5237796648472011,4.037907657645343,13.992555840983288,13.992555840983288,13.992555840983288,3.3632471588020665,2.935328996847441,10.62930868218122,13.564637679028664,3.3632471588020665,0.24035974535483604,2.935328996847441,0.7596402546451638,0.783604319827462,0.771436225859665,0.24990419000744302
69,0.55,0.25,0.020833333333333332,0.8917244431332055,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,1.1988447640981994,1.4811656374720965,0.07558176773169063,0.06117533664976788,19.596864189921025,-0.7788509086534721,3.424345641657144,26.167092460615173,26.167092460615173,26.167092460615173,0.2830596213442602,4.831643578671493,25.884032839270912,30.715676417942404,0.2830596213442602,0.01081738912224586,4.831643578671493,0.989182610877754,0.8426977966257936,0.9100834347403967,-0.8709141481584712
70,0.55,0.25,0.020833333333333332,0.8948377581120944,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,0.8175824442267782,1.0358583917873099,0.06930161276015671,0.05469838580111673,14.947103689668412,-0.3327387967513592,2.63201569586265,19.539001283195553,19.539001283195553,19.539001283195553,1.9393745899016759,1.3943509922643353,17.599626693293875,18.99397768555821,1.9393745899016759,0.09925658746793921,1.3943509922643353,0.9007434125320607,0.9265898372975078,0.9134838345909015,0.11079340149450445
71,0.55,0.25,0.06770833333333333,0.887905604719764,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,6.829368852347648,6.965905608051246,0.2817283382697286,0.2762062603861789,24.72561209437881,-6.829368852347648,10.001035817388626,24.863733698264564,24.863733698264564,24.863733698264564,0.0,40.35729569973138,24.863733698264564,65.22102939799595,0.0,0.0,40.35729569973138,1.0,0.38122265054327026,0.5520075281031999,-7.105427357601002e-15
72,0.55,0.25,0.041666666666666664,0.901622418879056,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,1.304939282077475,1.4846461779463673,0.09941831691109623,0.08738436741525324,14.933326413823686,-1.1936149860606273,3.55793468049818,17.28673859322611,17.28673859322611,17.28673859322611,0.4452971840673907,5.57153321439455,16.841441409158723,22.412974623553275,0.4452971840673907,0.025759467678991947,5.57153321439455,0.9742405323210082,0.7514148252084506,0.8484414644104059,-1.7763568394002505e-15
73,0.55,0.25,0.013020833333333334,0.894542772861357,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,3.7455804913162307,5.095490882316637,0.3065584789971984,0.22534422784747324,16.62159500198722,-1.0665914095087858,15.696777540453473,21.720928211004107,21.720928211004107,21.720928211004107,1.7091150803569302,12.30668378376088,20.011813130647177,32.31849691440806,1.7091150803569302,0.07868517697558938,12.30668378376088,0.9213148230244106,0.6192061834944316,0.7406375284046675,-0.31373192439469966
74,0.55,0.25,0.0234375,0.8923303834808259,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2.160461239737117,2.4396849293094975,0.1750966947200362,0.15505675245359982,13.933357983771957,-1.728498834221619,4.960705283566112,17.382363375922594,17.382363375922594,17.382363375922594,1.7278496220619912,10.673634411635874,15.654513753860602,26.328148165496472,1.7278496220619912,0.09940245665646046,10.673634411635874,0.9005975433435395,0.5945922841005633,0.7162814253055239,4.884981308350689e-15
75,0.55,0.25,0.049479166666666664,0.906047197640118,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,4.848005850394788,7.07441833327671,0.36589135841753534,0.25074053620398545,19.334751068932786,-0.4676583630621268,21.057120954479622,28.375427853410304,28.375427853410304,28.375427853410304,3.911172097409936,10.24471308929466,24.46425575600037,34.70896884529503,3.911172097409936,0.1378365858522155,10.24471308929466,0.8621634141477845,0.7048396011141258,0.775604017356084,-4.143715656109878
76,0.55,0.25,0.044270833333333336,0.8991150442477877,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2.7123928208059755,3.5332249451529845,0.2411683580693298,0.18514058209913703,14.650449890848748,-1.8825160858380146,8.972992926649578,18.88607192194649,18.88607192194649,18.88607192194649,3.3092714626523803,7.985041247758211,15.576800459294109,23.561841707052317,3.3092714626523803,0.1752228560988828,7.985041247758211,0.8247771439011172,0.6611028396236022,0.7339253747751987,5.329070518200751e-15
77,0.55,0.25,0.057291666666666664,0.9350788546930026,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,3.448185151265915,3.731047468962112,0.37214835790343603,0.34393463295914245,10.02569913241491,-3.2205714284741775,5.921460936446334,2.9820947585427877,2.9820947585427877,2.9820947585427877,0.9104548911669506,25.188180315586518,2.0716398673758376,27.259820182962358,0.9104548911669506,0.3053071632143064,25.188180315586518,0.6946928367856937,0.07599609437888485,0.13700454295853076,7.549516567451064e-15
78,0.55,0.25,0.049479166666666664,0.908259587020649,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,1.1522493345991276,1.5652114385802836,0.16689582543333678,0.12286238080227947,9.378373812024892,-0.43957212048344624,5.5790196921690125,10.158403624862526,10.158403624862526,10.158403624862526,2.5457735947444857,4.22809614656882,7.61263003011804,11.84072617668686,2.5457735947444857,0.2506076435586539,4.22809614656882,0.749392356441346,0.6429191855738126,0.6920846505103021,1.2878587085651816e-14
79,0.55,0.25,0.028645833333333332,0.9023310711124225,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,7.1282081645739135,16.11073576810249,1.0030306410431176,0.4437917242089717,16.062057437595204,5.110805420310962,54.321557657259405,38.43638055771618,38.43638055771618,38.43638055771618,18.499796380201353,2.7898221533606216,19.936584177514828,22.72640633087545,18.499796380201353,0.48130953309773816,2.7898221533606216,0.518690466902262,0.8772431455838907,0.6519187627545302,-2.461348187257075
80,0.55,0.25,0.020833333333333332,0.8956303513433718,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2.826960489169052,3.1979604514337603,0.2037478384582311,0.18011076053701114,15.695677930292995,-2.116284892379923,5.725982600806386,18.912909286231677,18.912909286231677,18.912909286231677,1.8086718510365152,10.438046054611519,17.10423743519516,27.542283489806678,1.8086718510365152,0.09563160398348666,10.438046054611519,0.9043683960165132,0.6210174055294068,0.7363756950769794,-1.2381780253931571
81,0.55,0.25,0.033854166666666664,0.8964449033780794,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,9.001997602945924,17.888259444361687,0.8275280012536282,0.416441024171517,21.61650048972679,3.6900396889893177,52.47484972875429,40.21351881695851,40.21351881695851,40.21351881695851,13.37501343445209,15.707491647419147,26.83850538250642,42.545997029925566,13.37501343445209,0.33259992728643506,15.707491647419147,0.6674000727135648,0.6308115276656704,0.6485901979456034,0.0
82,0.55,0.25,0.026041666666666668,0.893362831858407,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2.7907492955953535,3.518157399763772,0.22732224077687382,0.1803214896990723,15.47652085313108,-1.8034858583736477,12.859411576490597,20.914718338036653,20.914718338036653,20.914718338036653,3.2148528941226493,11.050100548956298,17.699865443914007,28.7499659928703,3.2148528941226493,0.1537124642159747,11.050100548956298,0.8462875357840254,0.6156482219249718,0.7127747083212269,7.105427357601002e-15
83,0.55,0.25,0.03125,0.8986725663716815,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,1.3143373980312203,1.485760854006698,0.1698537829911385,0.15025646865059086,8.747293276854553,-0.8922659956395509,3.2862150037860545,6.091917348870537,6.091917348870537,6.091917348870537,1.5897735521798588,5.603974257208106,4.502143796690678,10.106118053898786,1.5897735521798588,0.26096439940614236,5.603974257208106,0.7390356005938575,0.4454869587589885,0.5558876351043116,1.7763568394002505e-15
