capacity_multiplier,deadline_multiplier,day,capacity_binding_share,deadline_binding_share,estimator_schema_version,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
0.55,0.25,87.5,0.03129822530864198,0.9107301400824602,3.0,2.6824532381272514,3.6676970478101074,0.2866284804611525,0.21276736344805,12.079806425980307,-1.1019715432225723,10.572451035251875,13.166641057507466,13.166641057507466,13.166641057507466,2.783607763820595,11.339742635811497,10.38303329368687,21.722775929498365,2.783607763820595,0.20247683185163487,11.339742635811497,0.7975231681483651,0.4307246702686578,0.4913234745505588,-0.6424990819188771
0.55,0.5,87.5,0.03129822530864198,0.9000666865847639,3.0,2.682453238127251,3.6694266217279554,0.2867465364888332,0.21276736344805,12.079806425980307,-1.101971543222572,10.620680714057997,13.17422694948835,13.17422694948835,13.17422694948835,2.783607763820595,11.332156743830613,10.390619185667754,21.722775929498365,2.783607763820595,0.20247100420996433,11.332156743830613,0.7975289957900357,0.43104662693381157,0.4915612754529092,-0.6424990819188764
0.55,1.0,87.5,0.03129822530864198,0.8722534340226024,3.0,2.6816143597792577,3.668183558480842,0.28666168835984296,0.21271010388378736,12.079806425980307,-1.101971543222572,10.620680714057999,13.163994617437957,13.163994617437957,13.163994617437957,2.780252250428621,11.33903356248903,10.383742367009337,21.722775929498365,2.780252250428621,0.20225541153743254,11.33903356248903,0.7977445884625675,0.43075476441878785,0.491413306717082,-0.6424990819188768
0.7,0.25,87.5,0.020833333333333332,0.9107301400824602,3.0,2.690497287590093,3.766795911722729,0.2924576686983375,0.21318279790952108,12.079806425980307,-1.1017248719946264,11.395251429347413,12.935524688569581,12.935524688569581,12.935524688569581,2.549070093638932,11.336321334567717,10.386454594930647,21.722775929498365,2.549070093638932,0.1973213380441074,11.336321334567717,0.8026786619558927,0.4309736540420032,0.49449566732817435,-0.6405257120953112
0.7,0.5,87.5,0.020833333333333332,0.9000666865847639,3.0,2.690497287590093,3.7662034227648595,0.2923958729691266,0.21318279790952102,12.079806425980307,-1.1017248719946267,11.395251429347413,12.931884368181363,12.931884368181363,12.931884368181363,2.5490700936389317,11.339961654955934,10.382814274542431,21.722775929498365,2.5490700936389317,0.19740970051913126,11.339961654955934,0.8025902994808688,0.430666213405855,0.4942827222796826,-0.6405257120953123
0.7,1.0,87.5,0.020833333333333332,0.8722534340226024,3.0,2.6886013267878175,3.764294099911867,0.29228114740247413,0.21305338476211536,12.079806425980307,-1.1017248719946267,11.395251429347415,12.913293595655981,12.913293595655981,12.913293595655981,2.5414862504298275,11.350968584272211,10.371807345226152,21.722775929498365,2.5414862504298275,0.19690069882826158,11.350968584272211,0.8030993011717384,0.4302639966682462,0.49413577306049106,-0.6405257120953118
0.85,0.25,87.5,0.014998070987654322,0.9107301400824602,3.0,2.7042621301685426,3.8620204140644785,0.2983184381769892,0.2140200939602895,12.079806425980307,-1.099691027957883,11.893088661611111,12.827336257257798,12.827336257257798,12.827336257257798,2.469982620114285,11.365422292354852,10.357353637143513,21.722775929498365,2.469982620114285,0.19545337935264231,11.365422292354852,0.8045466206473577,0.42989023124060294,0.49499853164746904,-0.6242549598013634
0.85,0.5,87.5,0.014998070987654322,0.9000666865847639,3.0,2.7042621301685426,3.861427925106609,0.29825664244777833,0.21402009396028948,12.079806425980307,-1.099691027957883,11.893088661611111,12.823695936869582,12.823695936869582,12.823695936869582,2.4699826201142847,11.369062612743067,10.353713316755297,21.722775929498365,2.4699826201142847,0.1955417418276662,11.369062612743067,0.8044582581723339,0.4295827906044548,0.49478558659897737,-0.6242549598013639
0.85,1.0,87.5,0.014998070987654322,0.8722534340226024,3.0,2.702366169366267,3.8595186022536163,0.29814191688112585,0.2138906808128838,12.079806425980307,-1.099691027957883,11.893088661611113,12.805105164344198,12.805105164344198,12.805105164344198,2.4623987769051805,11.380069542059346,10.34270638743902,21.722775929498365,2.4623987769051805,0.1950327401367965,11.380069542059346,0.8049672598632035,0.42918057386684605,0.49463863737978575,-0.6242549598013635
1.0,0.25,87.5,0.011188271604938271,0.9107301400824602,3.0,2.7042316489242575,3.8667113365537635,0.29856858755783916,0.21401316400970263,12.079806425980307,-1.0988995077225232,12.06285194072041,12.741823687407914,12.741823687407914,12.741823687407914,2.4025730816707553,11.383525323761207,10.33925060573716,21.722775929498365,2.4025730816707553,0.1931546384541683,11.383525323761207,0.8068453615458318,0.42896897139634893,0.4955397743190001,-0.6179227979184851
1.0,0.5,87.5,0.011188271604938271,0.9000666865847639,3.0,2.7031745664699747,3.8672280980738116,0.2986038602978503,0.21394101042655958,12.079806425980307,-1.0988995077225232,12.111081619526535,12.739505564154333,12.739505564154333,12.739505564154333,2.398344751853625,11.381615117197656,10.341160812300709,21.722775929498365,2.398344751853625,0.1928752967898825,11.381615117197656,0.8071247032101175,0.4290500434359331,0.49568512055537584,-0.617922797918485
1.0,1.0,87.5,0.011188271604938271,0.8722534340226024,3.0,2.704013444607055,3.8671481347959378,0.29861400185806086,0.21399826997246582,12.079806425980307,-1.0988995077225232,12.062851940720414,12.743697578897338,12.743697578897338,12.743697578897338,2.401700264401945,11.380778615002974,10.341997314495393,21.722775929498365,2.401700264401945,0.19305879219771813,11.380778615002974,0.806941207802282,0.4291504797446444,0.4956861589237315,-0.6179227979184849
1.2,0.25,87.5,0.007571373456790124,0.9107301400824602,3.0,2.7042316489242575,3.8979852987762165,0.30053369672808616,0.21401316400970263,12.079806425980307,-1.0988995077225232,12.49988897775745,12.852628521426645,12.852628521426645,12.852628521426645,2.511832340930014,11.381979749001735,10.340796180496632,21.722775929498365,2.511832340930014,0.19653286541236065,11.381979749001735,0.8034671345876393,0.4290995017993335,0.4937843085370499,-0.617922797918485
