method,mean_mae_mw,median_mae_mw,mean_rmse_mw,mean_energy_abs_mwh,mean_signed_energy_mwh,all_days_with_trace
Batch-only minimum-cost schedule,5.764376469301862,5.6037589294200325,15.87440919119124,553.3801410529787,140.85931573858312,54.0
Batch-only trace-constrained verifier,3.744360091882978,3.5546028977311246,14.39763988459638,359.4585688207659,140.85931573858312,54.0
