day,method,mae_mw,rmse_mw,energy_abs_mwh,energy_abs_fraction_of_observed,mae_fraction_of_observed_peak,signed_energy_mwh,observed_energy_mwh,predicted_energy_mwh,trace_coverage,event_intervention
61,Batch-only minimum-cost schedule,12.500893428226954,24.1876456254822,1200.0857691097876,0.8935113044894005,0.277439361643361,104.05549960904852,1343.1120155727408,1447.1675151817894,1.0,False
61,Batch-only trace-constrained verifier,7.601954852113754,19.61266648397686,729.7876658029204,0.5433557717758324,0.16871446137200044,104.05549960904847,1343.1120155727408,1447.1675151817892,1.0,False
62,Batch-only minimum-cost schedule,4.07869978542108,12.60007627535314,391.55517940042364,0.4722539573545897,0.09570800147473342,4.938272013532696e-13,829.119954004803,829.1199540048035,1.0,False
62,Batch-only trace-constrained verifier,2.140466029892662,10.00354700730562,205.48473886969555,0.24783475283300826,0.050226723397940466,4.902744876744691e-13,829.119954004803,829.1199540048035,1.0,False
63,Batch-only minimum-cost schedule,8.167079339748124,16.26405737787696,784.0396166158199,0.7784908089131362,0.45565766366151667,186.91413429794542,1007.1276470308371,1194.0417813287827,1.0,False
63,Batch-only trace-constrained verifier,5.595525945578167,14.271587454802228,537.170490775504,0.5333688260461948,0.31218556515188434,186.9141342979454,1007.1276470308371,1194.0417813287827,1.0,False
64,Batch-only minimum-cost schedule,6.732725439920608,16.528751904906635,646.3416422323784,0.6953387428541166,0.3529370038655726,129.12369491361483,929.5349193105181,1058.658614224133,1.0,False
64,Batch-only trace-constrained verifier,4.613733577695722,14.705065752123089,442.91842345878933,0.47649465798156754,0.2418570785451662,129.1236949136147,929.5349193105181,1058.6586142241329,1.0,False
65,Batch-only minimum-cost schedule,6.875358974015962,15.909441789245092,660.0344615055324,0.7322661417861356,0.5433588437036058,174.94511662586848,901.3587053138679,1076.3038219397363,1.0,False
65,Batch-only trace-constrained verifier,4.857339907138207,14.750373971187852,466.3046310852679,0.5173352499246047,0.38387502461945894,174.9451166258686,901.3587053138679,1076.3038219397365,1.0,False
66,Batch-only minimum-cost schedule,8.604382889174282,19.800333502371416,826.0207573607311,0.8569821680258239,0.5931148602059321,258.062246116869,963.8715812063899,1221.9338273232588,1.0,False
66,Batch-only trace-constrained verifier,5.291357839926763,18.177816015991418,507.97035263296925,0.5270104052628973,0.3647423651353688,258.062246116869,963.8715812063899,1221.933827323259,1.0,False
67,Batch-only minimum-cost schedule,10.556083920320775,21.222076362649496,1013.3840563507945,0.8702304177919818,0.34514688425584183,201.47748637817796,1164.5008444108785,1365.9783307890561,1.0,False
67,Batch-only trace-constrained verifier,6.114596184594656,18.620370528009367,587.0012337210869,0.5040796977850636,0.1999258283209416,201.47748637817796,1164.5008444108785,1365.9783307890564,1.0,False
68,Batch-only minimum-cost schedule,5.81019376806915,15.715920283432318,557.7786017346384,0.6102138242484305,0.23203626149784065,116.51254972624653,914.0707397470487,1030.5832894732953,1.0,False
68,Batch-only trace-constrained verifier,3.4020044752186176,14.647216620691808,326.5924296209873,0.35729447997795594,0.13586266337051642,116.51254972624653,914.0707397470487,1030.5832894732953,1.0,False
69,Batch-only minimum-cost schedule,3.617760041883694,11.865189583892464,347.30496402083463,0.4592467072627294,0.2502104327583779,87.63360386022654,756.2492197078415,843.882823568068,1.0,False
69,Batch-only trace-constrained verifier,1.9569458987986295,10.999579796977606,187.86680628466843,0.24841917371795266,0.1353457041247512,87.63360386022651,756.2492197078415,843.882823568068,1.0,False
70,Batch-only minimum-cost schedule,4.02999872309227,13.468751778788816,386.8798774168579,0.5090578539487821,0.24263637541575944,68.55492475685497,759.9919624376978,828.5468871945527,1.0,False
70,Batch-only trace-constrained verifier,3.1626590384154105,12.297570748506987,303.6152676878794,0.39949799826043425,0.190415972431919,68.554924756855,759.9919624376978,828.5468871945527,1.0,False
71,Batch-only minimum-cost schedule,8.327315141201124,21.365559661279814,799.4222535553079,0.8057523387663936,0.4128615069175907,142.9139146908786,992.1438822991478,1135.0577969900264,1.0,False
71,Batch-only trace-constrained verifier,6.280076719963216,19.524780353326875,602.8873651164688,0.6076612232082366,0.31136109228455483,142.91391469087853,992.1438822991478,1135.0577969900264,1.0,False
72,Batch-only minimum-cost schedule,6.989351980479271,17.497027188213032,670.9777901260101,0.7093995308680113,0.39332317937830735,59.24642677717299,945.8390666046975,1005.0854933818704,1.0,False
72,Batch-only trace-constrained verifier,4.822106189607045,15.39441176805828,462.9221942022764,0.4894301901316468,0.2713622297307743,59.24642677717297,945.8390666046975,1005.0854933818704,1.0,False
73,Batch-only minimum-cost schedule,5.224842123555442,12.080868390273622,501.58484386132244,0.5898472732365657,0.2868367151975579,109.12514934782234,850.3639274435629,959.4890767913853,1.0,False
73,Batch-only trace-constrained verifier,2.5192553155844695,9.767832666871712,241.84851029610905,0.2844058908086269,0.13830368504503357,109.12514934782237,850.3639274435629,959.4890767913854,1.0,False
74,Batch-only minimum-cost schedule,5.15497340246196,15.010286796142983,494.87744663634817,0.6189844450693344,0.2777879671650623,137.89677350991496,799.4990028883769,937.3957763982919,1.0,False
74,Batch-only trace-constrained verifier,3.5679589980968807,13.584868531823048,342.52406381730054,0.4284233783655168,0.19226793227221484,137.89677350991494,799.4990028883769,937.3957763982919,1.0,False
75,Batch-only minimum-cost schedule,7.5723717048327694,20.063651173976808,726.9476836639459,0.7860015466071859,0.2930277988350394,227.0122025232085,924.8680066875836,1151.8802092107921,1.0,False
75,Batch-only trace-constrained verifier,4.804986867138614,17.520992456642933,461.27873924530695,0.49875088759679076,0.1859384060888483,227.01220252320863,924.8680066875836,1151.8802092107921,1.0,False
76,Batch-only minimum-cost schedule,5.672077070883515,17.695086596765957,544.5193988048175,0.6523006171398013,0.3849350385587302,150.13211742023503,834.7675665131494,984.8996839333844,1.0,False
76,Batch-only trace-constrained verifier,4.469767153031115,16.952473853770268,429.09764669098706,0.5140324850944336,0.30334037600313707,150.13211742023503,834.7675665131494,984.8996839333845,1.0,False
77,Batch-only minimum-cost schedule,9.515012019933925,21.87931458894595,913.4411539136569,0.8531689188886569,0.36883964227813204,267.2470054396609,1070.645136842902,1337.892142282563,1.0,False
77,Batch-only trace-constrained verifier,6.760704228959672,20.44878235327787,649.0276059801286,0.6062023574813675,0.26207173718053345,267.2470054396608,1070.645136842902,1337.8921422825629,1.0,False
78,Batch-only minimum-cost schedule,5.247162799163827,18.040253820393325,503.7276287197274,0.5907130596228146,0.24718925175522732,130.41757781166825,852.7450350282934,983.1626128399616,1.0,False
78,Batch-only trace-constrained verifier,4.2476006308062635,17.200418890095467,407.76966055740127,0.4781847372982615,0.20010075194376487,130.41757781166825,852.7450350282934,983.1626128399616,1.0,False
79,Batch-only minimum-cost schedule,2.828861079527686,13.123780229221364,271.5706636346579,0.41350417242143184,0.29944694019404344,140.14028242410967,656.7543491626021,796.8946315867117,1.0,False
79,Batch-only trace-constrained verifier,2.0856016062119718,12.632719280930312,200.2177541963493,0.3048594264379641,0.2207697733775707,140.14028242410967,656.7543491626021,796.8946315867119,1.0,False
80,Batch-only minimum-cost schedule,6.223135964323116,14.421257359066512,597.4210525750191,0.6619904904346644,0.3671297810319103,143.69664049732583,902.4616836757747,1046.1583241731005,1.0,False
80,Batch-only trace-constrained verifier,3.6303484598270415,12.821326351150804,348.51345214339597,0.3861808855129251,0.2141700009073806,143.69664049732592,902.4616836757747,1046.1583241731005,1.0,False
81,Batch-only minimum-cost schedule,6.656331433433171,16.06203513526545,639.0078176095844,0.6837317078417045,0.2646408768067064,115.65943498529722,934.5885385756098,1050.247973560907,1.0,False
