day,slot,observed_total_mw,trace_constrained_total_mw,observed_region_0_mw,trace_constrained_region_0_mw
61,0,55.214271699932326,496.0,15.55825868259937,124.0
61,1,55.29023723484269,496.0,13.448174222897421,124.0
61,2,51.47656934114492,322.0905639888467,12.663741827640047,45.83236192757124
61,3,56.23228976167459,169.157414815298,13.889566882909104,56.85136905558005
61,4,61.74997843097328,61.74997843097328,14.540126828424887,14.540126828424887
61,5,62.93702572594791,62.93702572594791,14.083070658761745,14.083070658761745
61,6,68.03304511810875,68.03304511810875,15.632872703732884,15.632872703732884
61,7,63.26316009759874,63.26316009759874,15.239091633695802,15.239091633695802
61,8,63.78426193193371,63.78426193193371,16.16871210939533,16.16871210939533
61,9,69.09280103096168,69.09280103096168,19.0661141681188,19.0661141681188
61,10,74.37704575644791,66.39810088298675,17.85177529607877,17.85177529607877
61,11,74.08323215414535,30.420457361638853,17.166264980446712,10.96122844358689
61,12,74.72357945545494,31.049093725012256,17.656229338097408,7.622178449745093
61,13,73.98377204815674,35.759245961823865,17.307940577532072,6.0
61,14,66.7835370516775,61.94506294898931,15.97111995880101,14.52517360991709
61,15,70.4754310437549,35.35232118978843,16.902421314476598,10.682027495576392
61,16,66.82164490853974,25.079109992696658,16.452271600904446,6.267295903359297
61,17,63.74914593034738,25.4276248273855,16.130405220368296,7.0822823407074225
61,18,60.40480372349337,28.58429871008326,15.0069385086019,6.0
61,19,54.457148770993626,27.12344950675697,14.404512638219789,6.0
61,20,56.36355888517639,56.36355888517639,15.338013081641,15.338013081641
61,21,70.34661573488387,70.34661573488387,19.56621814329199,19.56621814329199
61,22,74.5506642659843,74.5506642659843,22.78798628757213,22.78798628757213
61,23,74.59733724081212,74.59733724081212,23.2006025649628,23.2006025649628
61,24,75.46219815750455,70.48718171179229,22.420382616137747,21.133311886619936
61,25,61.60777848683763,30.75691492875643,17.47141188626233,6.284914373763172
61,26,70.186890792018,196.60904375672015,17.413648033528744,53.80559507125173
61,27,99.93489917518595,99.93489917518595,22.31483249439034,22.31483249439034
61,28,126.5836338560736,126.5836338560736,29.678068282809605,29.678068282809605
61,29,158.34014809362088,158.34014809362088,36.824533426792186,36.824533426792186
61,30,114.28401990101293,171.9557187659899,27.28733067900284,40.07517921050635
61,31,79.10954090466967,216.3683460170124,19.172773304386325,45.68065914705869
61,32,84.69561150605479,84.69561150605479,20.23442869447567,20.23442869447567
61,33,81.91137225552808,81.91137225552808,19.025777984926066,19.025777984926066
61,34,77.49700075748582,77.49700075748582,17.528725911220064,17.528725911220064
61,35,75.31851939426687,75.31851939426687,17.281619878243326,17.281619878243326
61,36,75.27278791254155,75.27278791254155,17.623147521909083,17.623147521909083
61,37,75.94653722887847,31.30987437600527,18.868211743367752,6.0
61,38,77.93528288224324,40.684688511780124,20.28589880223662,20.28589880223662
61,39,80.59713330446263,30.74564283731013,21.93284926149716,10.960736579120066
61,40,77.57726450136246,25.86667096982262,20.29502174998827,6.0
61,41,73.99974393881563,26.89065715192362,18.1835351192327,6.120753892023004
61,42,67.42213781252454,36.14973389513822,16.970045772488824,6.0
61,43,66.33901504510648,24.795339164239408,16.98164967748906,6.0
61,44,65.33584069042755,33.35646372069304,16.032767861191292,6.0
61,45,64.50749047260564,31.752640159878297,14.511323968472205,6.0
61,46,63.95938910414509,63.95938910414509,15.348009939417999,15.348009939417999
61,47,55.98759058630924,55.95283664424208,14.16062434598875,14.16062434598875
61,48,51.43890556516068,31.91202201309808,13.912022013098081,13.912022013098081
61,49,49.62142548971167,31.264599341008587,13.264599341008587,13.264599341008587
61,50,48.62670879550436,30.823023842127565,12.823023842127565,12.823023842127565
61,51,48.434191366960555,24.0,12.823023842127565,6.0
61,52,48.84974637975842,40.72489165623732,12.517383041301567,11.193321305613722
61,53,48.680032078205635,25.11436393584563,12.099901272059729,6.0
61,54,46.71829982347317,34.45003021408273,11.675817014214754,11.675817014214754
61,55,44.37200169133632,31.868383620558447,12.809160497649813,12.809160497649813
61,56,42.329694154772,32.882874201169884,11.950381232034308,6.07039135558739
61,57,43.969202504498654,24.39790087902702,10.997508270594178,6.0
61,58,41.7692647621608,105.69613070222431,10.946285477939956,18.10755086575375
61,59,42.152264021391886,42.152264021391886,11.202754182413049,11.202754182413049
61,60,41.32477031634767,41.32477031634767,10.516175804421149,10.516175804421149
61,61,40.4725136696683,40.4725136696683,10.506413597289084,10.506413597289084
61,62,38.39169824544899,38.39169824544899,10.550515082284925,10.550515082284925
61,63,38.70784022629323,38.70784022629323,10.510050833165032,10.510050833165032
61,64,38.86598831510946,28.241914413473943,10.506413597289084,6.0
61,65,38.74638890813735,28.152822770514376,10.466890826566608,6.0
61,66,37.565309101951186,24.002575400804403,10.163113974841472,6.0
61,67,37.165002310087125,24.0,10.069426881144633,6.0
61,68,37.157913616703,25.630433376826886,10.069426881144633,6.0
61,69,37.18421153778342,24.0,10.069426881144633,6.0
61,70,37.161848945757654,24.0,10.047064289118866,6.0
61,71,35.74393398692376,29.529259748859545,10.024214551549823,6.016390464722349
61,72,35.58858461843607,27.081124208292522,10.004972846534717,6.0
61,73,35.57754243921463,27.07008202907108,10.004972846534717,6.0
61,74,35.57754243921463,24.0,10.004972846534717,6.0
61,75,35.537042467866854,24.0,10.004972846534717,6.0
61,76,35.50465332278674,24.0,10.05255525025963,6.0
61,77,35.48484577844927,24.0,10.069497470508917,6.0
61,78,35.47002665901559,24.0,10.062213266830902,6.0
61,79,35.436784017360296,24.0,10.064461704029277,6.0
61,80,35.403410279583234,24.0,10.064461704029277,6.0
61,81,35.41632979072993,24.0,10.064461704029277,6.0
61,82,35.41632979072993,24.0,10.064461704029277,6.0
61,83,35.42322324431774,24.0,10.064461704029277,6.0
61,84,35.41351576845834,24.0,10.064461704029277,6.0
61,85,35.414258888693574,24.0,10.015477550800462,6.0
61,86,35.39513526134027,24.0,9.976816101830604,6.0
61,87,35.263024884644615,24.0,9.915086892510008,6.0
61,88,35.12606891293588,24.0,9.890815655408723,6.0
61,89,35.143052424345726,24.0,9.961406032682731,6.0
61,90,35.19380199404537,24.0,10.009411221620834,6.0
61,91,35.13993528853616,24.0,10.000059220426362,6.0
61,92,34.83809235662766,24.0,9.894126424418971,6.0
61,93,34.97505194255924,24.925524004325666,9.82697562232823,6.0
61,94,33.66324324692284,25.552710850562903,8.280356241257026,6.0
61,95,32.994426558335974,24.0,8.175780553568938,6.0
