day,baseline_quality,allocation_method,participant,participant_bus,participant_payment_usd,oracle_shapley_value_usd,participant_absolute_error_usd,total_payment_usd,estimated_grand_value_usd,realized_grand_value_usd,budget_residual_usd,total_value_error_usd,settlement_schema_version,estimator_checksum
61,Trace-Anchored Reference,Nodal signed linear,1,15,475.89635277851926,475.13317157003314,0.7631812084861167,791.3203663266123,789.2745827268882,789.2745827268882,2.045783599724132,2.045783599724132,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Nodal signed linear,2,42,-227.48952757536307,-227.83118796327165,0.34166038790857556,791.3203663266123,789.2745827268882,789.2745827268882,2.045783599724132,2.045783599724132,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Nodal signed linear,3,80,330.5876772684384,330.1024121881716,0.4852650802667995,791.3203663266123,789.2745827268882,789.2745827268882,2.045783599724132,2.045783599724132,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Nodal signed linear,4,116,212.32586385501767,211.87018693195506,0.45567692306261165,791.3203663266123,789.2745827268882,789.2745827268882,2.045783599724132,2.045783599724132,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Standalone avoided cost,1,15,475.54951554181025,475.13317157003314,0.4163439717771098,790.4050058551038,789.2745827268882,789.2745827268882,1.1304231282156252,1.1304231282156252,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Standalone avoided cost,2,42,-227.8285551604531,-227.83118796327165,0.0026328028185389485,790.4050058551038,789.2745827268882,789.2745827268882,1.1304231282156252,1.1304231282156252,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Standalone avoided cost,3,80,330.46225282489104,330.1024121881716,0.3598406367194116,790.4050058551038,789.2745827268882,789.2745827268882,1.1304231282156252,1.1304231282156252,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Standalone avoided cost,4,116,212.22179264885563,211.87018693195506,0.35160571690056486,790.4050058551038,789.2745827268882,789.2745827268882,1.1304231282156252,1.1304231282156252,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Leave-one-out marginal,1,15,474.6580050202683,475.13317157003314,0.47516654976482187,788.1336149408744,789.2745827268882,789.2745827268882,-1.140967786013789,-1.140967786013789,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Leave-one-out marginal,2,42,-227.8213737277074,-227.83118796327165,0.00981423556424943,788.1336149408744,789.2745827268882,789.2745827268882,-1.140967786013789,-1.140967786013789,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Leave-one-out marginal,3,80,329.75931334695997,330.1024121881716,0.34309884121165624,788.1336149408744,789.2745827268882,789.2745827268882,-1.140967786013789,-1.140967786013789,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Leave-one-out marginal,4,116,211.5376703013535,211.87018693195506,0.33251663060156034,788.1336149408744,789.2745827268882,789.2745827268882,-1.140967786013789,-1.140967786013789,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Exact Shapley net value,1,15,475.13317157003314,475.13317157003314,0.0,789.2745827268882,789.2745827268882,789.2745827268882,0.0,0.0,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Exact Shapley net value,2,42,-227.83118796327165,-227.83118796327165,0.0,789.2745827268882,789.2745827268882,789.2745827268882,0.0,0.0,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Exact Shapley net value,3,80,330.1024121881716,330.1024121881716,0.0,789.2745827268882,789.2745827268882,789.2745827268882,0.0,0.0,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Trace-Anchored Reference,Exact Shapley net value,4,116,211.87018693195506,211.87018693195506,0.0,789.2745827268882,789.2745827268882,789.2745827268882,0.0,0.0,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Risk-Constrained Convex Verifier,Nodal signed linear,1,15,412.0171405125351,475.13317157003314,63.11603105749805,94.5899604555541,94.58996045555978,789.2745827268882,-5.6701310313655995e-12,-694.6846222713341,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Risk-Constrained Convex Verifier,Nodal signed linear,2,42,-324.54144698268595,-227.83118796327165,96.71025901941431,94.5899604555541,94.58996045555978,789.2745827268882,-5.6701310313655995e-12,-694.6846222713341,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Risk-Constrained Convex Verifier,Nodal signed linear,3,80,7.114266925704961,330.1024121881716,322.9881452624667,94.5899604555541,94.58996045555978,789.2745827268882,-5.6701310313655995e-12,-694.6846222713341,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Risk-Constrained Convex Verifier,Nodal signed linear,4,116,0.0,211.87018693195506,211.87018693195506,94.5899604555541,94.58996045555978,789.2745827268882,-5.6701310313655995e-12,-694.6846222713341,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Risk-Constrained Convex Verifier,Standalone avoided cost,1,15,412.01714051253657,475.13317157003314,63.11603105749657,94.58996045556705,94.58996045555978,789.2745827268882,7.275957614183426e-12,-694.6846222713211,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Risk-Constrained Convex Verifier,Standalone avoided cost,2,42,-324.5414469826719,-227.83118796327165,96.71025901940027,94.58996045556705,94.58996045555978,789.2745827268882,7.275957614183426e-12,-694.6846222713211,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Risk-Constrained Convex Verifier,Standalone avoided cost,3,80,7.114266925702395,330.1024121881716,322.98814526246923,94.58996045556705,94.58996045555978,789.2745827268882,7.275957614183426e-12,-694.6846222713211,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Risk-Constrained Convex Verifier,Standalone avoided cost,4,116,0.0,211.87018693195506,211.87018693195506,94.58996045556705,94.58996045555978,789.2745827268882,7.275957614183426e-12,-694.6846222713211,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Risk-Constrained Convex Verifier,Leave-one-out marginal,1,15,412.01714051252566,475.13317157003314,63.116031057507485,94.58996045554522,94.58996045555978,789.2745827268882,-1.4551915228366852e-11,-694.684622271343,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
61,Risk-Constrained Convex Verifier,Leave-one-out marginal,2,42,-324.5414469826828,-227.83118796327165,96.71025901941118,94.58996045554522,94.58996045555978,789.2745827268882,-1.4551915228366852e-11,-694.684622271343,6,2acbb980472197539a865bdd457b5777669f0ca06cca13f5dfd82a053a2702c2
