baseline_quality,mechanism,mean_absolute_error_usd,median_absolute_error_usd,mean_overpayment_usd,mean_payment_usd,mean_realized_n1_value_usd,maximum_post_contingency_loading
Risk-Constrained Convex Verifier,Base-case exact net value,167.36666171060955,121.01096540004255,107.69209981772447,1.8774327416936945,-46.140105183145685,1.0000000000000022
Risk-Constrained Convex Verifier,N-1 exact net value,150.9550349193696,113.43485365859306,20.177882177155542,-156.73937574820422,-46.140105183145685,1.0000000000000022
Risk-Constrained Convex Verifier,N-1 signed linear,150.46065778932459,113.43485365859328,20.375492224616522,-155.84977852323723,-46.140105183145685,1.0000000000000022
Trace-Anchored Reference,Base-case exact net value,139.2209637417894,79.78741647159677,130.4194043663428,75.4777398077505,-46.140105183145685,1.0000000000000022
Trace-Anchored Reference,N-1 exact net value,0.9897130319158249,0.872725529177842,0.006587888678849494,-47.11664243770382,-46.140105183145685,1.0000000000000022
Trace-Anchored Reference,N-1 signed linear,2.207560253882161,0.5963103341797336,1.9121926915779686,-44.52328005387191,-46.140105183145685,1.0000000000000022
