day,baseline_quality,mechanism,payment_usd,realized_n1_value_usd,mean_post_contingency_loading,maximum_post_contingency_loading,maximum_binding_contingency_constraints,absolute_error_usd,overpayment_usd
61,Risk-Constrained Convex Verifier,Base-case exact net value,0.03844310460044653,205.32994193258128,1.0000000000000022,1.0000000000000022,4,205.29149882798083,0.0
61,Risk-Constrained Convex Verifier,N-1 exact net value,-127.1411748599603,205.32994193258128,1.0000000000000022,1.0000000000000022,4,332.4711167925416,0.0
61,Risk-Constrained Convex Verifier,N-1 signed linear,-126.10843822478336,205.32994193258128,1.0000000000000022,1.0000000000000022,4,331.43838015736463,0.0
61,Trace-Anchored Reference,Base-case exact net value,220.40163172963548,205.32994193258128,1.000000000000002,1.0000000000000022,4,15.071689797054205,15.071689797054205
61,Trace-Anchored Reference,N-1 exact net value,204.0744245612932,205.32994193258128,1.000000000000002,1.0000000000000022,4,1.2555173712880787,0.0
61,Trace-Anchored Reference,N-1 signed linear,204.7692168456603,205.32994193258128,1.000000000000002,1.0000000000000022,4,0.5607250869209679,0.0
62,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-381.5796211030902,1.000000000000002,1.0000000000000022,4,381.5796211030902,381.5796211030902
62,Risk-Constrained Convex Verifier,N-1 exact net value,-383.8926035875811,-381.5796211030902,1.000000000000002,1.0000000000000022,4,2.312982484490931,0.0
62,Risk-Constrained Convex Verifier,N-1 signed linear,-382.65195153393313,-381.5796211030902,1.000000000000002,1.0000000000000022,4,1.0723304308429533,0.0
62,Trace-Anchored Reference,Base-case exact net value,0.0,-381.5796211030902,1.000000000000002,1.0000000000000022,4,381.5796211030902,381.5796211030902
62,Trace-Anchored Reference,N-1 exact net value,-383.8926035875811,-381.5796211030902,1.000000000000002,1.0000000000000022,4,2.312982484490931,0.0
62,Trace-Anchored Reference,N-1 signed linear,-382.6519515339335,-381.5796211030902,1.000000000000002,1.0000000000000022,4,1.0723304308433512,0.0
63,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-47.259441230329685,1.000000000000002,1.0000000000000022,4,47.259441230329685,47.259441230329685
63,Risk-Constrained Convex Verifier,N-1 exact net value,-401.0240545327997,-47.259441230329685,1.000000000000002,1.0000000000000022,4,353.76461330247,0.0
63,Risk-Constrained Convex Verifier,N-1 signed linear,-398.4019139219462,-47.259441230329685,1.000000000000002,1.0000000000000022,4,351.1424726916165,0.0
63,Trace-Anchored Reference,Base-case exact net value,291.22281582850337,-47.259441230329685,1.000000000000002,1.0000000000000022,4,338.48225705883306,338.48225705883306
63,Trace-Anchored Reference,N-1 exact net value,-47.563529840868796,-47.259441230329685,1.000000000000002,1.0000000000000022,4,0.30408861053911096,0.0
63,Trace-Anchored Reference,N-1 signed linear,-44.30906013316178,-47.259441230329685,1.000000000000002,1.0000000000000022,4,2.950381097167906,2.950381097167906
64,Risk-Constrained Convex Verifier,Base-case exact net value,3.637978807091713e-12,-206.21524914892143,1.000000000000002,1.0000000000000022,4,206.21524914892507,206.21524914892507
64,Risk-Constrained Convex Verifier,N-1 exact net value,-406.30126469965944,-206.21524914892143,1.000000000000002,1.0000000000000022,4,200.086015550738,0.0
64,Risk-Constrained Convex Verifier,N-1 signed linear,-404.85383730375406,-206.21524914892143,1.000000000000002,1.0000000000000022,4,198.63858815483263,0.0
64,Trace-Anchored Reference,Base-case exact net value,142.31467228305883,-206.21524914892143,1.000000000000002,1.0000000000000022,4,348.52992143198026,348.52992143198026
64,Trace-Anchored Reference,N-1 exact net value,-207.23414353539738,-206.21524914892143,1.000000000000002,1.0000000000000022,4,1.0188943864759494,0.0
64,Trace-Anchored Reference,N-1 signed linear,-205.57994079723815,-206.21524914892143,1.000000000000002,1.0000000000000022,4,0.6353083516832783,0.6353083516832783
65,Risk-Constrained Convex Verifier,Base-case exact net value,3.637978807091713e-12,75.5332448810841,1.000000000000002,1.0000000000000022,4,75.53324488108046,0.0
65,Risk-Constrained Convex Verifier,N-1 exact net value,-72.06700854576229,75.5332448810841,1.000000000000002,1.0000000000000022,4,147.6002534268464,0.0
65,Risk-Constrained Convex Verifier,N-1 signed linear,-71.86023320349625,75.5332448810841,1.000000000000002,1.0000000000000022,4,147.39347808458035,0.0
65,Trace-Anchored Reference,Base-case exact net value,70.16986606634418,75.5332448810841,1.0000000000000022,1.0000000000000022,4,5.363378814739917,0.0
65,Trace-Anchored Reference,N-1 exact net value,73.75851292023799,75.5332448810841,1.0000000000000022,1.0000000000000022,4,1.7747319608461112,0.0
65,Trace-Anchored Reference,N-1 signed linear,73.93296908464097,75.5332448810841,1.0000000000000022,1.0000000000000022,4,1.6002757964431282,0.0
66,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-156.18246426646328,1.000000000000002,1.0000000000000022,4,156.18246426646328,156.18246426646328
66,Risk-Constrained Convex Verifier,N-1 exact net value,-238.1109911755375,-156.18246426646328,1.000000000000002,1.0000000000000022,4,81.92852690907421,0.0
66,Risk-Constrained Convex Verifier,N-1 signed linear,-236.57174041016816,-156.18246426646328,1.000000000000002,1.0000000000000022,4,80.38927614370488,0.0
66,Trace-Anchored Reference,Base-case exact net value,53.27369071464091,-156.18246426646328,1.0000000000000022,1.0000000000000022,4,209.4561549811042,209.4561549811042
66,Trace-Anchored Reference,N-1 exact net value,-157.88694530628345,-156.18246426646328,1.0000000000000022,1.0000000000000022,4,1.7044810398201662,0.0
66,Trace-Anchored Reference,N-1 signed linear,-144.69210128044318,-156.18246426646328,1.0000000000000022,1.0000000000000022,4,11.490362986020102,11.490362986020102
67,Risk-Constrained Convex Verifier,Base-case exact net value,1.8189894035458565e-12,481.96305849831333,1.0000000000000022,1.0000000000000022,4,481.9630584983115,0.0
67,Risk-Constrained Convex Verifier,N-1 exact net value,-13.437062160019195,481.96305849831333,1.0000000000000022,1.0000000000000022,4,495.4001206583325,0.0
67,Risk-Constrained Convex Verifier,N-1 signed linear,-13.40921152225178,481.96305849831333,1.0000000000000022,1.0000000000000022,4,495.3722700205651,0.0
67,Trace-Anchored Reference,Base-case exact net value,362.29778448994693,481.96305849831333,1.000000000000002,1.0000000000000022,4,119.6652740083664,0.0
67,Trace-Anchored Reference,N-1 exact net value,480.04761519593376,481.96305849831333,1.000000000000002,1.0000000000000022,4,1.9154433023795718,0.0
67,Trace-Anchored Reference,N-1 signed linear,483.29775563278616,481.96305849831333,1.000000000000002,1.0000000000000022,4,1.3346971344728331,1.3346971344728331
68,Risk-Constrained Convex Verifier,Base-case exact net value,15.930086487578592,-72.02345396284909,1.000000000000002,1.0000000000000022,4,87.95354045042768,87.95354045042768
68,Risk-Constrained Convex Verifier,N-1 exact net value,-112.41357706506642,-72.02345396284909,1.000000000000002,1.0000000000000022,4,40.39012310221733,0.0
68,Risk-Constrained Convex Verifier,N-1 signed linear,-111.6516515338578,-72.02345396284909,1.000000000000002,1.0000000000000022,4,39.62819757100871,0.0
68,Trace-Anchored Reference,Base-case exact net value,41.55501420440851,-72.02345396284909,1.000000000000002,1.0000000000000022,4,113.5784681672576,113.5784681672576
68,Trace-Anchored Reference,N-1 exact net value,-73.01268304274708,-72.02345396284909,1.000000000000002,1.0000000000000022,4,0.9892290798979957,0.0
68,Trace-Anchored Reference,N-1 signed linear,-72.46734639450023,-72.02345396284909,1.000000000000002,1.0000000000000022,4,0.4438924316511361,0.0
69,Risk-Constrained Convex Verifier,Base-case exact net value,0.03396274278020428,-351.1269778488495,1.000000000000002,1.0000000000000022,4,351.1609405916297,351.1609405916297
69,Risk-Constrained Convex Verifier,N-1 exact net value,-426.0898567009044,-351.1269778488495,1.000000000000002,1.0000000000000022,4,74.96287885205493,0.0
69,Risk-Constrained Convex Verifier,N-1 signed linear,-424.6424293050143,-351.1269778488495,1.000000000000002,1.0000000000000022,4,73.51545145616478,0.0
69,Trace-Anchored Reference,Base-case exact net value,50.54089363498679,-351.1269778488495,1.000000000000002,1.0000000000000022,4,401.6678714838363,401.6678714838363
69,Trace-Anchored Reference,N-1 exact net value,-352.71572826330157,-351.1269778488495,1.000000000000002,1.0000000000000022,4,1.588750414452079,0.0
69,Trace-Anchored Reference,N-1 signed linear,-351.06152552514067,-351.1269778488495,1.000000000000002,1.0000000000000022,4,0.06545232370882559,0.06545232370882559
70,Risk-Constrained Convex Verifier,Base-case exact net value,1.049785346191129,-239.42077193616933,1.000000000000002,1.0000000000000022,4,240.47055728236046,240.47055728236046
70,Risk-Constrained Convex Verifier,N-1 exact net value,-275.3675550101834,-239.42077193616933,1.000000000000002,1.0000000000000022,4,35.94678307401409,0.0
70,Risk-Constrained Convex Verifier,N-1 signed linear,-274.3798258783826,-239.42077193616933,1.000000000000002,1.0000000000000022,4,34.959053942213245,0.0
70,Trace-Anchored Reference,Base-case exact net value,26.040651743363924,-239.42077193616933,1.000000000000002,1.0000000000000022,4,265.46142367953325,265.46142367953325
70,Trace-Anchored Reference,N-1 exact net value,-240.95678842332381,-239.42077193616933,1.000000000000002,1.0000000000000022,4,1.536016487154484,0.0
