day,slot,method,flexible_profile_mw,network_dc_scale,mapped_dc_load_mw,secure_cost_usd_per_interval,max_base_loading,max_postcontingency_loading,credible_contingencies,evaluated_finite_nonislanding_outages,solver_success,post_solution_profile_reoptimization
61,64,Risk-Constrained Convex Verifier,50.847123907453714,0.1573939030950884,11.780480967235846,13300.528031359025,0.7498126741424446,1.000000000000002,37,37,True,False
61,65,Risk-Constrained Convex Verifier,17.889838158492463,0.1573939030950884,6.5932051277867,13278.04224439395,0.7510342108973401,1.0000000000000022,37,37,True,False
61,66,Risk-Constrained Convex Verifier,26.900039816946894,0.1573939030950884,8.011355934484682,13283.97567942501,0.7507554076690565,1.000000000000002,37,37,True,False
61,67,Risk-Constrained Convex Verifier,23.49226531899038,0.1573939030950884,7.474993005383399,13281.737164242404,0.7508517513594589,1.0000000000000022,37,37,True,False
61,68,Risk-Constrained Convex Verifier,17.686657713448337,0.1573939030950884,6.561225764508608,13277.966042739485,0.7510437609794413,1.000000000000002,37,37,True,False
61,69,Risk-Constrained Convex Verifier,7.961953118466236,0.1573939030950884,5.030616551857634,13271.323953021689,0.7514111236569118,1.0000000000000022,37,37,True,False
61,70,Risk-Constrained Convex Verifier,6.466566740401126,0.1573939030950884,4.795251853178739,13270.11427993772,0.7514343424561011,1.0000000000000022,37,37,True,False
61,71,Risk-Constrained Convex Verifier,17.681704778093398,0.1573939030950884,6.560446202681315,13277.817031703373,0.7510690793262152,1.000000000000002,37,37,True,False
61,64,Single Feasible Projection,46.42394396759996,0.1573939030950884,11.084299412410363,13297.702282487919,0.7500055310912394,1.0000000000000022,37,37,True,False
61,65,Single Feasible Projection,17.889838158492143,0.1573939030950884,6.59320512778665,13278.232835300196,0.7510564429968636,1.000000000000002,37,37,True,False
61,66,Single Feasible Projection,25.628089484497373,0.1573939030950884,7.811158707117355,13283.464282925863,0.7507705170395923,1.0000000000000022,37,37,True,False
61,67,Single Feasible Projection,25.569706068272,0.1573939030950884,7.80196951336162,13283.411730467418,0.750770578902133,1.0000000000000022,37,37,True,False
61,68,Single Feasible Projection,18.35449746230663,0.1573939030950884,6.666339669223458,13278.628539107382,0.7510417210614256,1.000000000000002,37,37,True,False
61,69,Single Feasible Projection,6.942472166995207,0.1573939030950884,4.870156465774514,13270.830859353184,0.7514734558539944,1.0000000000000022,37,37,True,False
61,70,Single Feasible Projection,6.012717526180239,0.1573939030950884,4.723818753935874,13270.225814720758,0.7515072314845173,1.0000000000000022,37,37,True,False
61,71,Single Feasible Projection,17.74218527087978,0.1573939030950884,6.569965463502079,13278.128039360632,0.7510635409860131,1.000000000000002,37,37,True,False
62,64,Risk-Constrained Convex Verifier,69.8443168667735,0.1573939030950884,14.770523314953719,13313.518882808909,0.7490736772127427,1.000000000000002,37,37,True,False
62,65,Risk-Constrained Convex Verifier,52.3393662696511,0.1573939030950884,12.015350816985926,13302.585139058308,0.7497816901638582,1.0000000000000022,37,37,True,False
62,66,Risk-Constrained Convex Verifier,54.824492281901726,0.1573939030950884,12.406494499737185,13303.925246399114,0.7499231209104933,1.000000000000002,37,37,True,False
62,67,Risk-Constrained Convex Verifier,54.355738018997826,0.1573939030950884,12.33271543670628,13306.034794740612,0.7500128526070505,1.0000000000000022,37,37,True,False
62,68,Risk-Constrained Convex Verifier,48.29495540053988,0.1573939030950884,11.378785204576312,13300.36560034731,0.7501556350867645,1.000000000000002,37,37,True,False
62,69,Risk-Constrained Convex Verifier,61.590862617359264,0.1573939030950884,13.47147993662167,13311.103786894333,0.7498903891843677,1.0000000000000022,37,37,True,False
62,70,Risk-Constrained Convex Verifier,43.27254565916233,0.1573939030950884,10.588288532438106,13295.621559081836,0.7502862388450645,1.0000000000000022,37,37,True,False
62,71,Risk-Constrained Convex Verifier,33.75943208783788,0.1573939030950884,9.090982456860495,13289.14086482902,0.7506059701852285,1.0000000000000022,37,37,True,False
62,64,Single Feasible Projection,78.3417049936015,0.1573939030950884,16.10796039834904,13319.538980850182,0.7487701011576534,1.000000000000002,37,37,True,False
62,65,Single Feasible Projection,54.59466468883065,0.1573939030950884,12.37032103782478,13304.628644062745,0.7497279916865414,1.000000000000002,37,37,True,False
62,66,Single Feasible Projection,54.468018985372076,0.1573939030950884,12.350387776247208,13303.696004078778,0.7496986705330877,1.0000000000000022,37,37,True,False
62,67,Single Feasible Projection,54.352003497174294,0.1573939030950884,12.332127645740279,13303.62956322305,0.7496986705330877,1.0000000000000022,37,37,True,False
62,68,Single Feasible Projection,53.77834952288413,0.1573939030950884,12.241838007700741,13303.128921396714,0.7497279916865415,1.000000000000002,37,37,True,False
62,69,Single Feasible Projection,62.891799880841944,0.1573939030950884,13.676239530203052,13309.08531123496,0.7494999632510141,1.0000000000000022,37,37,True,False
62,70,Single Feasible Projection,43.54449129378884,0.1573939030950884,10.631091117301644,13296.131794403147,0.7501150144731857,1.000000000000002,37,37,True,False
62,71,Single Feasible Projection,33.75943208783744,0.1573939030950884,9.090982456860425,13288.986685607155,0.7504719953991681,1.0000000000000022,37,37,True,False
63,64,Risk-Constrained Convex Verifier,87.16834488965196,0.1573939030950884,17.49721970280325,13325.517956517366,0.7484175751753168,1.000000000000002,37,37,True,False
63,65,Risk-Constrained Convex Verifier,43.22734464155062,0.1573939030950884,10.581174167852328,13295.31662412105,0.7500929655228533,1.0000000000000022,37,37,True,False
63,66,Risk-Constrained Convex Verifier,31.370786208056586,0.1573939030950884,8.715024158729717,13287.305242604833,0.7505380408882992,1.0000000000000022,37,37,True,False
63,67,Risk-Constrained Convex Verifier,28.376873018768276,0.1573939030950884,8.243800476339764,13285.163070118851,0.7506625084606192,1.000000000000002,37,37,True,False
63,68,Risk-Constrained Convex Verifier,25.517110903269845,0.1573939030950884,7.793691355058,13283.110840842262,0.7508034462649691,1.0000000000000022,37,37,True,False
63,69,Risk-Constrained Convex Verifier,50.54227535533943,0.1573939030950884,11.73249966376569,13304.46340573515,0.7501240466863758,1.000000000000002,37,37,True,False
63,70,Risk-Constrained Convex Verifier,57.14443851988855,0.1573939030950884,12.771639893104698,13306.44082427903,0.7503242503763873,1.000000000000002,37,37,True,False
63,71,Risk-Constrained Convex Verifier,65.26847269328255,0.1573939030950884,14.050313340533059,13313.13484078111,0.7504807196846984,1.000000000000002,37,37,True,False
63,64,Single Feasible Projection,78.99462619513464,0.1573939030950884,16.210726214671876,13320.114977495323,0.7487561003801778,1.0000000000000022,37,37,True,False
63,65,Single Feasible Projection,28.414559347862863,0.1573939030950884,8.249732074769287,13285.444388828748,0.7506665049080359,1.000000000000002,37,37,True,False
63,66,Single Feasible Projection,57.273825176659436,0.1573939030950884,12.792004564022292,13305.201687745808,0.7495876408555096,1.0000000000000022,37,37,True,False
63,67,Single Feasible Projection,41.91367583490651,0.1573939030950884,10.374410707000347,13294.62347805703,0.750165082355908,1.0000000000000022,37,37,True,False
63,68,Single Feasible Projection,24.66286917387159,0.1573939030950884,7.6592389150813105,13282.892739890438,0.7508060504146882,1.000000000000002,37,37,True,False
63,69,Single Feasible Projection,70.58120588149751,0.1573939030950884,14.886505153129026,13319.171524372749,0.7492349613097229,1.000000000000002,37,37,True,False
63,70,Single Feasible Projection,57.14443851988793,0.1573939030950884,12.7716398931046,13304.623899120583,0.7501138188683456,1.000000000000002,37,37,True,False
63,71,Single Feasible Projection,65.26847269328188,0.1573939030950884,14.050313340532954,13309.830739298792,0.7502931373408451,1.0000000000000022,37,37,True,False
64,64,Risk-Constrained Convex Verifier,89.9690901269038,0.1573939030950884,17.938039927269294,13327.536993597216,0.748419552958407,1.000000000000002,37,37,True,False
64,65,Risk-Constrained Convex Verifier,84.28408250540878,0.1573939030950884,17.043254388596868,13323.70187383992,0.7486146040657886,1.0000000000000022,37,37,True,False
64,66,Risk-Constrained Convex Verifier,52.45553071299685,0.1573939030950884,12.03363439212498,13301.24662449996,0.749926242640657,1.000000000000002,37,37,True,False
64,67,Risk-Constrained Convex Verifier,32.74682429560473,0.1573939030950884,8.93160416413642,13288.076437270938,0.7505332599148773,1.000000000000002,37,37,True,False
64,68,Risk-Constrained Convex Verifier,42.97420860568321,0.1573939030950884,10.541332099153138,13294.848589584533,0.7502146717019362,1.000000000000002,37,37,True,False
64,69,Risk-Constrained Convex Verifier,38.38810996330204,0.1573939030950884,9.819508133849682,13291.832707946316,0.750349672392325,1.0000000000000022,37,37,True,False
64,70,Risk-Constrained Convex Verifier,46.34350869825235,0.1573939030950884,11.07163939142124,13295.32154695969,0.7506720004222354,1.000000000000002,37,37,True,False
64,71,Risk-Constrained Convex Verifier,44.73174335290552,0.1573939030950884,10.817957352843697,13294.210818945494,0.7507377901371054,1.000000000000002,37,37,True,False
