network,load_multiplier,settlement_segments,evaluation_segments,mean_linear_minus_exact_error_usd_day,standard_deviation_usd_day,positive_days,minimum_daily_effect_usd,maximum_daily_effect_usd,standard_error_usd_day
IEEE RTS 24-bus,0.98,10,40,-0.009756790258089017,0.07169747301130995,34,-0.5268666741696393,3.454658781265607e-11,0.00975679026248208
IEEE RTS 24-bus,0.98,20,80,-0.006753342720900123,0.043816215617513095,28,-0.3135738946803883,0.022305349767634652,0.005962631706815246
IEEE RTS 24-bus,0.98,40,160,-0.0023334635194519706,0.02752684033742887,26,-0.17308219041959205,0.09205064665206919,0.003745928503209014
IEEE RTS 24-bus,0.98,80,320,-0.0020672593528026327,0.01939208451521035,30,-0.10364156542101455,0.06451784664767501,0.0026389284506217916
