network,load_multiplier,day,mechanism,baseline_quality,payment_usd,realized_grid_value_usd,absolute_error_usd,normalized_absolute_error,overpayment_usd,congested_interval_share,native_max_line_loading,native_congested_lines,peak_dc_penetration_of_native_load,thermal_rating_normalization_factor,selected_critical_line,data_center_bus_indices_zero_based,settlement_schema_version,settlement_generator_segments,evaluation_generator_segments,estimator_checksum,checkpoint_schema_version,panel_checksum
IEEE 300-bus,0.9,62,Nodal signed linear,Risk-Constrained Convex Verifier,0.0,0.0,0.0,0.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,62,Uniform gross,Risk-Constrained Convex Verifier,4027.1145843008862,0.0,4027.1145843008862,4027114584300.8857,4027.1145843008862,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,62,Uniform signed net,Risk-Constrained Convex Verifier,0.0,0.0,0.0,0.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,62,Nodal exact net value,Trace-Anchored Reference,0.0,0.0,0.0,0.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,62,Nodal gross,Trace-Anchored Reference,4027.1145843008917,0.0,4027.1145843008917,4027114584300.8916,4027.1145843008917,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,62,Nodal signed linear,Trace-Anchored Reference,-4.99170961836802e-13,0.0,4.99170961836802e-13,0.000499170961836802,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,62,Uniform gross,Trace-Anchored Reference,4027.1145843008917,0.0,4027.1145843008917,4027114584300.8916,4027.1145843008917,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,62,Uniform signed net,Trace-Anchored Reference,-4.726200965935221e-13,0.0,4.726200965935221e-13,0.0004726200965935221,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,63,Nodal exact net value,Risk-Constrained Convex Verifier,0.0,5311.012166105502,5311.012166105502,1.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,63,Nodal gross,Risk-Constrained Convex Verifier,4197.979005920765,5311.012166105502,1113.0331601847365,0.20957081727058247,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,63,Nodal signed linear,Risk-Constrained Convex Verifier,-3.410605131648481e-13,5311.012166105502,5311.012166105502,1.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,63,Uniform gross,Risk-Constrained Convex Verifier,4197.979005920765,5311.012166105502,1113.0331601847365,0.20957081727058247,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,63,Uniform signed net,Risk-Constrained Convex Verifier,-4.097462714014455e-13,5311.012166105502,5311.012166105502,1.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,63,Nodal exact net value,Trace-Anchored Reference,5320.992661623866,5311.012166105502,9.980495518364478,0.001879207805634354,9.980495518364478,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,63,Nodal gross,Trace-Anchored Reference,9891.636985118705,5311.012166105502,4580.624819013203,0.8624768077630138,4580.624819013203,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,63,Nodal signed linear,Trace-Anchored Reference,5328.917634293849,5311.012166105502,17.905468188347186,0.0033713852705174728,17.905468188347186,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,63,Uniform gross,Trace-Anchored Reference,9891.636985118705,5311.012166105502,4580.624819013203,0.8624768077630138,4580.624819013203,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,63,Uniform signed net,Trace-Anchored Reference,5328.917634293848,5311.012166105502,17.905468188346276,0.0033713852705173014,17.905468188346276,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,64,Nodal exact net value,Risk-Constrained Convex Verifier,0.0,2598.2655360616336,2598.2655360616336,1.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,64,Nodal gross,Risk-Constrained Convex Verifier,4265.0717673592235,2598.2655360616336,1666.8062312975899,0.6415072702015209,1666.8062312975899,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,64,Nodal signed linear,Risk-Constrained Convex Verifier,-1.1368683772161603e-13,2598.2655360616336,2598.2655360616336,1.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,64,Uniform gross,Risk-Constrained Convex Verifier,4265.0717673592235,2598.2655360616336,1666.8062312975899,0.6415072702015209,1666.8062312975899,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,64,Uniform signed net,Risk-Constrained Convex Verifier,-2.545072419479831e-16,2598.2655360616336,2598.2655360616336,1.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,64,Nodal exact net value,Trace-Anchored Reference,2601.1818972615583,2598.2655360616336,2.9163611999247223,0.0011224261567758188,2.9163611999247223,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,64,Nodal gross,Trace-Anchored Reference,6548.609483747374,2598.2655360616336,3950.34394768574,1.5203773028039094,3950.34394768574,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,64,Nodal signed linear,Trace-Anchored Reference,2601.887190153948,2598.2655360616336,3.621654092314202,0.0013938737369406005,3.621654092314202,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,64,Uniform gross,Trace-Anchored Reference,6548.609483747374,2598.2655360616336,3950.34394768574,1.5203773028039094,3950.34394768574,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,64,Uniform signed net,Trace-Anchored Reference,2601.887190153948,2598.2655360616336,3.621654092314202,0.0013938737369406005,3.621654092314202,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,65,Nodal exact net value,Risk-Constrained Convex Verifier,2.9103830456733704e-11,1305.9945711386972,1305.994571138668,0.9999999999999777,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,65,Nodal gross,Risk-Constrained Convex Verifier,763.3376786934392,1305.9945711386972,542.656892445258,0.41551236462806673,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,65,Nodal signed linear,Risk-Constrained Convex Verifier,9.521272659185342e-13,1305.9945711386972,1305.9945711386963,0.9999999999999993,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,65,Uniform gross,Risk-Constrained Convex Verifier,763.3376786934392,1305.9945711386972,542.656892445258,0.41551236462806673,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,65,Uniform signed net,Risk-Constrained Convex Verifier,9.49995637711254e-13,1305.9945711386972,1305.9945711386963,0.9999999999999993,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,65,Nodal exact net value,Trace-Anchored Reference,1310.8941199938417,1305.9945711386972,4.8995488551445305,0.0037515843966124695,4.8995488551445305,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
