network,load_multiplier,baseline_quality,mechanism,mean_absolute_error_usd,median_normalized_error,mean_overpayment_usd,congestion_share
IEEE 39-bus,0.98,Risk-Constrained Convex Verifier,Nodal signed linear,200.57402973727943,1.0,33.118643375885874,0.0
IEEE 39-bus,0.98,Risk-Constrained Convex Verifier,Uniform gross,210.26583000189862,0.8886015247809277,123.47460685884164,0.0
IEEE 39-bus,0.98,Risk-Constrained Convex Verifier,Uniform signed net,200.57402973727943,1.0,33.118643375885874,0.0
IEEE 39-bus,0.98,Trace-Anchored Reference,Nodal exact net value,1.6092270659022418,0.00739226933252685,1.2458566943408154,0.0
IEEE 39-bus,0.98,Trace-Anchored Reference,Nodal gross,237.98654763302164,1.1860668784909918,237.98654763302164,0.0
IEEE 39-bus,0.98,Trace-Anchored Reference,Nodal signed linear,3.6385213462664865,0.00743720118386805,3.4794196796806935,0.0
IEEE 39-bus,0.98,Trace-Anchored Reference,Uniform gross,237.98654763302164,1.1860668784909918,237.98654763302164,0.0
IEEE 39-bus,0.98,Trace-Anchored Reference,Uniform signed net,3.6385213462664865,0.00743720118386815,3.479419679680692,0.0
IEEE 39-bus,1.02,Risk-Constrained Convex Verifier,Nodal exact net value,228.90218553592618,1.0,41.0368628458233,0.011574074074074073
IEEE 39-bus,1.02,Risk-Constrained Convex Verifier,Nodal gross,248.4361857492508,0.8949455203390575,151.00476566862238,0.011574074074074073
IEEE 39-bus,1.02,Risk-Constrained Convex Verifier,Nodal signed linear,229.16808539289656,1.0,41.31358870872296,0.011574074074074073
IEEE 39-bus,1.02,Risk-Constrained Convex Verifier,Uniform gross,245.7192003739683,0.8949455203390575,148.08787297021127,0.011574074074074073
IEEE 39-bus,1.02,Risk-Constrained Convex Verifier,Uniform signed net,227.721446353118,1.0,39.72167292905161,0.011574074074074073
IEEE 39-bus,1.02,Trace-Anchored Reference,Nodal exact net value,2.9854080551902507,0.012713722051728951,0.9354020709678379,0.011574074074074073
IEEE 39-bus,1.02,Trace-Anchored Reference,Nodal gross,271.1576501052022,1.200471046938914,270.8587700392482,0.011574074074074073
IEEE 39-bus,1.02,Trace-Anchored Reference,Nodal signed linear,7.432881761924165,0.0127137220516967,6.333409156090547,0.011574074074074073
IEEE 39-bus,1.02,Trace-Anchored Reference,Uniform gross,271.1576501052022,1.2004710469389137,270.8587700392482,0.011574074074074073
IEEE 39-bus,1.02,Trace-Anchored Reference,Uniform signed net,7.432881761924155,0.0127137220516967,6.333409156090544,0.011574074074074073
IEEE RTS 24-bus,0.9,Risk-Constrained Convex Verifier,Nodal exact net value,108.84279604898065,0.9999999999999748,17.551491186690765,0.0
IEEE RTS 24-bus,0.9,Risk-Constrained Convex Verifier,Nodal gross,113.53834220703745,0.8898010845977868,66.15571810742388,0.0
IEEE RTS 24-bus,0.9,Risk-Constrained Convex Verifier,Nodal signed linear,108.8387772651725,1.0,17.55414855226849,0.0
IEEE RTS 24-bus,0.9,Risk-Constrained Convex Verifier,Uniform gross,113.53834220703745,0.8898010845977868,66.15571810742388,0.0
IEEE RTS 24-bus,0.9,Risk-Constrained Convex Verifier,Uniform signed net,108.8387772651725,1.0,17.55414855226849,0.0
IEEE RTS 24-bus,0.9,Trace-Anchored Reference,Nodal exact net value,0.20020933674839866,0.00169368464256515,0.030351363544266645,0.0
IEEE RTS 24-bus,0.9,Trace-Anchored Reference,Nodal gross,128.13334478430212,1.1597588100277512,128.12485580644926,0.0
IEEE RTS 24-bus,0.9,Trace-Anchored Reference,Nodal signed linear,1.0504428334723364,0.0027602641515549,0.9938418111409043,0.0
IEEE RTS 24-bus,0.9,Trace-Anchored Reference,Uniform gross,128.1333447843021,1.1597588100277512,128.12485580644923,0.0
IEEE RTS 24-bus,0.9,Trace-Anchored Reference,Uniform signed net,1.0504428334723337,0.0027602641515549,0.9938418111409019,0.0
IEEE RTS 24-bus,0.98,Risk-Constrained Convex Verifier,Nodal exact net value,338.3690475674895,0.9999999999999907,53.721960996122746,0.0
IEEE RTS 24-bus,0.98,Risk-Constrained Convex Verifier,Nodal gross,351.8537185807597,0.8908478965133941,204.26388852832272,0.0
IEEE RTS 24-bus,0.98,Risk-Constrained Convex Verifier,Nodal signed linear,338.3592907772312,1.0,53.721960996122284,0.0
IEEE RTS 24-bus,0.98,Risk-Constrained Convex Verifier,Uniform gross,351.8537185807597,0.8908478965133941,204.26388852832272,0.0
IEEE RTS 24-bus,0.98,Risk-Constrained Convex Verifier,Uniform signed net,338.3592907772312,1.0,53.721960996122284,0.0
IEEE RTS 24-bus,0.98,Trace-Anchored Reference,Nodal exact net value,0.5713822249340915,0.0015462548769123998,0.21931664150041022,0.0
IEEE RTS 24-bus,0.98,Trace-Anchored Reference,Nodal gross,398.2250560051586,1.1581294802739446,398.14147641267857,0.0
IEEE RTS 24-bus,0.98,Trace-Anchored Reference,Nodal signed linear,1.5274392029259132,0.00206427471725835,1.3802572676157179,0.0
IEEE RTS 24-bus,0.98,Trace-Anchored Reference,Uniform gross,398.2250560051586,1.1581294802739446,398.14147641267857,0.0
IEEE RTS 24-bus,0.98,Trace-Anchored Reference,Uniform signed net,1.527439202925917,0.0020642747172584,1.3802572676157263,0.0
IEEE RTS 24-bus,1.02,Risk-Constrained Convex Verifier,Nodal exact net value,357.34236636345173,0.9999999999999776,56.29102875590861,0.0
IEEE RTS 24-bus,1.02,Risk-Constrained Convex Verifier,Nodal gross,370.7386626582428,0.8895093968008232,214.18596653539055,0.0
IEEE RTS 24-bus,1.02,Risk-Constrained Convex Verifier,Nodal signed linear,357.3375049000675,1.0,56.29530272140847,0.0
IEEE RTS 24-bus,1.02,Risk-Constrained Convex Verifier,Uniform gross,370.7386626582428,0.8895093968008232,214.18596653539055,0.0
IEEE RTS 24-bus,1.02,Risk-Constrained Convex Verifier,Uniform signed net,357.3375049000675,1.0,56.29530272140847,0.0
IEEE RTS 24-bus,1.02,Trace-Anchored Reference,Nodal exact net value,0.310736600105412,0.0009252876429151,0.20933939039261734,0.0
IEEE RTS 24-bus,1.02,Trace-Anchored Reference,Nodal gross,418.04612446483554,1.141958132922623,418.04612446483554,0.0
IEEE RTS 24-bus,1.02,Trace-Anchored Reference,Nodal signed linear,0.8397712247462836,0.0012320526700572,0.810409611064261,0.0
IEEE RTS 24-bus,1.02,Trace-Anchored Reference,Uniform gross,418.0461244648356,1.141958132922623,418.0461244648356,0.0
IEEE RTS 24-bus,1.02,Trace-Anchored Reference,Uniform signed net,0.8397712247462872,0.0012320526700572501,0.8104096110642665,0.0
PGLib IEEE 118-bus,0.9,Risk-Constrained Convex Verifier,Nodal exact net value,352.85277210224007,1.0000002688672964,55.905591728636864,0.0
PGLib IEEE 118-bus,0.9,Risk-Constrained Convex Verifier,Nodal gross,367.2910585242825,0.8949029383229787,213.56004776242784,0.0
PGLib IEEE 118-bus,0.9,Risk-Constrained Convex Verifier,Nodal signed linear,352.8527721022378,1.0000002688672827,55.9055917286365,0.0
PGLib IEEE 118-bus,0.9,Risk-Constrained Convex Verifier,Uniform gross,367.2932214021915,0.8949024442729838,213.56316915213418,0.0
PGLib IEEE 118-bus,0.9,Risk-Constrained Convex Verifier,Uniform signed net,352.8528923964045,1.0,55.90618442070162,0.0
PGLib IEEE 118-bus,0.9,Trace-Anchored Reference,Nodal exact net value,3.007022541029747,0.009021741152458001,2.863847978971265,0.0
PGLib IEEE 118-bus,0.9,Trace-Anchored Reference,Nodal gross,418.52336191479776,1.1614040265721424,418.52336191479776,0.0
PGLib IEEE 118-bus,0.9,Trace-Anchored Reference,Nodal signed linear,3.375203663375856,0.00960881446843935,3.2508001338152366,0.0
PGLib IEEE 118-bus,0.9,Trace-Anchored Reference,Uniform gross,418.5259629272726,1.1614062341402493,418.5259629272726,0.0
PGLib IEEE 118-bus,0.9,Trace-Anchored Reference,Uniform signed net,3.375886134675841,0.0094811533111866,3.2513979419139076,0.0
PGLib IEEE 118-bus,0.98,Risk-Constrained Convex Verifier,Nodal exact net value,400.7266353499767,0.9999999999999973,63.83227842912607,1.0
PGLib IEEE 118-bus,0.98,Risk-Constrained Convex Verifier,Nodal gross,416.1248985108649,0.8893880885047369,240.94062376267738,1.0
PGLib IEEE 118-bus,0.98,Risk-Constrained Convex Verifier,Nodal signed linear,400.72398105056715,1.0,63.832278429126475,1.0
PGLib IEEE 118-bus,0.98,Risk-Constrained Convex Verifier,Uniform gross,416.12615558935914,0.8893880885047369,240.9419388673076,1.0
PGLib IEEE 118-bus,0.98,Risk-Constrained Convex Verifier,Uniform signed net,400.7249537545853,1.0,63.83330362330034,1.0
PGLib IEEE 118-bus,0.98,Trace-Anchored Reference,Nodal exact net value,2.2310669421346607,0.0055068205116223,0.6903800645926552,1.0
PGLib IEEE 118-bus,0.98,Trace-Anchored Reference,Nodal gross,467.50109502776115,1.1348000428586635,467.43079581793467,1.0
PGLib IEEE 118-bus,0.98,Trace-Anchored Reference,Nodal signed linear,3.1413165475505225,0.0046287398341691,2.182676747674983,1.0
PGLib IEEE 118-bus,0.98,Trace-Anchored Reference,Uniform gross,467.50109502776115,1.1348000428586635,467.43079581793467,1.0
PGLib IEEE 118-bus,0.98,Trace-Anchored Reference,Uniform signed net,3.141316547550514,0.0046287398341692005,2.182676747674974,1.0
PGLib IEEE 118-bus,1.02,Risk-Constrained Convex Verifier,Nodal exact net value,426.52787232427136,1.0000009884236274,68.05291271647567,1.0
PGLib IEEE 118-bus,1.02,Risk-Constrained Convex Verifier,Nodal gross,445.1437433423445,0.8952297450205394,259.4672615280766,1.0
PGLib IEEE 118-bus,1.02,Risk-Constrained Convex Verifier,Nodal signed linear,426.88158287032724,1.00000098842361,68.45023605028584,1.0
PGLib IEEE 118-bus,1.02,Risk-Constrained Convex Verifier,Uniform gross,445.1543367151341,0.8952262218510594,259.4830773149592,1.0
PGLib IEEE 118-bus,1.02,Risk-Constrained Convex Verifier,Uniform signed net,426.88238474352045,1.0,68.4533968269604,1.0
PGLib IEEE 118-bus,1.02,Trace-Anchored Reference,Nodal exact net value,3.16965162250091,0.0067854554737563,3.0129945761250214,1.0
PGLib IEEE 118-bus,1.02,Trace-Anchored Reference,Nodal gross,506.56956669883584,1.166887289969093,506.56956669883584,1.0
PGLib IEEE 118-bus,1.02,Trace-Anchored Reference,Nodal signed linear,4.824395735748436,0.00724696754689395,4.712664312043747,1.0
PGLib IEEE 118-bus,1.02,Trace-Anchored Reference,Uniform gross,506.5830052136022,1.166899715485029,506.5830052136022,1.0
PGLib IEEE 118-bus,1.02,Trace-Anchored Reference,Uniform signed net,4.828377260861972,0.0072744286938555,4.7161165508017255,1.0
