day,region,trace_available,realtime_inference_mwh,elastic_inference_mwh,batch_gpu_mwh,total_mwh,observed_execution_mwh,initial_batch_backlog_mwh
0,0,1,10.263123777053503,0.024452792497504698,61.54982361856135,71.83740018811235,53.628892157173205,0.0
0,1,1,9.724554907055024,0.024368034117963955,49.91073033764546,59.659653278818446,42.76994081461678,0.0
0,2,1,9.936182454371671,0.014973980385531474,70.70284924445988,80.6540056792171,51.90280770407444,0.0
0,3,1,9.880312555857731,0.018802233861455086,43.36871341704871,53.267828206767895,35.87976130653275,0.0
1,0,1,9.946494723882463,0.00032490712157285273,41.68691699702593,51.633736628029965,53.759239807384105,18.208508030939146
1,1,1,9.764207702283503,0.003460967164580388,26.09251122170032,35.860179891148405,37.94515072994102,16.889712464201686
1,2,1,10.578071789030318,0.014338292538975892,69.31434151472337,79.90675159629266,91.4291588231857,28.751197975142617
1,3,1,10.238572099779867,0.015892196163889538,144.35928240420748,154.61374670015124,157.85176106247027,17.38806690023514
2,0,1,7.633918843699616,0.014423050918516638,47.89391008979685,55.54225198441498,61.81295758076894,16.08300485158504
2,1,1,7.597981290774341,0.0,69.47179486820966,77.069776158984,62.14345456603957,14.80474162540909
2,2,1,7.726305477399029,0.0,62.73608137088526,70.46238684828428,62.05806188436446,17.228790748249544
2,3,1,7.475816213062949,0.0,43.98829345031394,51.46410966337689,55.34683063688842,14.150052537916082
3,0,1,4.5955287067162,0.0,114.23790626446056,118.83343497117676,90.43296901909005,9.812299255231077
3,1,1,4.881009055406016,0.014550188487827753,78.95075366876338,83.84631291265723,81.09480159857445,29.73106321835355
3,2,1,4.531112338265234,0.014550188487827753,99.68815810020922,104.23382062696228,99.26056446740023,25.633115712169364
3,3,1,4.609188932218849,0.0,121.10563463646443,125.71482356868327,96.0588659823841,10.267331564404518
4,0,1,7.629200627238515,0.0,164.86934375603187,172.49854438327037,96.64465925205312,38.21276520731777
4,1,1,7.457833310203721,0.0,122.77570104388286,130.23353435408657,125.01508665498287,32.48257453243633
4,2,1,7.385237758127074,0.01075018780508439,108.9033174024693,116.29930534840146,81.4291434936614,30.606371871731433
4,3,1,7.738129271344961,0.0,194.57336852038304,202.31149779172802,142.00361642498268,39.92328915070367
5,0,1,9.795003246849971,0.03979405919437941,77.04181883673274,86.8766161427771,140.84246354057194,114.06665033853508
5,1,1,9.612461950112388,0.042266178597651104,220.4265977183354,230.08132584704543,216.34673344389665,37.701022231540016
5,2,1,9.601810647083436,0.04822751795868344,103.59212460705751,113.24216277209963,94.05493574854734,65.47653372647136
5,3,1,9.555009895180355,0.056138300049152906,104.7602948590297,114.3714430542592,104.4162011052725,100.23117051744893
6,0,1,9.441193517853726,0.5042699790776576,53.98020472135684,63.92566821828822,82.35199207627561,60.10080294074021
6,1,1,9.715104347736233,0.49856291485524745,59.252881630234626,69.46654889282611,86.19653516711693,51.43561463468871
6,2,1,9.915798064092122,0.49789897421551166,68.97544179396503,79.38913883227266,102.70779589059775,84.66376075002364
6,3,1,9.821758641991668,0.5042699790776576,75.86132588885849,86.18735450992781,117.8068443168651,110.18641246643551
7,0,1,9.925983196033602,0.2798580428469472,151.65182399168617,161.8576652305667,133.8571858953634,41.67447908275284
7,1,1,10.268986231638404,0.19624390143000306,163.85844350947545,174.32367364254387,133.00790277279486,34.70562836039792
7,2,1,10.060664261123845,0.1790520767798221,150.5391186629991,160.77883500090277,127.7065051847923,61.34510369169859
7,3,1,9.918199551512444,0.153638689314189,176.08547435781253,186.15731259863915,162.0928360099477,78.56692265949818
8,0,1,14.529789971151615,1.1185987139889715,89.291247997033,104.93963668217359,139.17885233530663,69.67495841795612
8,1,1,13.944830014751169,1.1521630322871061,59.43476291618558,74.53175596322386,110.31684314325013,76.02139923014693
8,2,1,15.234499391446542,1.0425704475409239,81.32283851864096,97.59990835762844,128.90005547271028,94.41743350780911
8,3,1,14.16035644752669,1.091560790915474,71.783255465376,87.03517270381816,116.39344920233167,102.63139924818968
9,0,1,11.161378957029719,245.00470498636028,68.03733925922033,324.20342320261034,326.261436352117,35.43574276482308
9,1,1,10.519574380750614,243.9217612973648,67.4498835134728,321.8912191915882,313.17405589301836,40.236312050120695
9,2,1,10.997187849462707,237.39973112927385,70.23293240363839,318.62985138237497,312.52927182130685,63.117286392727316
9,3,1,10.751134273655929,244.16442453798993,59.41900777384713,314.334566585493,313.35201856787137,73.27312274967618
10,0,1,4.987691602454633,103.31810555193661,101.53340719314188,209.83920434753313,220.3132278364251,33.377729615316376
10,1,1,5.329649284711765,105.82361975674738,147.91225674546067,259.0655257869198,210.5524759927685,48.953475348690525
10,2,1,5.44641807892573,103.9326179300036,138.71618696207722,248.09522297100654,261.20048758305734,69.21786595379541
10,3,1,5.26979574235941,103.09698506611142,103.0761916644453,211.44297247291613,222.03224511170131,74.25567076729787
11,0,1,6.181880664597358,4.188490715368365,222.85149960424712,233.22187098421284,198.79659823761062,22.90370612642437
11,1,1,6.2140747224262505,4.173629746155555,206.7794294661436,217.1671339347254,222.45825030411015,97.46652514284187
11,2,1,6.220064314580464,4.09214869062372,269.8146368182112,280.1268498234154,220.5339905781723,56.11260134174461
11,3,1,6.0419022007858185,4.204778450636779,220.62758557879744,230.87426623022003,193.51975405851795,63.66639812851266
12,0,1,10.176867999474204,31.843878583820086,153.08650132392353,195.1072479072178,220.56748363129856,57.32897887302657
12,1,1,9.881965344258777,30.157384600511538,139.23872043522795,179.27807037999827,225.8669879101936,92.1754087734571
12,2,1,10.184637517598773,31.95591503517636,161.6815987712447,203.82215132401984,247.84655246551563,115.70546058698775
12,3,1,10.28425686635233,29.81549755023736,171.86104953497284,211.96080395156253,233.72114440825305,101.02091030021475
13,0,1,10.838491910169253,18.119095448753278,141.81288044226483,170.77046780118735,180.3050230038689,31.868743148945885
13,1,1,10.538037581093906,13.17299195785997,140.68786947331017,164.39889901226405,179.66801738109842,45.58649124326179
13,2,1,10.903755862415625,18.113021098219527,173.2289711139083,202.24574807454346,184.91394786191307,71.68105944549202
13,3,1,10.831146183942389,13.188036570228455,199.1012557194683,223.12043847363915,210.40172020872183,79.26056984352427
14,0,1,10.231833808606378,96.45900543480872,250.01898056337734,356.70981980679244,325.7718233437514,22.334187946264336
14,1,1,9.181776370872688,98.3025284426131,264.06124258798604,371.5455474014718,345.7133733891433,30.317372874427452
14,2,1,9.720133344922315,96.34804258959329,232.6375578950964,338.705733829612,336.1660757169967,89.01285965812241
14,3,1,10.008396593740386,97.44399668984829,256.18996921178945,363.6423624953781,340.7751729256714,91.97928810844162
15,0,1,11.969860886675697,7.3551626597867,90.93368854052429,110.25871208698669,120.37225615157897,53.27218440930532
15,1,1,11.597828106078191,7.242179739858887,92.7826173865931,111.62262523253018,135.7232795345987,56.14954688675595
