day,baseline_method,gross_to_signed_error_reduction_usd,uniform_to_nodal_error_reduction_usd,linear_to_exact_error_reduction_usd,uniform_gross_to_exact_error_reduction_usd
61,High-5-of-10,1126.8451155510684,0.3518087886277499,49.956716710070395,1177.1750510416787
62,High-5-of-10,4557.953780226854,0.3574513581968404,10.870927110549701,4569.204570231957
63,High-5-of-10,4354.082045162555,0.4525743842659722,13.799625510297574,4368.224910836429
64,High-5-of-10,4864.154339751213,0.36288328415548676,18.33525640914263,4882.870076891076
65,High-5-of-10,1100.6584233762042,0.5098139513793285,74.72023949479535,1175.733221006517
66,High-5-of-10,2274.6359209124785,0.43086835304529814,101.77465210208356,2376.7542726502916
67,High-5-of-10,249.37981899016086,0.3509986602002755,83.1860283170181,332.91038542724164
68,High-5-of-10,1267.8783779353653,0.3797038713355505,47.89939724238684,1316.160726947097
69,High-5-of-10,4829.013294585581,0.39786280208636526,10.962773875945686,4840.357354509419
70,High-5-of-10,3096.655274162123,0.4018404950952572,19.873703549972106,3116.925005659563
71,High-5-of-10,2267.46664630372,-0.3987854682811758,-12.822839135168806,2255.020863264367
72,High-5-of-10,2474.0344536807356,0.3874727141196672,29.966145054078424,2504.3899002828266
73,High-5-of-10,3064.3454628824056,0.3672310995752923,39.93104119900818,3104.665289713842
74,High-5-of-10,2081.51190947735,0.3845679727673996,28.397554002414836,2110.2900529422577
75,High-5-of-10,4936.920310334583,0.35948747427391936,41.61815110467842,4978.91895326868
76,High-5-of-10,2448.1152333132595,0.35187390406827035,17.37138370591947,2465.8540212560056
77,High-5-of-10,30.788318871657793,0.36247361640562303,46.27318845471382,77.42422215583429
78,High-5-of-10,675.4018000019996,0.34421228002611315,34.13833630245517,709.9165698749603
79,High-5-of-10,5772.299583954042,0.3736603026550256,58.983097276173794,5831.660793824405
80,High-5-of-10,2832.230893383126,0.36529558202028056,21.49582946372493,2854.099821335437
81,High-5-of-10,6986.281818343108,-0.5184715770976709,-49.029050620379394,6937.631860584536
82,High-5-of-10,2861.7524450833866,0.3445994829889969,19.363225388889532,2881.469748481135
83,High-5-of-10,488.16237452669975,0.3574080834414417,61.81802082890499,550.3328847010207
84,High-5-of-10,287.707264326511,0.3645854271171629,41.759609598479074,329.80861501142044
85,High-5-of-10,3415.044839052473,0.48551545991313105,13.438365945268288,3428.8341779447646
86,High-5-of-10,2565.091561323314,0.3892730207389832,22.611755885352522,2588.0590090635696
87,High-5-of-10,4496.475269493981,-0.38145813788844407,-2.7765149247286445,4494.057377204996
88,High-5-of-10,2554.199481835083,0.37561345115136646,31.227009834501587,2585.780249119016
89,High-5-of-10,782.0957238380452,0.3418597496529401,61.28757978008525,843.7350608707084
90,High-5-of-10,232.098105558317,0.35646718922725995,73.17089525904703,305.6135065693097
91,High-5-of-10,3843.3931568752055,0.25798940916320134,43.069910395252464,3886.8170214263146
92,High-5-of-10,369.4835758921654,0.3836666994038751,44.83004039450316,414.6825628152674
93,High-5-of-10,245.92774211092365,0.3901778878935147,35.68111449347907,281.9804572038911
94,High-5-of-10,100.16892548354281,0.38842916408884776,37.166238921287004,137.7040336091768
95,High-5-of-10,894.5691343533736,0.3697953339360538,29.483361407215853,924.4234577075295
96,High-5-of-10,157.63120537332816,0.365586480616912,35.255973461646136,193.25086231588102
97,High-5-of-10,107.18932676695022,0.3531811209850275,35.92059033798705,143.47060220436742
98,High-5-of-10,296.9293174907307,0.33972688165431464,23.462024986854885,320.7522849168108
99,High-5-of-10,266.76714348386395,0.33708290804315766,24.42447191557403,291.54728734733726
100,High-5-of-10,242.52163033505258,0.3446465993847596,24.75385262234795,267.6353632178116
101,High-5-of-10,2547.2935309791665,0.3785474372534736,55.28451937986483,2602.9358797843615
102,High-5-of-10,966.4911500955859,0.34589414186393697,20.70439987831378,987.561648890688
103,High-5-of-10,772.5434180972879,0.3631474029589299,23.81860817290817,796.7227717330206
104,High-5-of-10,199.31094456331812,0.3372132353570123,22.676454344507874,222.32280191642803
105,High-5-of-10,469.1745505353574,0.290839005671387,18.84639168345211,488.3110650763356
106,High-5-of-10,293.03749777909843,0.2512839437436014,15.03602990616082,308.3208962628064
107,High-5-of-10,563.9378745454596,0.2328797771306199,8.983749295757207,573.1344896101632
108,High-5-of-10,336.9300479616836,0.24878401599926292,15.131936892207705,352.3048686120901
109,High-5-of-10,1176.1834838139382,0.2705123820537665,9.250422234381176,1185.6817465713661
110,High-5-of-10,444.93949286217594,0.29521333582397347,14.917017938273602,460.1355397064626
111,High-5-of-10,551.7557514698801,0.3026571672448881,13.662322939065234,565.708994926058
112,High-5-of-10,311.318244808494,0.2928514411037213,14.14387531271268,325.7483563504343
113,High-5-of-10,853.2378263722749,0.3292329118917223,14.72856435120957,868.2936209405825
114,High-5-of-10,1662.6789790640482,0.33080172045811196,28.30070442991473,1691.297149625619
61,Ridge,581.7487738587888,0.2678840413054786,38.37793016288833,620.4194639997168
62,Ridge,2943.1961494751454,0.2951495510692439,12.905675478033572,2956.430272420019
63,Ridge,2764.487061763223,0.4024742481119574,16.282571499888036,2781.0587317279196
64,Ridge,3394.022258191359,0.30315901707012927,22.73171855695682,3417.097745134168
65,Ridge,666.5625166978898,0.41849826819088776,91.35804686475603,758.1911548005382
66,Ridge,1968.397734836311,0.3585909355347212,38.27519888998859,2006.9673674472751
67,Ridge,9.428827686097065,0.2572229495635838,21.978474340843604,31.664524976506073
68,Ridge,788.0735107316705,0.28093016810362315,37.85713307314927,826.234946097753
69,Ridge,3917.9744698452882,0.29574958867965506,4.073542600420637,3922.35864435238
70,Ridge,1828.843430590664,0.2973144259131004,20.820966159191812,1849.9811332789104
71,Ridge,839.7907271594172,-0.2874378761318894,-5.202705585842068,834.8938781160459
72,Ridge,1233.1843745699498,0.27741645865125975,5.413974865103228,1238.9041180253625
73,Ridge,2644.9260499486527,0.24815927527561144,15.935055706929234,2661.1579731809816
74,Ridge,1843.845793016224,0.30846229489634425,52.792830886235606,1896.950925488055
75,Ridge,4111.52964426869,0.28660171245314814,22.79068599612242,4134.63375102691
76,Ridge,1727.7130767651934,0.27766213598533795,29.07479588186834,1757.0748554724196
77,Ridge,0.0,0.2856763813942962,58.69625158207873,58.98192796347303
78,Ridge,323.9852435081766,0.2693580950171963,12.075129252963961,336.3527679269091
79,Ridge,4834.272536900662,0.2882496724353132,84.99483658745999,4919.559284190554
80,Ridge,2031.6871521314642,0.2905421077853134,2.818396716006646,2034.812620860429
81,Ridge,6063.71172236469,0.4512243911410678,48.827508061290246,6112.857180996745
82,Ridge,1034.9595300328428,0.24551188985651606,41.253749380825866,1076.498953918519
83,Ridge,26.151950468196446,0.28691964915196877,90.5683093939806,117.00949705827225
84,Ridge,0.0,0.27415993314843945,17.469114418575373,17.743274351723812
85,Ridge,2507.596029483997,0.4079705366939379,2.599822097682363,2510.5045167472467
