day,baseline_method,mechanism,payment_usd,realized_grid_value_usd,payment_error_usd,absolute_percentage_value_error,overpayment_ratio,congestion_relief_index
61,High-5-of-10,Uniform gross,6323.361994478353,1189.3164934230772,5134.045501055276,4.316803415614396,0.8119170633499071,0.0006311906510093612
61,High-5-of-10,Nodal gross,6322.988775697813,1189.3164934230772,5133.672282274736,4.31648960614265,0.8119059616246397,0.0006311906510093612
61,High-5-of-10,Uniform signed net,5196.495468935373,1189.3164934230772,4007.1789755122954,3.369312540162357,0.7711310438866336,0.0006311906510093612
61,High-5-of-10,Nodal signed linear,5196.143660146745,1189.3164934230772,4006.8271667236677,3.3690167326203166,0.7711155481429685,0.0006311906510093612
61,High-5-of-10,Nodal exact net value,5146.1869434366745,1189.3164934230772,3956.8704500135973,3.327012172029144,0.7688936475695071,0.0006311906510093612
61,Ridge,Uniform gross,5698.946601374506,1189.3164934230772,4509.630107951429,3.7917830391571066,0.7913094161759244,0.0006311906510093612
61,Ridge,Nodal gross,5698.653841396466,1189.3164934230772,4509.337347973389,3.7915368809816683,0.7912986950034444,0.0006311906510093612
61,Ridge,Uniform signed net,5117.172951578983,1189.3164934230772,3927.856458155906,3.3026166540840562,0.767583291657927,0.0006311906510093612
61,Ridge,Nodal signed linear,5116.9050675376775,1189.3164934230772,3927.5885741146003,3.3023914120708606,0.767571124004575,0.0006311906510093612
61,Ridge,Nodal exact net value,5078.527137374789,1189.3164934230772,3889.210643951712,3.2701225161334726,0.7658146818453622,0.0006311906510093612
61,Gradient Boosting,Uniform gross,6684.472425866285,1189.3164934230772,5495.155932443208,4.620431956364376,0.8220777321451893,0.0006311906510093612
61,Gradient Boosting,Nodal gross,6684.214699216055,1189.3164934230772,5494.898205792978,4.620215254879401,0.8220708719062295,0.0006311906510093612
61,Gradient Boosting,Uniform signed net,5682.098546806627,1189.3164934230772,4492.78205338355,3.777616873413128,0.7906906253691288,0.0006311906510093612
61,Gradient Boosting,Nodal signed linear,5681.904250717068,1189.3164934230772,4492.587757293991,3.7774535055538294,0.790683467910783,0.0006311906510093612
61,Gradient Boosting,Nodal exact net value,5611.081179837896,1189.3164934230772,4421.764686414819,3.717904116244236,0.7880414744850588,0.0006311906510093612
61,Extra Trees,Uniform gross,6081.915961718085,1189.3164934230772,4892.599468295008,4.113790984444505,0.8044503572707857,0.0006311906510093612
61,Extra Trees,Nodal gross,6081.54324062225,1189.3164934230772,4892.226747199173,4.113477593435555,0.8044383725698234,0.0006311906510093612
61,Extra Trees,Uniform signed net,4894.877319882389,1189.3164934230772,3705.560826459312,3.115706245520912,0.7570283347874277,0.0006311906510093612
61,Extra Trees,Nodal signed linear,4894.471072355913,1189.3164934230772,3705.1545789328356,3.1153646648493893,0.7570081678201421,0.0006311906510093612
61,Extra Trees,Nodal exact net value,4840.078067814473,1189.3164934230772,3650.7615743913957,3.069629988804591,0.7542774152070422,0.0006311906510093612
61,Metadata Gradient Boosting,Uniform gross,5852.095153916538,1189.3164934230772,4662.778660493461,3.920553264230873,0.7967708210234548,0.0006311906510093612
61,Metadata Gradient Boosting,Nodal gross,5851.714677465402,1189.3164934230772,4662.398184042325,3.9202333523712123,0.7967576071329892,0.0006311906510093612
61,Metadata Gradient Boosting,Uniform signed net,4925.534044927816,1189.3164934230772,3736.2175515047384,3.1414830048738325,0.7585406003542289,0.0006311906510093612
61,Metadata Gradient Boosting,Nodal signed linear,4925.182611474391,1189.3164934230772,3735.8661180513136,3.1411875129207925,0.7585233711634813,0.0006311906510093612
61,Metadata Gradient Boosting,Nodal exact net value,4907.6115486747,1189.3164934230772,3718.295055251623,3.1264134280604052,0.7576587956020578,0.0006311906510093612
61,Ex-post Metadata Gradient Boosting,Uniform gross,6345.845960724077,1189.3164934230772,5156.529467300999,4.335708363431112,0.8125834599856292,0.0006311906510093612
61,Ex-post Metadata Gradient Boosting,Nodal gross,6345.453167489023,1189.3164934230772,5156.136674065946,4.335378095384528,0.8125718586157803,0.0006311906510093612
61,Ex-post Metadata Gradient Boosting,Uniform signed net,5555.652607711081,1189.3164934230772,4366.336114288004,3.6712987152148755,0.7859267709121442,0.0006311906510093612
61,Ex-post Metadata Gradient Boosting,Nodal signed linear,5555.304470172026,1189.3164934230772,4365.987976748949,3.6710059945295237,0.7859133554589406,0.0006311906510093612
61,Ex-post Metadata Gradient Boosting,Nodal exact net value,5514.025119743899,1189.3164934230772,4324.708626320822,3.6362975290736066,0.7843106500975978,0.0006311906510093612
61,Ex-post Quantile Gradient Boosting,Uniform gross,5652.675990336342,1189.3164934230772,4463.359496913265,3.7528778265462996,0.7896011560796515,0.0006311906510093612
61,Ex-post Quantile Gradient Boosting,Nodal gross,5652.36067319704,1189.3164934230772,4463.044179773963,3.7526127018792788,0.7895894189727305,0.0006311906510093612
61,Ex-post Quantile Gradient Boosting,Uniform signed net,4704.0716157879215,1189.3164934230772,3514.7551223648443,2.955273168917986,0.7471729619439755,0.0006311906510093612
61,Ex-post Quantile Gradient Boosting,Nodal signed linear,4703.788269013768,1189.3164934230772,3514.4717755906904,2.95503492554398,0.7471577321501254,0.0006311906510093612
61,Ex-post Quantile Gradient Boosting,Nodal exact net value,4658.3348981441595,1189.3164934230772,3469.0184047210823,2.916816864059955,0.744690641736194,0.0006311906510093612
61,Synthetic Control,Uniform gross,6107.668372776076,1189.3164934230772,4918.351879352998,4.135444103021773,0.8052748740052326,0.0006311906510093612
61,Synthetic Control,Nodal gross,6107.328441846067,1189.3164934230772,4918.01194842299,4.135158282609892,0.8052640356994487,0.0006311906510093612
61,Synthetic Control,Uniform signed net,4547.797223836591,1189.3164934230772,3358.480730413514,2.8238746784274156,0.7384851533860273,0.0006311906510093612
61,Synthetic Control,Nodal signed linear,4547.471327875896,1189.3164934230772,3358.154834452819,2.823600658885522,0.7384664118424246,0.0006311906510093612
61,Synthetic Control,Nodal exact net value,4490.175893688884,1189.3164934230772,3300.8594002658065,2.7754255646159507,0.7351291972560122,0.0006311906510093612
61,Feasible Quantile Projection,Uniform gross,662.5321801856247,1189.3164934230772,-526.7843132374525,0.4429303016905684,0.0,0.0006311906510093612
61,Feasible Quantile Projection,Nodal gross,662.5079277625147,1189.3164934230772,-526.8085656605625,0.44295069359065903,0.0,0.0006311906510093612
61,Feasible Quantile Projection,Uniform signed net,180.68921539591526,1189.3164934230772,-1008.627278027162,0.8480730601188775,0.0,0.0006311906510093612
61,Feasible Quantile Projection,Nodal signed linear,180.69277225889812,1189.3164934230772,-1008.6237211641791,0.848070069440616,0.0,0.0006311906510093612
61,Feasible Quantile Projection,Nodal exact net value,180.69277225889527,1189.3164934230772,-1008.6237211641819,0.8480700694406185,0.0,0.0006311906510093612
61,Tail-Risk Feasible Counterfactual,Uniform gross,828.822242999616,1189.3164934230772,-360.49425042346115,0.30311044403823134,0.0,0.0006311906510093612
